"X1","X2","val","copies","privacy","parents","data"
"01.sex","02.age",0.000400136623123682,1,0,0,"sd2011"
"01.sex","03.agegr",0.00047768681611838,1,0,0,"sd2011"
"01.sex","04.placesize",0.000402861232164938,1,0,0,"sd2011"
"01.sex","05.region",0.000620443380588154,1,0,0,"sd2011"
"01.sex","06.edu",0.00206550549659848,1,0,0,"sd2011"
"01.sex","07.eduspec",0.0143278617041139,1,0,0,"sd2011"
"01.sex","08.socprof",0.00349894954529146,1,0,0,"sd2011"
"01.sex","09.unempdur",0.000172474389914867,1,0,0,"sd2011"
"01.sex","10.income",0.0225373498254377,1,0,0,"sd2011"
"01.sex","11.marital",0.00438755399430823,1,0,0,"sd2011"
"01.sex","12.mmarr",0.0395848238263395,1,0,0,"sd2011"
"01.sex","13.ymarr",0.0387471811847292,1,0,0,"sd2011"
"01.sex","14.msepdiv",0.190564455580447,1,0,0,"sd2011"
"01.sex","15.ysepdiv",0.188695190680648,1,0,0,"sd2011"
"01.sex","16.ls",0.00043667271330075,1,0,0,"sd2011"
"01.sex","17.depress",0.00335088796304236,1,0,0,"sd2011"
"01.sex","18.trust",0.000973790029228762,1,0,0,"sd2011"
"01.sex","19.trustfam",0.000337217048349763,1,0,0,"sd2011"
"01.sex","20.trustneigh",0.000353221812036348,1,0,0,"sd2011"
"01.sex","21.sport",0.00146523387686673,1,0,0,"sd2011"
"01.sex","22.nofriend",0.0131395559270588,1,0,0,"sd2011"
"01.sex","23.smoke",0.0011989914960387,1,0,0,"sd2011"
"01.sex","24.nociga",0.00165511852757073,1,0,0,"sd2011"
"01.sex","25.alcabuse",0.00250718407010205,1,0,0,"sd2011"
"01.sex","26.alcsol",0.00346518023128266,1,0,0,"sd2011"
"01.sex","27.workab",0.011826382824442,1,0,0,"sd2011"
"01.sex","28.wkabdur",0.178260081878142,1,0,0,"sd2011"
"01.sex","29.wkabint",0.00135814932583124,1,0,0,"sd2011"
"01.sex","30.wkabintdur",0.221596197536273,1,0,0,"sd2011"
"01.sex","31.emcc",0.223209082450186,1,0,0,"sd2011"
"01.sex","32.englang",0.000453918406770198,1,0,0,"sd2011"
"01.sex","33.height",0.0386948065125976,1,0,0,"sd2011"
"01.sex","34.weight",0.0210045835831369,1,0,0,"sd2011"
"01.sex","35.bmi",0.032417203548272,1,0,0,"sd2011"
"02.age","03.agegr",0.129540996055768,1,0,0,"sd2011"
"02.age","04.placesize",0.00111054731195322,1,0,0,"sd2011"
"02.age","05.region",0.00226291385175366,1,0,0,"sd2011"
"02.age","06.edu",0.0119123694423828,1,0,0,"sd2011"
"02.age","07.eduspec",0.0170643297828425,1,0,0,"sd2011"
"02.age","08.socprof",0.0692803988422463,1,0,0,"sd2011"
"02.age","09.unempdur",0.0035576134099546,1,0,0,"sd2011"
"02.age","10.income",0.0325503191399612,1,0,0,"sd2011"
"02.age","11.marital",0.0368226943824882,1,0,0,"sd2011"
"02.age","12.mmarr",0.0539434758980308,1,0,0,"sd2011"
"02.age","13.ymarr",0.119134542946889,1,0,0,"sd2011"
"02.age","14.msepdiv",0.193951696053514,1,0,0,"sd2011"
"02.age","15.ysepdiv",0.192662088731138,1,0,0,"sd2011"
"02.age","16.ls",0.00330258791041377,1,0,0,"sd2011"
"02.age","17.depress",0.0317522782762739,1,0,0,"sd2011"
"02.age","18.trust",0.00137757098796349,1,0,0,"sd2011"
"02.age","19.trustfam",0.000703211327215934,1,0,0,"sd2011"
"02.age","20.trustneigh",0.0029028996421908,1,0,0,"sd2011"
"02.age","21.sport",0.00945839988164925,1,0,0,"sd2011"
"02.age","22.nofriend",0.0144349576433308,1,0,0,"sd2011"
"02.age","23.smoke",0.00387412056637128,1,0,0,"sd2011"
"02.age","24.nociga",0.00440889698051137,1,0,0,"sd2011"
"02.age","25.alcabuse",0.00114694348383523,1,0,0,"sd2011"
"02.age","26.alcsol",0.00261803390172948,1,0,0,"sd2011"
"02.age","27.workab",0.0146988864616701,1,0,0,"sd2011"
"02.age","28.wkabdur",0.178448218481928,1,0,0,"sd2011"
"02.age","29.wkabint",0.00394292936752481,1,0,0,"sd2011"
"02.age","30.wkabintdur",0.222336489361319,1,0,0,"sd2011"
"02.age","31.emcc",0.224092187160077,1,0,0,"sd2011"
"02.age","32.englang",0.0242989481018515,1,0,0,"sd2011"
"02.age","33.height",0.0100995920344944,1,0,0,"sd2011"
"02.age","34.weight",0.00651845718599268,1,0,0,"sd2011"
"02.age","35.bmi",0.0408262552435287,1,0,0,"sd2011"
"03.agegr","04.placesize",0.00118251358493969,1,0,0,"sd2011"
"03.agegr","05.region",0.00256920389150588,1,0,0,"sd2011"
"03.agegr","06.edu",0.0142150884641824,1,0,0,"sd2011"
"03.agegr","07.eduspec",0.0206876444467468,1,0,0,"sd2011"
"03.agegr","08.socprof",0.0676271996131789,1,0,0,"sd2011"
"03.agegr","09.unempdur",0.00419032981889214,1,0,0,"sd2011"
"03.agegr","10.income",0.0322671637706794,1,0,0,"sd2011"
"03.agegr","11.marital",0.0364560257804992,1,0,0,"sd2011"
"03.agegr","12.mmarr",0.0549188140515676,1,0,0,"sd2011"
"03.agegr","13.ymarr",0.122504647863398,1,0,0,"sd2011"
"03.agegr","14.msepdiv",0.19448931259751,1,0,0,"sd2011"
"03.agegr","15.ysepdiv",0.193124485627114,1,0,0,"sd2011"
"03.agegr","16.ls",0.00305429867465133,1,0,0,"sd2011"
"03.agegr","17.depress",0.0300916970280923,1,0,0,"sd2011"
"03.agegr","18.trust",0.0015200895834322,1,0,0,"sd2011"
"03.agegr","19.trustfam",0.000888275752354505,1,0,0,"sd2011"
"03.agegr","20.trustneigh",0.00187280091738654,1,0,0,"sd2011"
"03.agegr","21.sport",0.0088164493006103,1,0,0,"sd2011"
"03.agegr","22.nofriend",0.0140518081323396,1,0,0,"sd2011"
"03.agegr","23.smoke",0.00346126581111831,1,0,0,"sd2011"
"03.agegr","24.nociga",0.00324071390220588,1,0,0,"sd2011"
"03.agegr","25.alcabuse",0.00155326537343785,1,0,0,"sd2011"
"03.agegr","26.alcsol",0.00264003656629348,1,0,0,"sd2011"
"03.agegr","27.workab",0.0156692100166422,1,0,0,"sd2011"
"03.agegr","28.wkabdur",0.178511076952383,1,0,0,"sd2011"
"03.agegr","29.wkabint",0.00447427855126714,1,0,0,"sd2011"
"03.agegr","30.wkabintdur",0.22248035192652,1,0,0,"sd2011"
"03.agegr","31.emcc",0.224237608101614,1,0,0,"sd2011"
"03.agegr","32.englang",0.0254320088391743,1,0,0,"sd2011"
"03.agegr","33.height",0.0101744544963286,1,0,0,"sd2011"
"03.agegr","34.weight",0.006565753752594,1,0,0,"sd2011"
"03.agegr","35.bmi",0.0418663377376112,1,0,0,"sd2011"
"04.placesize","05.region",0.0240973902157161,1,0,0,"sd2011"
"04.placesize","06.edu",0.00695417334664915,1,0,0,"sd2011"
"04.placesize","07.eduspec",0.00891493368001757,1,0,0,"sd2011"
"04.placesize","08.socprof",0.00649262587768081,1,0,0,"sd2011"
"04.placesize","09.unempdur",0.00122655340548973,1,0,0,"sd2011"
"04.placesize","10.income",0.0248208010103205,1,0,0,"sd2011"
"04.placesize","11.marital",0.0014083862103471,1,0,0,"sd2011"
"04.placesize","12.mmarr",0.0397048662231976,1,0,0,"sd2011"
"04.placesize","13.ymarr",0.0388395860287058,1,0,0,"sd2011"
"04.placesize","14.msepdiv",0.189137606986313,1,0,0,"sd2011"
