"term","estimate","std.error","type","model","dv","sdg"
"(Intercept)",-0.720836713186942,0.206552676443619,"observed","glm","smoke","synthpop"
"sexMALE",0.637143989393018,0.0687295141515106,"observed","glm","smoke","synthpop"
"age",-0.00331270844770555,0.00208362189922308,"observed","glm","smoke","synthpop"
"eduPRIMARY/NO EDUCATION",0.63240802124022,0.120422298811369,"observed","glm","smoke","synthpop"
"eduSECONDARY",0.277831493762243,0.107938760422549,"observed","glm","smoke","synthpop"
"eduVOCATIONAL/GRAMMAR",0.740303621276707,0.103287954151303,"observed","glm","smoke","synthpop"
"bmi",-0.0370120283436802,0.00810927726556272,"observed","glm","smoke","synthpop"
"(Intercept)",-0.806811346792958,0.198993583646238,"synthetic","glm","smoke","synthpop"
"sexMALE",0.421416354791886,0.067809256891879,"synthetic","glm","smoke","synthpop"
"age",-0.00269431794037549,0.00207238003986874,"synthetic","glm","smoke","synthpop"
"eduPRIMARY/NO EDUCATION",0.155624124794859,0.117283375492633,"synthetic","glm","smoke","synthpop"
"eduSECONDARY",0.0258362279063612,0.102571195901081,"synthetic","glm","smoke","synthpop"
"eduVOCATIONAL/GRAMMAR",0.525256025282578,0.0974506855854952,"synthetic","glm","smoke","synthpop"
"bmi",-0.0209504541768161,0.0077614189753638,"synthetic","glm","smoke","synthpop"
"(Intercept)",7.24954906133545,0.0561041424319681,"observed","lm","LN income","synthpop"
"sexMALE",0.269210746232614,0.0185625480127904,"observed","lm","LN income","synthpop"
"age",0.00256772790040752,0.000597489061448854,"observed","lm","LN income","synthpop"
"eduPRIMARY/NO EDUCATION",-0.817318406916093,0.0304742961942108,"observed","lm","LN income","synthpop"
"eduSECONDARY",-0.396329981285642,0.0259859597066099,"observed","lm","LN income","synthpop"
"eduVOCATIONAL/GRAMMAR",-0.642437998956692,0.0265854663350357,"observed","lm","LN income","synthpop"
"bmi",0.00703921543163064,0.00206814804715465,"observed","lm","LN income","synthpop"
"(Intercept)",7.40024310104303,0.0568177178352188,"synthetic","lm","LN income","synthpop"
"sexMALE",0.253271259019693,0.0188557739169244,"synthetic","lm","LN income","synthpop"
"age",0.0015423434355494,0.000606203285277406,"synthetic","lm","LN income","synthpop"
"eduPRIMARY/NO EDUCATION",-0.74097857002936,0.0311485017772961,"synthetic","lm","LN income","synthpop"
"eduSECONDARY",-0.377895156112597,0.026639104726962,"synthetic","lm","LN income","synthpop"
"eduVOCATIONAL/GRAMMAR",-0.598375316310444,0.027195634050178,"synthetic","lm","LN income","synthpop"
"bmi",0.00232956138238198,0.00209506315758712,"synthetic","lm","LN income","synthpop"
