"sex","age","agegr","placesize","region","edu","eduspec","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","bmi"
"FEMALE",57,"45-59","URBAN 100,000-200,000","Lubuskie","VOCATIONAL/GRAMMAR","services for the population and transport services","RETIRED",0,800,"MARRIED",10,1979,NA,NA,"PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",6,"NO",-8,"NO","NO","NO","-8","NO",NA,NA,"NONE",170,89,30.7958477508651
"MALE",20,"16-24","RURAL AREAS","Podlaskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",-8,350,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","YES","NO OPINION","NO",4,"NO",-8,"NO","NO","NO","-8","NO",NA,NA,"ACTIVE",187,82,23.4493408447482
"FEMALE",18,"16-24","URBAN 500,000 AND OVER","Mazowieckie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",-8,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO","NO",20,"NO",-8,"NO","NO",NA,"-8","NO",NA,NA,"ACTIVE",165,50,18.3654729109275
"FEMALE",78,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",-8,900,"WIDOWED",8,1958,12,1997,"MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO","YES","YES",0,"NO",-8,"NO","NO","NO","-8","NO",NA,NA,"NONE",160,78,30.46875
"FEMALE",54,"45-59","URBAN 100,000-200,000","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","SELF-EMPLOYED",-8,1500,"MARRIED",6,1980,NA,NA,"MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"YES",20,"NO","NO","NO","-8","NO",NA,NA,"NONE",158,50,20.0288415318058
"MALE",20,"16-24","URBAN 100,000-200,000","Slaskie","SECONDARY","no specialisation","PUPIL OR STUDENT",0,-8,"SINGLE",NA,NA,NA,NA,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",10,"NO",-8,"NO","NO","NO","-8","NO",NA,NA,"ACTIVE",165,65,23.8751147842057
"FEMALE",39,"35-44","RURAL AREAS","Wielkopolskie","SECONDARY","art","EMPLOYED IN PUBLIC SECTOR",0,2000,"MARRIED",8,1997,NA,NA,"MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",0,"NO",-8,"NO","NO","NO","-8","NO",NA,NA,"PASSIVE",168,68,24.092970521542
"MALE",39,"35-44","URBAN 100,000-200,000","Lubuskie","SECONDARY","technical science","EMPLOYED IN PRIVATE SECTOR",7,1197,"MARRIED",10,2007,NA,NA,"MIXED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO",-8,"NO","NO","NO","-8","NO",NA,NA,"NONE",171,86,29.4107588659759
"FEMALE",43,"35-44","RURAL AREAS","Swietokrzyskie","SECONDARY","social sciences","EMPLOYED IN PUBLIC SECTOR",16,580,"MARRIED",6,1992,NA,NA,"MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",1,"YES",30,"NO","NO","NO","-8","NO",NA,NA,"NONE",167,54,19.3624726594715
"FEMALE",63,"60-64","URBAN BELOW 20,000","Dolnoslaskie","SECONDARY","no specialisation","RETIRED",24,1400,"MARRIED",6,1969,NA,NA,"PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",25,"YES",15,"NO","NO","NO","-8","NO",NA,NA,"NONE",155,65,27.0551508844953
"FEMALE",38,"35-44","URBAN 100,000-200,000","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",-8,1500,"MARRIED",4,1994,NA,NA,"MOSTLY DISSATISFIED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",4,"YES",4,"NO","NO","YES","4","NO",NA,NA,"NONE",180,77,23.7654320987654
