"age","unempdur","income","mmarr","ymarr","msepdiv","ysepdiv","depress","nofriend","nociga","height","weight"
57,0,800,10,1979,NA,NA,6,6,NA,170,89
20,NA,350,NA,NA,NA,NA,0,4,NA,187,82
18,NA,NA,NA,NA,NA,NA,0,20,NA,165,50
78,NA,900,8,1958,12,1997,16,0,NA,160,78
54,NA,1500,6,1980,NA,NA,4,6,20,158,50
20,0,NA,NA,NA,NA,NA,5,10,NA,165,65
39,0,2000,8,1997,NA,NA,2,0,NA,168,68
39,7,1197,10,2007,NA,NA,4,4,NA,171,86
43,16,580,6,1992,NA,NA,0,1,30,167,54
63,24,1400,6,1969,NA,NA,6,25,15,155,65
38,NA,1500,4,1994,NA,NA,0,4,4,180,77
73,24,1700,5,1995,7,2006,6,20,NA,168,78
54,0,2000,10,1987,3,1993,4,5,15,170,75
30,0,900,NA,NA,NA,NA,3,14,20,170,74
68,0,NA,4,1970,NA,NA,3,8,NA,165,65
61,0,NA,9,1985,NA,NA,0,6,20,NA,NA
84,24,2000,NA,NA,NA,NA,11,0,NA,170,56
87,24,1400,7,1945,6,1952,11,3,NA,155,75
47,8,560,5,1984,NA,NA,1,4,20,164,70
45,8,530,6,1991,NA,NA,4,1,25,181,78
60,NA,700,4,1970,NA,NA,8,2,NA,164,100
27,3,1000,NA,NA,NA,NA,0,3,15,175,97
49,NA,NA,6,1990,NA,NA,1,18,5,160,60
58,0,3500,7,1974,NA,NA,2,3,5,162,59
30,NA,1600,NA,NA,NA,NA,0,6,NA,174,75
59,0,1300,7,1980,NA,NA,9,3,25,176,68
26,NA,1500,NA,NA,NA,NA,1,5,NA,160,58
35,0,1300,NA,NA,NA,NA,4,2,NA,158,52
17,NA,NA,NA,NA,NA,NA,2,4,NA,178,50
40,NA,2000,10,1993,6,2002,1,8,20,159,57
75,0,1157,11,1955,NA,NA,12,15,NA,162,99
21,24,NA,NA,NA,NA,NA,1,8,10,186,75
43,0,1000,4,1988,NA,NA,4,0,NA,168,67
34,0,4000,8,2001,NA,NA,2,10,NA,184,110
35,0,800,6,1998,NA,NA,1,20,NA,166,53
47,0,1200,4,1989,NA,NA,6,5,20,164,64
20,NA,NA,NA,NA,NA,NA,0,4,NA,182,86
71,NA,1000,9,1963,NA,NA,7,NA,NA,170,106
41,18,NA,4,1991,NA,NA,3,2,NA,160,66
60,24,900,NA,NA,NA,NA,10,0,NA,178,75
