"sex","age","agegr","placesize","region","edu","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabint","wkabintdur","emcc","englang","height","weight","bmi","wkabdur","eduspec","random"
"MALE",59,"45-59","URBAN 20,000-100,000","Lubelskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,2500,"MARRIED",7,1973,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",180,74,22.8395061728395,-8,"lack of data","p"
"FEMALE",76,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,870,"WIDOWED",11,1956,9,2008,"MOSTLY DISSATISFIED",13,"IT`S DIFFICULT TO TELL","YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",155,60,24.9739854318418,-8,"lack of data","w"
"MALE",19,"16-24","URBAN 100,000-200,000","Wielkopolskie","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE",-8,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",3,"NO",-8,"NO","NO",NA,"NO",NA,NA,"PASSIVE",172,90,30.4218496484586,-8,"lack of data","k"
"MALE",36,"35-44","RURAL AREAS","Dolnoslaskie","SECONDARY","UNEMPLOYED",2,4300,"MARRIED",9,2010,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",7,"YES",15,"NO","NO","YES","YES, TO EU COUNTRY","LESS THAN 1 YEAR",NA,"ACTIVE",180,95,29.320987654321,36,"not applicable","z"
"MALE",58,"45-59","URBAN BELOW 20,000","Opolskie","PRIMARY/NO EDUCATION","UNEMPLOYED",4,1000,"MARRIED",5,1976,NA,NA,"MOSTLY SATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",20,"YES",10,"NO","NO","YES","YES, TO EU COUNTRY","IT DEPENDS","GERMANY","NONE",176,70,22.5981404958678,36,"not applicable","t"
"FEMALE",79,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,1000,"WIDOWED",2,1954,8,2001,"MIXED",10,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,58,23.2334561768947,-8,"not applicable","u"
"FEMALE",92,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",-8,850,"WIDOWED",2,1942,1,1999,"MIXED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",170,68,23.5294117647059,-8,"not applicable","y"
"FEMALE",79,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",0,890,"WIDOWED",6,1953,9,1989,"MIXED",9,"IT`S DIFFICULT TO TELL","YES","NO","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,85,34.0490306040699,-8,"not applicable","i"
"MALE",77,"65+","RURAL AREAS","Opolskie","PRIMARY/NO EDUCATION","RETIRED",24,1400,"WIDOWED",12,1959,10,2001,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",12,"YES",10,"NO","NO","NO","NO",NA,NA,"NONE",168,62,21.9671201814059,-8,"not applicable","k"
"FEMALE",73,"65+","URBAN BELOW 20,000","Lodzkie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,940,"WIDOWED",2,1954,6,2009,"PLEASED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",30,"NO",-8,"NO","NO",NA,"NO",NA,NA,"NONE",170,70,24.2214532871972,-8,"not applicable","x"
