sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi
FEMALE,70,45-59,"URBAN 200,000-500,000",Wielkopolskie,SECONDARY,no specialisation,PUPIL OR STUDENT,23.0,1337.0,SINGLE,,,,,MIXED,5.0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,YES,11.0,NO,20.0,NO,NO,NO,,NO,,,NONE,160.0,61.0,20.8914324768944
MALE,31,45-59,RURAL AREAS,Dolnoslaskie,PRIMARY/NO EDUCATION,production and processing,OTHER ECONOMICALLY INACTIVE,7.0,,DIVORCED,8.0,1980.0,,,MOSTLY DISSATISFIED,6.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,10.0,NO,,NO,NO,NO,,NO,IT DEPENDS,,NONE,167.0,63.0,17.9666330337093
MALE,62,45-59,"URBAN 100,000-200,000",Lodzkie,SECONDARY,technical science,EMPLOYED IN PRIVATE SECTOR,0.0,1603.0,MARRIED,6.0,1981.0,,,MOSTLY DISSATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,2.0,YES,,NO,NO,NO,,NO,,,PASSIVE,165.0,74.0,18.1267293485355
FEMALE,74,16-24,"URBAN BELOW 20,000",Warminsko-mazurskie,SECONDARY,technical science,RETIRED,0.0,1952.0,WIDOWED,7.0,,,,MOSTLY SATISFIED,6.0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,10.0,YES,10.0,NO,NO,NO,,NO,,,NONE,166.0,69.0,16.597125305811
FEMALE,65,25-34,"URBAN 100,000-200,000",Zachodnio-pomorskie,SECONDARY,biological sciences,EMPLOYED IN PUBLIC SECTOR,,,MARRIED,7.0,,,2002.0,MOSTLY SATISFIED,6.0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,10.0,NO,,NO,NO,NO,,"YES, TO EU COUNTRY",,,NONE,174.0,71.0,16.227303209191
MALE,97,25-34,"URBAN 100,000-200,000",Lodzkie,SECONDARY,economy and administration,EMPLOYED IN PUBLIC SECTOR,0.0,1657.0,MARRIED,,1995.0,,,DELIGHTED,3.0,,YES,NO,NO,11.0,NO,16.0,NO,NO,NO,,NO,,GERMANY,NONE,193.0,70.0,14.7909384888876
FEMALE,60,60-64,"URBAN 100,000-200,000",Warminsko-mazurskie,SECONDARY,no specialisation,EMPLOYED IN PRIVATE SECTOR,,1572.0,SINGLE,9.0,1980.0,,,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,0.0,NO,10.0,NO,NO,YES,,"YES, TO EU COUNTRY",,,ACTIVE,202.0,114.0,13.2777236402623
MALE,97,16-24,"URBAN 200,000-500,000",Podlaskie,VOCATIONAL/GRAMMAR,services for the population and transport services,EMPLOYED IN PUBLIC SECTOR,6.0,1738.0,WIDOWED,,1963.0,7.0,,MOSTLY SATISFIED,8.0,ONE CAN`T BE TOO CAREFUL,NO,YES,YES,9.0,NO,,NO,NO,YES,,NO,,,NONE,158.0,47.0,15.1695337986105
FEMALE,52,45-59,"URBAN 100,000-200,000",Wielkopolskie,PRIMARY/NO EDUCATION,technical science,PUPIL OR STUDENT,,,MARRIED,7.0,1994.0,,,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,NO,,NO,NO,NO,,NO,,,NONE,202.0,70.0,13.7378439482612
MALE,68,45-59,RURAL AREAS,Slaskie,VOCATIONAL/GRAMMAR,armed forces and country protection,OTHER ECONOMICALLY INACTIVE,1.0,1542.0,DIVORCED,7.0,2004.0,7.0,,MIXED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,11.0,NO,,NO,NO,NO,,NO,LESS THAN 1 TO 2 YEARS,,ACTIVE,174.0,62.0,22.80196781776
