age,unempdur,income,mmarr,ymarr,msepdiv,ysepdiv,depress,nofriend,nociga,height,weight
37,,1293.0,9.0,2007.0,,,,21.0,,177.0,51.0
44,,1608.0,,1998.0,,,4.0,10.0,,178.0,87.0
61,24.0,5248.0,7.0,2004.0,,,8.0,1.0,10.0,171.0,50.0
41,0.0,,7.0,1982.0,7.0,,0.0,7.0,,195.0,73.0
65,0.0,,,1980.0,,,3.0,31.0,37.0,167.0,56.0
16,,1586.0,,,,,0.0,7.0,,164.0,74.0
71,,,12.0,1973.0,,,13.0,1.0,16.0,159.0,70.0
21,6.0,,7.0,,,,3.0,11.0,16.0,165.0,69.0
60,,760.0,9.0,,,,14.0,2.0,16.0,171.0,81.0
62,,1927.0,,1965.0,,,12.0,3.0,,160.0,57.0
46,,674.0,2.0,2002.0,,,6.0,2.0,,176.0,95.0
81,24.0,803.0,3.0,1966.0,,,10.0,2.0,,157.0,56.0
54,6.0,991.0,9.0,1972.0,7.0,,5.0,15.0,,158.0,66.0
41,6.0,1629.0,7.0,1981.0,,,5.0,2.0,,167.0,60.0
42,7.0,1670.0,7.0,,,,0.0,5.0,,152.0,58.0
32,0.0,,11.0,1975.0,,,0.0,3.0,16.0,175.0,76.0
57,,855.0,,1960.0,7.0,,7.0,4.0,,170.0,60.0
24,,1582.0,,1981.0,,,0.0,4.0,,171.0,50.0
36,0.0,3551.0,6.0,1991.0,,,0.0,5.0,,167.0,59.0
56,0.0,1096.0,11.0,2010.0,,,0.0,1.0,,177.0,79.0
65,24.0,,6.0,1972.0,,,14.0,3.0,,159.0,56.0
50,0.0,2194.0,10.0,1989.0,,,8.0,2.0,,161.0,62.0
24,2.0,3439.0,7.0,1982.0,,,0.0,1.0,16.0,171.0,77.0
43,6.0,1074.0,10.0,,,,0.0,43.0,10.0,180.0,80.0
66,6.0,831.0,12.0,1998.0,,,2.0,10.0,,175.0,80.0
20,6.0,1624.0,7.0,1982.0,,1998.0,0.0,3.0,,172.0,62.0
59,,,9.0,1957.0,,,15.0,5.0,16.0,160.0,74.0
80,0.0,700.0,,1973.0,5.0,,8.0,6.0,16.0,169.0,58.0
30,6.0,1610.0,7.0,2000.0,,,0.0,10.0,,182.0,74.0
41,23.0,721.0,7.0,1982.0,,,0.0,20.0,,170.0,60.0
57,24.0,782.0,,1961.0,,,10.0,6.0,,156.0,71.0
58,,529.0,6.0,,,,8.0,5.0,16.0,170.0,49.0
47,0.0,1040.0,,1982.0,,,9.0,6.0,,167.0,80.0
36,0.0,4271.0,,1991.0,,1998.0,0.0,6.0,,193.0,61.0
33,2.0,,7.0,,,,1.0,21.0,,173.0,85.0
70,24.0,978.0,12.0,1958.0,10.0,,9.0,20.0,,170.0,65.0
32,,399.0,7.0,1984.0,,,5.0,5.0,,170.0,61.0
68,24.0,1112.0,12.0,1983.0,,,5.0,21.0,,161.0,62.0
55,6.0,3189.0,8.0,,,,2.0,3.0,15.0,187.0,99.0
56,,1020.0,2.0,1977.0,,,2.0,14.0,,185.0,90.0
33,0.0,2256.0,6.0,2008.0,,1998.0,3.0,5.0,,173.0,87.0
20,,,,1981.0,,,3.0,7.0,16.0,171.0,57.0
43,6.0,,7.0,,,1998.0,0.0,28.0,,170.0,80.0
59,6.0,,7.0,,,,0.0,3.0,,163.0,86.0
63,24.0,431.0,,,,,0.0,13.0,,179.0,75.0
29,,,9.0,1980.0,,,4.0,45.0,,177.0,56.0
72,0.0,391.0,6.0,1981.0,,,4.0,4.0,,178.0,57.0
20,0.0,,,1981.0,,,3.0,3.0,,154.0,85.0
57,0.0,2483.0,,,,,2.0,7.0,,187.0,99.0
68,,816.0,4.0,1970.0,,,8.0,2.0,,169.0,71.0
36,,,9.0,,,,0.0,13.0,,188.0,82.0
42,,1633.0,7.0,1982.0,,,0.0,5.0,,166.0,74.0
31,6.0,,7.0,2000.0,,,0.0,2.0,,164.0,80.0
48,24.0,,6.0,1984.0,,,3.0,1.0,,168.0,79.0
23,6.0,,7.0,,7.0,,0.0,4.0,,173.0,79.0
30,,,8.0,,7.0,,0.0,11.0,,173.0,85.0
18,,1594.0,7.0,1982.0,,,0.0,3.0,,173.0,75.0
47,,,7.0,1981.0,,1998.0,0.0,15.0,,184.0,60.0
44,6.0,1265.0,,2008.0,,,0.0,2.0,,183.0,86.0
35,6.0,,9.0,,7.0,,0.0,4.0,,170.0,60.0
30,0.0,2378.0,10.0,,,,0.0,14.0,20.0,172.0,94.0
49,6.0,1660.0,7.0,,,,1.0,6.0,,172.0,80.0
53,0.0,1990.0,9.0,1997.0,,,12.0,8.0,,169.0,61.0
26,6.0,,7.0,2005.0,,,0.0,4.0,,172.0,59.0
47,,1577.0,7.0,1981.0,,1998.0,2.0,4.0,15.0,171.0,76.0
49,0.0,2932.0,,,,,0.0,6.0,,198.0,95.0
35,,1397.0,7.0,1982.0,,,0.0,5.0,,160.0,80.0
62,3.0,1030.0,9.0,1998.0,,,5.0,4.0,,175.0,79.0
31,0.0,,9.0,1995.0,,,2.0,7.0,,197.0,109.0
26,6.0,,2.0,,,,0.0,6.0,,169.0,62.0
25,6.0,,10.0,2010.0,,,4.0,3.0,,170.0,64.0
36,9.0,,7.0,,,1998.0,0.0,4.0,,173.0,79.0
31,6.0,1619.0,2.0,1993.0,,,4.0,14.0,,179.0,64.0
50,6.0,,8.0,2008.0,,,3.0,13.0,,171.0,79.0
33,0.0,1612.0,,2002.0,,1998.0,0.0,2.0,16.0,191.0,96.0
77,6.0,,12.0,,7.0,,0.0,2.0,,170.0,85.0
31,6.0,,7.0,1982.0,,,7.0,3.0,,171.0,57.0
32,0.0,2126.0,8.0,,,,4.0,2.0,,171.0,80.0
20,,564.0,7.0,1982.0,,,5.0,7.0,,170.0,79.0
50,24.0,,,,,1985.0,12.0,20.0,,161.0,63.0
27,,,8.0,1977.0,,1998.0,10.0,8.0,,175.0,80.0
50,,2777.0,9.0,,,,0.0,3.0,10.0,169.0,84.0
50,,1364.0,,1966.0,,,8.0,4.0,,169.0,56.0
32,0.0,2858.0,,1976.0,,,2.0,7.0,,181.0,75.0
59,24.0,,2.0,1962.0,,,11.0,4.0,,175.0,59.0
57,0.0,410.0,2.0,1979.0,,,4.0,3.0,,170.0,53.0
33,0.0,,9.0,2011.0,,,0.0,6.0,16.0,185.0,62.0
50,8.0,,8.0,1981.0,,,5.0,2.0,,174.0,89.0
34,,2413.0,4.0,2006.0,,,4.0,22.0,,175.0,74.0
68,6.0,,12.0,1969.0,,1987.0,15.0,3.0,,171.0,64.0
20,,,,1982.0,,,0.0,4.0,20.0,170.0,50.0
21,6.0,1603.0,7.0,1981.0,,1998.0,5.0,2.0,,173.0,79.0
31,,,9.0,2005.0,,,0.0,1.0,,193.0,65.0
76,24.0,,2.0,1953.0,,,14.0,4.0,,158.0,66.0
16,6.0,1597.0,7.0,1981.0,,,0.0,56.0,,155.0,52.0
58,0.0,1432.0,12.0,1976.0,7.0,,0.0,4.0,,160.0,66.0
51,9.0,483.0,7.0,1996.0,,,4.0,7.0,10.0,165.0,80.0
52,,1616.0,,1982.0,,,5.0,1.0,,164.0,63.0
66,24.0,,,1975.0,,1998.0,5.0,6.0,,180.0,58.0
61,6.0,710.0,12.0,,,,10.0,10.0,,158.0,80.0
77,0.0,1190.0,12.0,1960.0,,,16.0,11.0,,161.0,67.0
35,0.0,,,,,1998.0,3.0,2.0,,169.0,85.0
34,,3076.0,7.0,,,,0.0,8.0,,185.0,88.0
34,3.0,,5.0,1982.0,,,0.0,7.0,,158.0,73.0
54,,992.0,12.0,,7.0,,4.0,4.0,,168.0,74.0
69,,1315.0,8.0,1968.0,,,14.0,4.0,16.0,167.0,62.0
16,6.0,,7.0,1982.0,,,0.0,5.0,,155.0,64.0
46,2.0,637.0,9.0,1978.0,,1998.0,10.0,4.0,,150.0,79.0
42,0.0,1625.0,8.0,1995.0,,,,8.0,,165.0,82.0
50,0.0,1596.0,10.0,1994.0,7.0,,0.0,2.0,,170.0,86.0
22,3.0,669.0,7.0,,,,0.0,6.0,,157.0,78.0
55,6.0,,,2009.0,,,0.0,4.0,,154.0,73.0
54,,,8.0,,,,0.0,7.0,,191.0,79.0
33,,1663.0,7.0,1981.0,,,5.0,7.0,,157.0,73.0
57,,1099.0,10.0,1986.0,,,2.0,4.0,,180.0,86.0
67,,,9.0,1960.0,6.0,1984.0,13.0,2.0,16.0,158.0,58.0
44,,1657.0,7.0,2008.0,,,0.0,11.0,,172.0,99.0
23,,1654.0,,1981.0,,,0.0,1.0,,165.0,78.0
21,0.0,1642.0,7.0,1981.0,,,0.0,6.0,,171.0,79.0
19,6.0,,7.0,1982.0,7.0,1998.0,0.0,10.0,,171.0,79.0
42,,654.0,8.0,1974.0,,,7.0,3.0,,176.0,104.0
57,,1095.0,12.0,1972.0,7.0,,5.0,2.0,16.0,171.0,61.0
62,6.0,937.0,12.0,1963.0,,,6.0,3.0,,169.0,62.0
54,,,7.0,1981.0,,1998.0,0.0,2.0,,153.0,59.0
61,14.0,,9.0,,7.0,,2.0,10.0,,160.0,63.0
61,,2526.0,4.0,1978.0,,1998.0,9.0,5.0,,167.0,81.0
57,0.0,1400.0,6.0,1978.0,,1998.0,0.0,7.0,,178.0,66.0
18,6.0,,7.0,,,,4.0,7.0,,150.0,53.0
50,,,12.0,1976.0,,,6.0,2.0,,175.0,
47,,1597.0,,1981.0,7.0,,0.0,3.0,,164.0,55.0
40,,1629.0,,,7.0,,,2.0,,167.0,53.0
53,0.0,2109.0,8.0,2002.0,,,2.0,14.0,,168.0,65.0
31,0.0,1975.0,5.0,2007.0,,,0.0,4.0,,169.0,79.0
47,,,7.0,1982.0,,,0.0,3.0,,177.0,80.0
58,6.0,997.0,4.0,1977.0,,,0.0,2.0,,176.0,79.0
35,6.0,1314.0,7.0,,,,4.0,5.0,,170.0,61.0
50,0.0,1347.0,10.0,1979.0,,,3.0,6.0,,181.0,81.0
31,11.0,1173.0,9.0,,,,3.0,4.0,,160.0,64.0
52,0.0,,9.0,1996.0,,,0.0,3.0,20.0,170.0,74.0
44,6.0,1630.0,7.0,1982.0,,,4.0,17.0,,161.0,77.0
