sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi
MALE,64.0,35-44,RURAL AREAS,Lubelskie,VOCATIONAL/GRAMMAR,economy and administration,RETIRED,0.0,1110.0,SINGLE,10.0,1977.0,6.0,1996.0,MOSTLY SATISFIED,5.0,IT`S DIFFICULT TO TELL,YES,NO,NO,1.0,NO,20.0,NO,NO,NO,3.0,NO,FOREVER,GREAT BRITAIN,NONE,168.0,60.0,32.98578215191901
MALE,27.0,60-64,RURAL AREAS,Pomorskie,VOCATIONAL/GRAMMAR,healthcare,OTHER ECONOMICALLY INACTIVE,0.0,375.0,MARRIED,5.0,1954.0,1.0,1992.0,PLEASED,5.0,IT`S DIFFICULT TO TELL,YES,YES,YES,2.0,NO,8.0,NO,NO,NO,2.0,NO,LESS THAN 1 YEAR,GERMANY,ACTIVE,184.0,93.0,14.353436429304098
FEMALE,42.0,45-59,RURAL AREAS,Malopolskie,SECONDARY,no specialisation,RETIRED,0.0,6397.0,MARRIED,1.0,2006.0,10.0,2000.0,PLEASED,,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,13.0,NO,20.0,NO,NO,NO,7.0,NO,IT DEPENDS,GERMANY,NONE,169.0,50.0,15.607198810729297
MALE,17.0,45-59,RURAL AREAS,Pomorskie,SECONDARY,social sciences,RETIRED,0.0,2260.0,SINGLE,4.0,1974.0,8.0,1983.0,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,12.0,NO,10.0,NO,NO,NO,21.0,NO,LESS THAN 1 YEAR,GERMANY,NONE,156.0,62.0,13.175399463206611
FEMALE,18.0,65+,"URBAN 20,000-100,000",Dolnoslaskie,SECONDARY,no specialisation,UNEMPLOYED,0.0,1809.0,MARRIED,9.0,2006.0,1.0,1993.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,10.0,NO,20.0,NO,NO,NO,25.0,NO,IT DEPENDS,GERMANY,NONE,168.0,74.0,27.624576689753056
MALE,91.0,60-64,"URBAN 500,000 AND OVER",Lubelskie,VOCATIONAL/GRAMMAR,no specialisation,SELF-EMPLOYED,22.0,1522.0,WIDOWED,9.0,1991.0,10.0,1981.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,1.0,NO,15.0,NO,NO,NO,7.0,NO,IT DEPENDS,ITALY,PASSIVE,174.0,74.0,20.192931834829643
FEMALE,48.0,65+,"URBAN 100,000-200,000",Lubelskie,PRIMARY/NO EDUCATION,social sciences,EMPLOYED IN PRIVATE SECTOR,0.0,1844.0,WIDOWED,11.0,2004.0,5.0,2000.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,YES,20.0,NO,NO,NO,0.0,NO,IT DEPENDS,NORWAY,NONE,167.0,74.0,18.03321835662895
FEMALE,37.0,60-64,RURAL AREAS,Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,services for the population and transport services,PUPIL OR STUDENT,8.0,1058.0,SINGLE,8.0,1997.0,6.0,1992.0,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,11.0,NO,20.0,NO,NO,NO,5.0,NO,LESS THAN 1 YEAR,GREAT BRITAIN,ACTIVE,157.0,74.0,19.50216057126392
MALE,26.0,25-34,RURAL AREAS,Warminsko-mazurskie,VOCATIONAL/GRAMMAR,technical science,EMPLOYED IN PRIVATE SECTOR,12.0,1383.0,MARRIED,9.0,1986.0,8.0,2008.0,PLEASED,13.0,IT`S DIFFICULT TO TELL,YES,YES,NO,11.0,YES,10.0,NO,NO,NO,24.0,NO,IT DEPENDS,GERMANY,ACTIVE,156.0,87.0,19.60530104125616
MALE,63.0,25-34,"URBAN 100,000-200,000",Wielkopolskie,SECONDARY,no specialisation,RETIRED,24.0,266.0,MARRIED,10.0,1956.0,4.0,1990.0,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,20.0,YES,20.0,NO,NO,NO,11.0,NO,IT DEPENDS,GERMANY,NONE,172.0,61.0,21.95800757186856
FEMALE,60.0,16-24,"URBAN BELOW 20,000",Lodzkie,VOCATIONAL/GRAMMAR,healthcare,PUPIL OR STUDENT,0.0,1198.0,MARRIED,6.0,1999.0,9.0,2004.0,PLEASED,2.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,2.0,NO,5.0,NO,NO,NO,9.0,NO,IT DEPENDS,NORWAY,PASSIVE,181.0,65.0,29.589993734421554
FEMALE,18.0,35-44,"URBAN BELOW 20,000",Swietokrzyskie,POST-SECONDARY OR HIGHER,no specialisation,EMPLOYED IN PRIVATE SECTOR,24.0,1025.0,MARRIED,10.0,1989.0,6.0,1975.0,MOSTLY SATISFIED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,10.0,NO,NO,NO,7.0,NO,IT DEPENDS,GERMANY,PASSIVE,175.0,124.0,18.567459383207503
FEMALE,62.0,45-59,RURAL AREAS,Podlaskie,SECONDARY,computer science,RETIRED,0.0,648.0,MARRIED,8.0,2009.0,6.0,1992.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,9.0,NO,10.0,NO,NO,NO,3.0,NO,FOREVER,NETHERLANDS,PASSIVE,176.0,82.0,29.060519449876544
MALE,23.0,65+,RURAL AREAS,Lodzkie,SECONDARY,pedagogics,FARMER,0.0,3769.0,MARRIED,11.0,1964.0,3.0,2006.0,PLEASED,4.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,5.0,NO,10.0,NO,NO,NO,24.0,NO,LESS THAN 1 YEAR,GERMANY,NONE,157.0,119.0,26.623489812720038
MALE,79.0,65+,RURAL AREAS,Mazowieckie,PRIMARY/NO EDUCATION,"agriculture, forestry, fishing",EMPLOYED IN PRIVATE SECTOR,0.0,4796.0,MARRIED,4.0,1958.0,6.0,1992.0,MIXED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,3.0,YES,20.0,NO,NO,NO,41.0,NO,LESS THAN 1 YEAR,ITALY,NONE,175.0,55.0,20.555547030016818
FEMALE,37.0,25-34,"URBAN 20,000-100,000",Wielkopolskie,POST-SECONDARY OR HIGHER,"agriculture, forestry, fishing",EMPLOYED IN PRIVATE SECTOR,12.0,176.0,SINGLE,6.0,1983.0,7.0,1986.0,MIXED,8.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,17.0,NO,5.0,NO,NO,NO,4.0,NO,FOREVER,IRELAND,NONE,167.0,73.0,33.49254958109519
MALE,48.0,35-44,RURAL AREAS,Dolnoslaskie,POST-SECONDARY OR HIGHER,services for the population and transport services,PUPIL OR STUDENT,24.0,1679.0,MARRIED,6.0,1976.0,4.0,1986.0,DELIGHTED,0.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,12.0,NO,25.0,NO,NO,NO,7.0,"YES, TO EU COUNTRY",LESS THAN 1 YEAR,NORWAY,NONE,164.0,76.0,30.88409417868378
MALE,20.0,45-59,"URBAN BELOW 20,000",Mazowieckie,SECONDARY,social sciences,RETIRED,24.0,1140.0,MARRIED,8.0,2011.0,4.0,2001.0,PLEASED,3.0,MOST PEOPLE CAN BE TRUSTED,YES,NO,NO,7.0,NO,10.0,NO,NO,NO,27.0,NO,IT DEPENDS,GERMANY,PASSIVE,148.0,62.0,24.898857136341462
FEMALE,68.0,45-59,RURAL AREAS,Swietokrzyskie,SECONDARY,no specialisation,OTHER ECONOMICALLY INACTIVE,0.0,918.0,SINGLE,2.0,1990.0,2.0,2000.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,NO,NO OPINION,YES,7.0,NO,9.0,YES,NO,NO,5.0,NO,MORE THAN 2 YEARS,GERMANY,NONE,157.0,67.0,25.387350687002268
MALE,36.0,25-34,"URBAN 100,000-200,000",Pomorskie,VOCATIONAL/GRAMMAR,technical science,FARMER,24.0,1173.0,MARRIED,8.0,1979.0,10.0,2004.0,PLEASED,5.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,8.0,YES,20.0,YES,NO,NO,4.0,NO,IT DEPENDS,NETHERLANDS,ACTIVE,172.0,106.0,18.73269662387564
MALE,50.0,35-44,RURAL AREAS,Mazowieckie,POST-SECONDARY OR HIGHER,technical science,RETIRED,0.0,3238.0,MARRIED,4.0,1967.0,4.0,2001.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,24.0,NO,10.0,NO,NO,NO,19.0,NO,LESS THAN 1 YEAR,GERMANY,NONE,173.0,72.0,17.56833199885245
FEMALE,76.0,45-59,"URBAN BELOW 20,000",Dolnoslaskie,SECONDARY,law,EMPLOYED IN PRIVATE SECTOR,24.0,1921.0,MARRIED,10.0,1980.0,6.0,1983.0,PLEASED,3.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,40.0,NO,20.0,NO,NO,NO,25.0,NO,IT DEPENDS,SWEDEN,NONE,170.0,60.0,15.414061202999903
FEMALE,28.0,35-44,RURAL AREAS,Wielkopolskie,POST-SECONDARY OR HIGHER,technical science,RETIRED,0.0,1286.0,SINGLE,7.0,1978.0,4.0,1973.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,14.0,YES,2.0,NO,NO,NO,8.0,NO,LESS THAN 1 YEAR,SPAIN,PASSIVE,163.0,93.0,21.05089437806599
MALE,71.0,60-64,"URBAN BELOW 20,000",Opolskie,PRIMARY/NO EDUCATION,production and processing,EMPLOYED IN PRIVATE SECTOR,0.0,1114.0,MARRIED,9.0,1946.0,12.0,2001.0,PLEASED,3.0,IT`S DIFFICULT TO TELL,YES,YES,YES,12.0,NO,40.0,NO,NO,NO,12.0,NO,IT DEPENDS,IRELAND,PASSIVE,166.0,93.0,25.73924007593879
MALE,50.0,35-44,RURAL AREAS,Malopolskie,PRIMARY/NO EDUCATION,no specialisation,EMPLOYED IN PUBLIC SECTOR,0.0,638.0,MARRIED,11.0,1974.0,6.0,2009.0,MIXED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,NO,15.0,NO,YES,NO,4.0,NO,IT DEPENDS,GERMANY,NONE,164.0,79.0,23.048006562322755
FEMALE,73.0,25-34,RURAL AREAS,Dolnoslaskie,VOCATIONAL/GRAMMAR,technical science,PUPIL OR STUDENT,24.0,1190.0,DIVORCED,10.0,1970.0,11.0,1997.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,1.0,NO,20.0,NO,YES,NO,15.0,NO,LESS THAN 1 YEAR,GERMANY,NONE,158.0,75.0,25.057381307702656
MALE,66.0,45-59,RURAL AREAS,Zachodnio-pomorskie,SECONDARY,no specialisation,RETIRED,10.0,2425.0,WIDOWED,9.0,1976.0,12.0,2003.0,MIXED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,13.0,NO,10.0,NO,NO,NO,3.0,NO,IT DEPENDS,GERMANY,PASSIVE,185.0,82.0,15.695112682301378
MALE,47.0,16-24,RURAL AREAS,Warminsko-mazurskie,VOCATIONAL/GRAMMAR,no specialisation,EMPLOYED IN PRIVATE SECTOR,0.0,982.0,MARRIED,10.0,1980.0,6.0,2009.0,PLEASED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6.0,NO,10.0,NO,NO,NO,8.0,NO,IT DEPENDS,GERMANY,NONE,155.0,74.0,13.659474767666172
FEMALE,24.0,65+,RURAL AREAS,Lodzkie,PRIMARY/NO EDUCATION,"agriculture, forestry, fishing",RETIRED,0.0,1393.0,MARRIED,9.0,1973.0,5.0,2009.0,MOSTLY SATISFIED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,NO,9.0,NO,10.0,NO,NO,NO,28.0,"YES, TO EU COUNTRY",LESS THAN 1 YEAR,GERMANY,PASSIVE,155.0,61.0,19.632520590677558
FEMALE,20.0,25-34,"URBAN BELOW 20,000",Wielkopolskie,POST-SECONDARY OR HIGHER,services for the population and transport services,LONG-TERM SICK/DISABLED,24.0,9630.0,MARRIED,8.0,1959.0,6.0,1978.0,MOSTLY SATISFIED,9.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,15.0,NO,NO,NO,5.0,"YES, TO EU COUNTRY",LESS THAN 1 YEAR,GERMANY,NONE,168.0,74.0,18.966969388811584
FEMALE,71.0,45-59,RURAL AREAS,Dolnoslaskie,PRIMARY/NO EDUCATION,"agriculture, forestry, fishing",EMPLOYED IN PUBLIC SECTOR,0.0,1188.0,MARRIED,8.0,1966.0,10.0,1992.0,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,2.0,YES,40.0,NO,NO,NO,26.0,NO,LESS THAN 1 YEAR,NETHERLANDS,NONE,178.0,71.0,24.409696543339642
FEMALE,48.0,60-64,RURAL AREAS,Warminsko-mazurskie,VOCATIONAL/GRAMMAR,no specialisation,LONG-TERM SICK/DISABLED,0.0,3705.0,MARRIED,7.0,1991.0,1.0,1989.0,PLEASED,9.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,1.0,NO,10.0,NO,NO,NO,2.0,NO,LESS THAN 1 YEAR,SPAIN,NONE,187.0,45.0,25.27478218394772
MALE,58.0,45-59,"URBAN 500,000 AND OVER",Lubelskie,POST-SECONDARY OR HIGHER,no specialisation,LONG-TERM SICK/DISABLED,16.0,1510.0,SINGLE,10.0,2011.0,6.0,2011.0,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,15.0,NO,20.0,NO,NO,NO,8.0,"YES, TO EU COUNTRY",IT DEPENDS,GERMANY,ACTIVE,174.0,85.0,31.46824887644869
FEMALE,72.0,35-44,RURAL AREAS,Zachodnio-pomorskie,SECONDARY,healthcare,RETIRED,0.0,1806.0,SINGLE,10.0,1976.0,10.0,2003.0,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,3.0,NO,20.0,NO,NO,NO,6.0,NO,MORE THAN 2 YEARS,BELGIUM,NONE,180.0,103.0,18.297483816255415
