age,unempdur,income,mmarr,ymarr,msepdiv,ysepdiv,depress,nofriend,nociga,height,weight
92.0,,315.0,2.0,1947.0,12.0,1998.0,12.0,8.0,,169.0,53.0
47.0,24.0,,1.0,1987.0,,,6.0,13.0,10.0,159.0,69.0
18.0,,,,,,,,7.0,,178.0,68.0
33.0,6.0,1965.0,8.0,1998.0,,,0.0,10.0,15.0,170.0,61.0
22.0,,,,,,,3.0,0.0,,156.0,43.0
74.0,,1627.0,9.0,1957.0,,,17.0,6.0,,161.0,79.0
72.0,,1465.0,12.0,1964.0,,,8.0,8.0,,182.0,120.0
42.0,0.0,1014.0,9.0,1992.0,,,2.0,12.0,,169.0,86.0
75.0,0.0,727.0,8.0,1984.0,,,2.0,21.0,,148.0,88.0
31.0,0.0,1049.0,,,,,2.0,3.0,,168.0,60.0
48.0,0.0,263.0,,,,,6.0,11.0,,164.0,66.0
30.0,,,5.0,2003.0,,,0.0,7.0,,176.0,113.0
62.0,0.0,,10.0,1975.0,9.0,2001.0,8.0,6.0,,174.0,84.0
31.0,,1383.0,9.0,2003.0,,,0.0,25.0,,157.0,68.0
43.0,,266.0,6.0,1986.0,6.0,2008.0,0.0,1.0,,181.0,72.0
53.0,0.0,1198.0,10.0,1979.0,,,3.0,3.0,,163.0,66.0
20.0,24.0,,,,,,1.0,2.0,,184.0,98.0
81.0,0.0,3410.0,5.0,1954.0,9.0,1986.0,14.0,14.0,15.0,165.0,66.0
19.0,,648.0,,,,,3.0,11.0,,169.0,80.0
56.0,,589.0,10.0,1979.0,,,3.0,13.0,10.0,189.0,118.0
70.0,0.0,,4.0,1958.0,,,14.0,32.0,,161.0,57.0
39.0,0.0,2411.0,10.0,1991.0,,,3.0,11.0,,169.0,82.0
76.0,24.0,971.0,10.0,1958.0,,,5.0,7.0,,161.0,74.0
51.0,0.0,1679.0,1.0,1979.0,12.0,2004.0,1.0,11.0,10.0,159.0,65.0
42.0,0.0,,9.0,1993.0,,,8.0,2.0,15.0,170.0,82.0
73.0,0.0,1140.0,11.0,1959.0,2.0,2010.0,11.0,6.0,,159.0,60.0
22.0,,918.0,,,,,0.0,3.0,,190.0,80.0
63.0,0.0,378.0,4.0,1982.0,,,2.0,23.0,20.0,148.0,51.0
52.0,0.0,1648.0,9.0,1982.0,,,3.0,9.0,,165.0,68.0
28.0,,,,,,,0.0,4.0,,178.0,61.0
46.0,0.0,1126.0,8.0,1987.0,,,2.0,1.0,,185.0,103.0
36.0,,,4.0,2005.0,,,1.0,15.0,,179.0,66.0
33.0,,2876.0,1.0,1996.0,,,3.0,10.0,,189.0,90.0
64.0,24.0,1909.0,4.0,1968.0,,,9.0,5.0,20.0,165.0,68.0
34.0,0.0,,8.0,1999.0,,,2.0,2.0,20.0,158.0,70.0
40.0,,,8.0,1991.0,,,3.0,9.0,,158.0,51.0
51.0,0.0,1433.0,10.0,1988.0,,,4.0,7.0,15.0,183.0,81.0
22.0,12.0,1190.0,,,,,0.0,8.0,,171.0,78.0
40.0,,,,,,,0.0,21.0,,163.0,52.0
23.0,0.0,,,,,,1.0,9.0,,162.0,45.0
20.0,12.0,2425.0,,,,,10.0,4.0,,189.0,76.0
22.0,0.0,,11.0,2008.0,,,1.0,7.0,10.0,182.0,81.0
20.0,24.0,,,,,,0.0,7.0,,170.0,64.0
41.0,12.0,1777.0,3.0,2009.0,,,9.0,4.0,10.0,184.0,117.0
54.0,,1393.0,6.0,1980.0,,,4.0,6.0,,174.0,93.0
52.0,12.0,885.0,,,,,9.0,8.0,6.0,179.0,80.0
57.0,24.0,1983.0,,,,,6.0,3.0,40.0,159.0,82.0
39.0,0.0,1320.0,1.0,1993.0,,,2.0,3.0,,163.0,81.0
53.0,0.0,2305.0,,,,,2.0,1.0,10.0,169.0,83.0
40.0,0.0,216.0,4.0,1997.0,,,6.0,1.0,,151.0,55.0
52.0,,478.0,,,,,7.0,6.0,10.0,158.0,50.0
18.0,0.0,,,,,,0.0,7.0,,155.0,40.0
41.0,0.0,1575.0,8.0,1996.0,,,,52.0,30.0,165.0,82.0
70.0,24.0,1595.0,2.0,1954.0,,,8.0,2.0,,182.0,83.0
30.0,,,12.0,2003.0,,,3.0,4.0,20.0,163.0,58.0
56.0,,,6.0,1979.0,3.0,2002.0,5.0,5.0,,157.0,63.0
16.0,,,,,,,4.0,8.0,,169.0,72.0
63.0,,1314.0,12.0,1972.0,,,11.0,3.0,,157.0,66.0
23.0,0.0,2324.0,,,,,3.0,7.0,,188.0,105.0
22.0,24.0,,,,,,7.0,3.0,,185.0,79.0
68.0,24.0,1319.0,9.0,1968.0,3.0,2002.0,5.0,2.0,,176.0,85.0
18.0,,,,,,,0.0,4.0,,159.0,40.0
69.0,,642.0,8.0,1959.0,,,8.0,6.0,,166.0,54.0
18.0,,,,,,,0.0,2.0,,186.0,70.0
51.0,24.0,3129.0,6.0,1986.0,5.0,2005.0,1.0,3.0,10.0,161.0,68.0
58.0,,161.0,10.0,1971.0,,,6.0,3.0,,156.0,65.0
39.0,0.0,174.0,,,,,3.0,13.0,,154.0,71.0
82.0,24.0,3316.0,10.0,1945.0,2.0,2006.0,0.0,4.0,,158.0,78.0
63.0,12.0,2404.0,9.0,1979.0,,,3.0,14.0,,165.0,92.0
29.0,,275.0,,,,,0.0,4.0,,173.0,74.0
65.0,,1297.0,11.0,1967.0,,,3.0,31.0,,160.0,72.0
61.0,,1178.0,6.0,1983.0,,,2.0,8.0,,175.0,78.0
71.0,0.0,410.0,1.0,1960.0,6.0,1992.0,14.0,32.0,,156.0,69.0
35.0,0.0,1172.0,6.0,2002.0,,,0.0,8.0,,171.0,61.0
42.0,24.0,1584.0,2.0,1997.0,,,1.0,12.0,,170.0,82.0
20.0,10.0,979.0,,,,,3.0,4.0,,176.0,62.0
72.0,,1484.0,11.0,1961.0,,,8.0,3.0,,159.0,71.0
72.0,,500.0,4.0,1961.0,,,7.0,4.0,22.0,160.0,64.0
72.0,0.0,1361.0,9.0,1970.0,3.0,2000.0,9.0,5.0,30.0,167.0,64.0
40.0,0.0,,4.0,1991.0,,,7.0,4.0,,165.0,79.0
72.0,0.0,474.0,,,,,6.0,3.0,,158.0,69.0
56.0,,716.0,,,,,4.0,2.0,,161.0,53.0
71.0,24.0,1327.0,9.0,1961.0,,,1.0,0.0,,162.0,93.0
42.0,24.0,,12.0,1995.0,,,10.0,7.0,20.0,164.0,72.0
35.0,22.0,2811.0,10.0,1996.0,,,5.0,9.0,,168.0,64.0
29.0,0.0,1223.0,6.0,2007.0,,,5.0,5.0,,167.0,70.0
19.0,,438.0,,,,,0.0,5.0,,183.0,75.0
52.0,0.0,1334.0,,1984.0,,,6.0,3.0,20.0,162.0,52.0
28.0,0.0,1089.0,,,,,0.0,10.0,,169.0,50.0
63.0,0.0,2467.0,4.0,1967.0,,,6.0,20.0,,167.0,87.0
28.0,0.0,1579.0,,,,,0.0,2.0,,164.0,79.0
35.0,0.0,,10.0,2002.0,,,2.0,8.0,14.0,176.0,75.0
58.0,,,1.0,1976.0,,,5.0,3.0,6.0,168.0,82.0
39.0,,1163.0,4.0,1992.0,,,4.0,12.0,20.0,179.0,101.0
24.0,,523.0,,,,,0.0,2.0,,185.0,65.0
56.0,0.0,1411.0,9.0,1972.0,,,5.0,3.0,,172.0,88.0
23.0,0.0,1287.0,,,,,3.0,5.0,,164.0,55.0
45.0,0.0,3417.0,1.0,1982.0,,,0.0,2.0,,182.0,91.0
71.0,24.0,2202.0,7.0,1959.0,,,7.0,11.0,,157.0,81.0
38.0,0.0,,2.0,1991.0,1.0,2003.0,0.0,3.0,,191.0,104.0
59.0,0.0,,1.0,1984.0,,,1.0,8.0,,165.0,93.0
19.0,9.0,,,,,,0.0,1.0,,176.0,74.0
49.0,0.0,1425.0,6.0,1983.0,,,5.0,10.0,,158.0,70.0
35.0,,,5.0,2005.0,,,0.0,24.0,,175.0,69.0
49.0,0.0,,3.0,1993.0,,,12.0,0.0,,170.0,114.0
61.0,,567.0,11.0,1976.0,,,3.0,10.0,15.0,174.0,87.0
72.0,0.0,1309.0,1.0,1961.0,,,10.0,5.0,,166.0,71.0
17.0,0.0,,,,,,5.0,9.0,,162.0,56.0
19.0,5.0,,,,,,6.0,3.0,,179.0,67.0
37.0,0.0,,7.0,2010.0,,,2.0,21.0,,166.0,60.0
61.0,0.0,2063.0,6.0,1975.0,,,2.0,6.0,,174.0,89.0
19.0,,,,,,,0.0,15.0,,176.0,92.0
73.0,24.0,2468.0,12.0,1953.0,11.0,2002.0,9.0,6.0,,174.0,90.0
30.0,10.0,1768.0,,,,,1.0,2.0,12.0,160.0,48.0
60.0,24.0,3984.0,10.0,1978.0,,,5.0,13.0,,168.0,74.0
42.0,12.0,3281.0,10.0,1996.0,,,0.0,2.0,,161.0,58.0
27.0,1.0,,,,,,0.0,11.0,,151.0,55.0
81.0,0.0,703.0,12.0,1942.0,6.0,2006.0,6.0,7.0,,162.0,57.0
31.0,24.0,1260.0,,,,,2.0,12.0,,178.0,63.0
18.0,,523.0,,,,2002.0,4.0,7.0,,184.0,76.0
55.0,0.0,936.0,,,,,3.0,11.0,,159.0,57.0
26.0,,1654.0,,,,,3.0,8.0,,169.0,92.0
54.0,4.0,1834.0,7.0,2007.0,,,11.0,24.0,20.0,167.0,50.0
56.0,0.0,1552.0,8.0,1978.0,,,0.0,9.0,30.0,180.0,77.0
61.0,,892.0,6.0,1967.0,,,5.0,3.0,,165.0,79.0
16.0,24.0,,,,,,4.0,8.0,,169.0,78.0
20.0,,,,,,,0.0,4.0,,166.0,61.0
61.0,,3190.0,9.0,1966.0,9.0,2010.0,9.0,0.0,,176.0,122.0
61.0,24.0,,6.0,1963.0,7.0,2009.0,2.0,6.0,,164.0,65.0
53.0,0.0,1401.0,10.0,1985.0,,,4.0,3.0,,169.0,90.0
52.0,0.0,1016.0,4.0,1981.0,,,4.0,9.0,15.0,155.0,67.0
36.0,0.0,1366.0,9.0,2004.0,,,0.0,6.0,,176.0,101.0
65.0,,637.0,4.0,1969.0,,,8.0,1.0,,152.0,70.0
66.0,0.0,839.0,11.0,1968.0,,,3.0,3.0,,173.0,103.0
73.0,0.0,1440.0,7.0,1954.0,10.0,2009.0,7.0,8.0,5.0,193.0,77.0
45.0,12.0,1024.0,4.0,1987.0,,,3.0,8.0,,174.0,100.0
78.0,,925.0,,,,,8.0,7.0,,159.0,81.0
63.0,24.0,1537.0,7.0,1982.0,,,0.0,9.0,,164.0,84.0
66.0,,1175.0,1.0,1963.0,,,13.0,6.0,,172.0,99.0
49.0,0.0,1957.0,,,,,4.0,6.0,20.0,176.0,84.0
22.0,,378.0,,,,,0.0,18.0,20.0,179.0,75.0
57.0,,1629.0,7.0,1980.0,,,7.0,4.0,20.0,167.0,68.0
20.0,,765.0,,,,,0.0,8.0,,169.0,66.0
65.0,,729.0,11.0,1971.0,,,7.0,12.0,,169.0,84.0
78.0,0.0,1281.0,,,,,9.0,12.0,,168.0,80.0
22.0,,883.0,,,,,1.0,7.0,,174.0,87.0
35.0,0.0,1355.0,7.0,2006.0,,,7.0,1.0,30.0,168.0,129.0
60.0,0.0,1601.0,4.0,1967.0,1.0,2002.0,6.0,19.0,,158.0,73.0
28.0,0.0,1664.0,,,,,6.0,14.0,4.0,171.0,68.0
53.0,12.0,2963.0,6.0,1984.0,,,0.0,,30.0,,
55.0,,2161.0,6.0,1980.0,,,5.0,4.0,1.0,161.0,81.0
64.0,24.0,2456.0,7.0,1970.0,,,7.0,12.0,,161.0,54.0
61.0,0.0,1714.0,6.0,1964.0,,,10.0,2.0,,187.0,110.0
71.0,0.0,528.0,11.0,1963.0,,,,6.0,,151.0,64.0
76.0,24.0,1784.0,10.0,1959.0,,,6.0,0.0,,162.0,67.0
30.0,0.0,1546.0,8.0,1998.0,,,11.0,12.0,,180.0,79.0
58.0,,844.0,3.0,2008.0,,,3.0,13.0,,170.0,76.0
59.0,24.0,3726.0,4.0,1975.0,10.0,1999.0,5.0,10.0,,172.0,107.0
42.0,0.0,338.0,10.0,1989.0,,,6.0,5.0,,155.0,54.0
49.0,0.0,,10.0,1984.0,,,2.0,1.0,,158.0,68.0
54.0,0.0,1611.0,6.0,1981.0,,,2.0,9.0,,159.0,64.0
62.0,12.0,977.0,8.0,1979.0,,,11.0,6.0,,179.0,107.0
18.0,,,,,,,1.0,11.0,,172.0,67.0
38.0,,,7.0,1993.0,12.0,2005.0,2.0,13.0,,171.0,70.0
38.0,,1522.0,6.0,1993.0,2.0,2003.0,4.0,34.0,10.0,164.0,51.0
50.0,0.0,928.0,7.0,2003.0,,,2.0,12.0,,157.0,59.0
80.0,,2307.0,5.0,1954.0,,,14.0,3.0,,174.0,103.0
45.0,,1502.0,2.0,1985.0,,,5.0,3.0,20.0,165.0,62.0
51.0,0.0,2319.0,11.0,1992.0,,,1.0,11.0,10.0,165.0,80.0
16.0,0.0,,,,,,3.0,0.0,,193.0,85.0
23.0,,1422.0,,,,,2.0,8.0,,184.0,91.0
54.0,24.0,1835.0,7.0,1974.0,,,5.0,3.0,20.0,169.0,91.0
57.0,,1549.0,,,,,0.0,3.0,,160.0,70.0
37.0,0.0,,9.0,1993.0,6.0,2001.0,1.0,4.0,1.0,170.0,71.0
41.0,0.0,1073.0,7.0,2006.0,,,1.0,12.0,,159.0,52.0
32.0,0.0,,,,,,2.0,1.0,,173.0,87.0
54.0,,2349.0,10.0,1983.0,,,5.0,3.0,1.0,171.0,87.0
33.0,6.0,2188.0,9.0,1993.0,,,0.0,21.0,10.0,190.0,82.0
58.0,0.0,1565.0,8.0,1976.0,,,7.0,8.0,,177.0,92.0
64.0,0.0,1323.0,12.0,1971.0,,,7.0,3.0,,163.0,78.0
59.0,,1701.0,9.0,1971.0,,,2.0,2.0,,163.0,64.0
35.0,0.0,,7.0,2005.0,,,0.0,9.0,,161.0,94.0
55.0,0.0,1629.0,10.0,1978.0,,,6.0,7.0,15.0,170.0,68.0
26.0,,,5.0,2009.0,,,0.0,5.0,,164.0,57.0
58.0,,2141.0,1.0,1977.0,,,3.0,23.0,5.0,171.0,61.0
35.0,4.0,2840.0,7.0,2006.0,,,3.0,9.0,8.0,174.0,75.0
32.0,0.0,3643.0,7.0,2003.0,,,2.0,8.0,14.0,165.0,68.0
57.0,0.0,1345.0,9.0,1985.0,,,0.0,8.0,,176.0,89.0
86.0,24.0,722.0,5.0,1946.0,10.0,2006.0,20.0,14.0,,159.0,65.0
57.0,0.0,1146.0,11.0,1973.0,,,5.0,2.0,15.0,180.0,97.0
67.0,24.0,2031.0,7.0,1964.0,,,10.0,5.0,,171.0,87.0
18.0,,,,,,,3.0,5.0,10.0,185.0,109.0
36.0,0.0,1046.0,6.0,1994.0,,,4.0,1.0,,164.0,93.0
26.0,0.0,,,,,,0.0,20.0,,172.0,63.0
58.0,0.0,1277.0,7.0,1976.0,,,,15.0,10.0,184.0,83.0
66.0,,1513.0,2.0,1964.0,,,,6.0,,171.0,83.0
31.0,,929.0,9.0,2010.0,,,2.0,0.0,,167.0,64.0
70.0,24.0,1569.0,2.0,1965.0,,,9.0,3.0,,174.0,81.0
31.0,0.0,1022.0,,,,,0.0,4.0,,176.0,73.0
24.0,0.0,,,,,,0.0,9.0,20.0,155.0,57.0
18.0,,,,,,,0.0,4.0,,187.0,77.0
29.0,0.0,,8.0,2006.0,,,0.0,5.0,,174.0,71.0
17.0,,,,,7.0,1996.0,,2.0,,176.0,70.0
59.0,,,8.0,1975.0,,,7.0,2.0,,175.0,85.0
71.0,,1025.0,12.0,1960.0,1.0,1997.0,5.0,4.0,,156.0,51.0
55.0,,2653.0,3.0,1982.0,,,9.0,3.0,,180.0,77.0
47.0,0.0,1484.0,8.0,1982.0,,,2.0,7.0,,167.0,76.0
48.0,0.0,1441.0,,,,,0.0,7.0,,184.0,104.0
67.0,0.0,774.0,6.0,1970.0,12.0,1993.0,13.0,7.0,,160.0,71.0
