sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi
MALE,88.0,60-64,"URBAN 100,000-200,000",Dolnoslaskie,SECONDARY,mathematics and statistics,EMPLOYED IN PRIVATE SECTOR,4,9013.0,WIDOWED,1.0,2005.0,10.0,1969.0,MIXED,10.0,,NO,NO OPINION,NO,80.0,NO,35,YES,,NO,5.0,,FOREVER,,ACTIVE,201.0,37.0,343.8084874675461
FEMALE,84.0,65+,"URBAN 100,000-200,000",Zachodnio-pomorskie,POST-SECONDARY OR HIGHER,computer science,UNEMPLOYED,18,11474.0,,10.0,1965.0,7.0,1968.0,UNHAPPY,3.0,MOST PEOPLE CAN BE TRUSTED,,,,80.0,YES,35,YES,,YES,19.0,"YES, TO NON-EU COUNTRY",MORE THAN 2 YEARS,,,127.0,147.0,394.19410367193234
FEMALE,74.0,45-59,"URBAN 500,000 AND OVER",Podlaskie,,,PUPIL OR STUDENT,1,10334.0,,3.0,1999.0,3.0,1965.0,UNHAPPY,5.0,,YES,YES,NO,66.0,YES,17,,,YES,-4.0,"YES, TO NON-EU COUNTRY",,OTHER EU COUNTRIES,ACTIVE,197.0,73.0,273.52978697364256
MALE,78.0,60-64,RURAL AREAS,Lodzkie,,mathematics and statistics,OTHER ECONOMICALLY INACTIVE,48,9370.0,LEGALLY SEPARATED,7.0,1942.0,1.0,1947.0,TERRIBLE,6.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,,NO,-5.0,NO,13,NO,YES,,25.0,,MORE THAN 2 YEARS,AUSTRALIA,,136.0,49.0,272.8816627820675
FEMALE,26.0,,RURAL AREAS,Podkarpackie,PRIMARY/NO EDUCATION,other,,26,6515.0,DIVORCED,11.0,1950.0,4.0,1975.0,DELIGHTED,10.0,MOST PEOPLE CAN BE TRUSTED,NO,NO,,81.0,YES,14,,YES,,33.0,"YES, TO EU COUNTRY",MORE THAN 2 YEARS,,NONE,124.0,131.0,222.7080340589353
FEMALE,46.0,,"URBAN 20,000-100,000",Wielkopolskie,,services for the population and transport services,,20,11028.0,DE FACTO SEPARATED,9.0,2005.0,3.0,2004.0,PLEASED,9.0,MOST PEOPLE CAN BE TRUSTED,,YES,YES,1.0,NO,9,YES,,,53.0,NO,FOREVER,SPAIN,PASSIVE,117.0,87.0,102.79489135296727
FEMALE,35.0,45-59,RURAL AREAS,Podkarpackie,SECONDARY,lack of data,EMPLOYED IN PUBLIC SECTOR,4,7351.0,DE FACTO SEPARATED,5.0,1990.0,7.0,2008.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,,NO,68.0,,17,,,YES,32.0,"YES, TO NON-EU COUNTRY",MORE THAN 2 YEARS,SPAIN,,168.0,115.0,33.72278009754281
MALE,25.0,16-24,"URBAN 200,000-500,000",Podlaskie,,liberal arts,OTHER ECONOMICALLY INACTIVE,12,14564.0,LEGALLY SEPARATED,9.0,1943.0,2.0,1954.0,MOSTLY SATISFIED,17.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,YES,2.0,YES,25,YES,NO,NO,17.0,"YES, TO EU COUNTRY",MORE THAN 2 YEARS,DENMARK,NONE,192.0,76.0,233.17690760597156
FEMALE,46.0,35-44,"URBAN 200,000-500,000",Slaskie,SECONDARY,mathematics and statistics,EMPLOYED IN PUBLIC SECTOR,3,,DE FACTO SEPARATED,1.0,1956.0,12.0,2001.0,PLEASED,9.0,,NO OPINION,NO OPINION,NO,29.0,NO,12,,YES,YES,28.0,,LESS THAN 1 YEAR,AUSTRIA,,159.0,77.0,310.51372227229064
MALE,71.0,45-59,"URBAN 100,000-200,000",Warminsko-mazurskie,PRIMARY/NO EDUCATION,biological sciences,RETIRED,16,6086.0,DE FACTO SEPARATED,1.0,1993.0,1.0,1986.0,MOSTLY DISSATISFIED,14.0,,YES,NO OPINION,YES,20.0,NO,10,,,NO,22.0,,LESS THAN 1 TO 2 YEARS,OTHER EU COUNTRIES,ACTIVE,189.0,108.0,411.3793833518488
