sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi
FEMALE,48.0,45-59,RURAL AREAS,Podkarpackie,SECONDARY,no specialisation,EMPLOYED IN PRIVATE SECTOR,-8,1810.0,MARRIED,10.0,1985.0,,,PLEASED,2.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,6.0,YES,40,NO,NO,NO,-5.0,NO,,,NONE,167.0,92.0,14.675210101299866
MALE,35.0,35-44,"URBAN 200,000-500,000",Slaskie,SECONDARY,services for the population and transport services,SELF-EMPLOYED,0,269.0,MARRIED,5.0,1999.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,13.0,NO,-8,NO,NO,NO,-6.0,NO,,,ACTIVE,179.0,81.0,25.48448482922246
MALE,50.0,45-59,RURAL AREAS,Podlaskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",FARMER,-8,1530.0,MARRIED,1.0,1981.0,,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,-2.0,NO,-8,NO,NO,NO,-8.0,NO,,,NONE,192.0,86.0,27.46747573594584
FEMALE,41.0,35-44,RURAL AREAS,Podkarpackie,VOCATIONAL/GRAMMAR,technical science,FARMER,-8,1366.0,MARRIED,7.0,1992.0,,,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,-2.0,NO,-8,NO,NO,NO,-7.0,NO,,,NONE,166.0,81.0,34.575908153588834
FEMALE,55.0,45-59,"URBAN 500,000 AND OVER",Mazowieckie,POST-SECONDARY OR HIGHER,economy and administration,FARMER,0,1712.0,MARRIED,4.0,1981.0,,,MOSTLY SATISFIED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,-1.0,YES,10,NO,NO,NO,-7.0,NO,,,NONE,169.0,81.0,21.507652228968613
MALE,22.0,16-24,"URBAN 100,000-200,000",Pomorskie,SECONDARY,technical science,UNEMPLOYED,0,623.0,SINGLE,,,,,MOSTLY DISSATISFIED,5.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,NO,-1.0,YES,2,YES,NO,,-6.0,"YES, TO EU COUNTRY",IT DEPENDS,GERMANY,PASSIVE,185.0,91.0,27.48731254858953
FEMALE,64.0,60-64,RURAL AREAS,Mazowieckie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,0,147.0,SINGLE,,,,,MIXED,13.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,7.0,NO,-8,NO,NO,NO,-7.0,NO,,,NONE,163.0,65.0,25.810313727379533
MALE,29.0,25-34,"URBAN BELOW 20,000",Wielkopolskie,POST-SECONDARY OR HIGHER,liberal arts,EMPLOYED IN PRIVATE SECTOR,-8,957.0,MARRIED,9.0,2008.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,12.0,NO,-8,NO,NO,NO,-7.0,NO,,,ACTIVE,180.0,116.0,52.70207239532248
FEMALE,54.0,45-59,"URBAN 100,000-200,000",Zachodnio-pomorskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",SELF-EMPLOYED,0,483.0,DE FACTO SEPARATED,9.0,1975.0,11.0,1958.0,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,3.0,YES,10,YES,NO,NO,-6.0,NO,,,NONE,158.0,52.0,32.83003301807845
MALE,18.0,16-24,"URBAN 100,000-200,000",Mazowieckie,VOCATIONAL/GRAMMAR,no specialisation,UNEMPLOYED,-8,,SINGLE,,,,,PLEASED,6.0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,6.0,NO,-8,YES,NO,NO,-5.0,NO,,,NONE,176.0,79.0,34.08622548313595
