"sex","placesize","region","edu","socprof","marital","ls","trust","trustfam","trustneigh","sport","smoke","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","eduspec"
"MALE","RURAL AREAS","Podkarpackie","POST-SECONDARY OR HIGHER","RETIRED","MARRIED","PLEASED","ONE CAN`T BE TOO CAREFUL","YES","YES","YES","YES","NO","NO","NO",NA,"NO",NA,NA,"NONE","social sciences"
"MALE","RURAL AREAS","Pomorskie","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE","MIXED","ONE CAN`T BE TOO CAREFUL","YES","YES","NO","YES","NO","NO","NO",NA,"NO",NA,NA,"ACTIVE","no specialisation"
"MALE","URBAN BELOW 20,000","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE","MIXED","ONE CAN`T BE TOO CAREFUL","YES","NO","NO","NO","NO","NO",NA,NA,"YES, TO EU COUNTRY","IT DEPENDS","IRELAND","PASSIVE","no specialisation"
"MALE","URBAN 500,000 AND OVER","Lodzkie","SECONDARY","PUPIL OR STUDENT","MARRIED","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","YES","NO","YES","NO","NO","NO","NO",NA,"NO",NA,NA,"ACTIVE","no specialisation"
"FEMALE","URBAN 200,000-500,000","Malopolskie","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED","MOSTLY DISSATISFIED","ONE CAN`T BE TOO CAREFUL","NO OPINION","NO","NO","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","economy and administration"
"FEMALE","URBAN 100,000-200,000","Dolnoslaskie","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","YES","YES","NO","NO","NO","NO","NO",NA,"NO",NA,NA,"PASSIVE","social sciences"
"MALE","URBAN 100,000-200,000","Wielkopolskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE","MIXED","IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","NO","YES","NO","NO","NO",NA,"NO",NA,NA,"PASSIVE","no specialisation"
"FEMALE","RURAL AREAS","Podkarpackie","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE","MIXED","ONE CAN`T BE TOO CAREFUL","YES","YES","NO","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","services for the population and transport services"
"MALE","RURAL AREAS","Lubuskie","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","architecture and construction"
"MALE","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED","PLEASED","ONE CAN`T BE TOO CAREFUL","YES","YES","YES","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","no specialisation"
"FEMALE","RURAL AREAS","Wielkopolskie","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED","PLEASED","IT`S DIFFICULT TO TELL","YES","NO","YES","NO","NO","NO",NA,NA,"NO",NA,NA,"NONE","no specialisation"
"FEMALE","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED","MIXED","ONE CAN`T BE TOO CAREFUL","YES","YES","YES","NO","NO","NO",NA,NA,"NO",NA,NA,"NONE","no specialisation"
"FEMALE","URBAN BELOW 20,000","Mazowieckie","VOCATIONAL/GRAMMAR","RETIRED","MARRIED","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","YES","YES","NO","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","production and processing"
"MALE","URBAN 500,000 AND OVER","Dolnoslaskie","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE","PLEASED","MOST PEOPLE CAN BE TRUSTED","YES","YES","YES","NO","NO","NO",NA,NA,"YES, TO EU COUNTRY","LESS THAN 1 YEAR","GERMANY","ACTIVE","social sciences"
