"age","unempdur","income","mmarr","ymarr","msepdiv","ysepdiv","depress","nofriend","nociga","height","weight"
67,NA,820,7,1969,NA,NA,10,0,NA,176,100
55,24,NA,10,1979,NA,NA,19,2,NA,163,95
31,8,700,NA,NA,NA,NA,5,30,20,186,90
26,0,NA,NA,NA,NA,NA,0,3,NA,171,60
54,0,2300,2,1980,2,1998,5,2,15,165,75
32,0,2200,10,2007,NA,NA,0,4,10,170,62
32,NA,1300,NA,NA,NA,NA,0,5,20,168,65
63,0,1100,NA,NA,NA,NA,11,2,NA,180,82
45,0,1500,6,1992,2,1992,1,10,8,168,70
39,21,NA,8,1995,NA,NA,3,5,NA,163,64
76,24,650,6,1959,NA,NA,7,6,25,182,80
50,0,NA,7,1980,NA,NA,12,5,30,176,100
58,24,1800,10,1974,NA,NA,7,10,NA,180,78
20,NA,NA,NA,NA,NA,NA,0,12,NA,155,60
90,24,1200,9,1942,1,1989,16,10,NA,165,53
42,NA,1000,9,1987,NA,NA,0,2,NA,165,58
70,24,1400,NA,NA,NA,NA,11,15,NA,158,72
23,NA,1700,NA,NA,NA,NA,0,9,20,176,85
77,24,720,1,1955,11,2000,7,3,15,165,90
17,NA,NA,NA,NA,NA,NA,6,20,NA,170,60
25,NA,NA,NA,NA,NA,NA,0,3,NA,185,74
46,NA,2400,8,1985,NA,NA,3,2,30,176,90
73,NA,1730,8,1966,NA,NA,11,10,NA,170,78
68,24,870,11,1964,5,1994,4,21,NA,164,90
63,24,2700,4,1980,NA,NA,4,10,NA,171,68
76,24,NA,9,2000,NA,NA,9,3,NA,161,80
77,NA,890,NA,NA,NA,NA,14,2,NA,155,60
19,NA,NA,NA,NA,NA,1999,0,7,NA,194,92
74,24,815,9,1956,2,1987,14,6,NA,160,68
20,24,NA,NA,NA,NA,NA,4,10,5,162,75
23,NA,1200,NA,NA,NA,NA,0,10,NA,170,80
41,NA,2100,8,1994,NA,NA,7,7,NA,175,80
50,0,3500,9,1988,NA,NA,3,3,NA,182,96
32,0,3000,8,2000,NA,NA,NA,8,NA,186,110
55,24,NA,6,1976,NA,NA,0,4,NA,180,88
40,0,1900,8,1993,NA,NA,3,2,NA,176,90
33,0,1000,7,2005,NA,NA,0,2,NA,158,56
66,0,2619,11,1967,9,2000,5,8,NA,163,85
63,0,1170,4,1979,9,2000,9,1,NA,158,59
24,12,NA,NA,NA,NA,NA,2,7,NA,170,57
31,0,1300,NA,NA,NA,NA,3,30,10,172,62
53,NA,1200,2,1979,NA,NA,5,12,NA,170,90
17,NA,NA,NA,NA,NA,NA,0,6,NA,186,100
85,24,1400,11,1944,7,1944,5,10,NA,165,96
56,0,2000,9,1976,NA,NA,0,6,NA,178,86
70,NA,NA,4,1960,NA,NA,11,6,NA,165,73
19,NA,NA,NA,NA,NA,NA,0,6,NA,170,65
31,0,1500,4,2004,NA,NA,NA,2,NA,160,51
37,0,2200,6,2008,NA,NA,0,6,20,180,90
72,NA,1050,7,1971,12,2000,10,0,NA,160,68
63,NA,1200,10,1968,NA,NA,8,12,NA,171,76
32,0,1400,NA,NA,NA,NA,1,2,20,NA,NA
28,8,900,NA,NA,NA,NA,0,6,NA,178,56
65,0,1400,5,1971,11,2008,10,2,NA,164,85
45,24,3000,3,1991,NA,NA,4,10,10,176,85
34,0,8255,9,2009,NA,NA,2,3,NA,175,70
52,NA,NA,4,1987,NA,NA,1,10,20,184,105
19,NA,NA,NA,NA,NA,NA,2,5,NA,178,63
38,2,950,8,2007,NA,NA,14,3,NA,170,80
22,0,NA,NA,NA,NA,NA,0,8,NA,185,76
64,24,1000,8,1985,NA,NA,6,5,NA,170,80
29,0,550,4,2007,NA,NA,1,2,NA,160,60
20,NA,NA,NA,NA,NA,NA,14,0,NA,175,70
52,NA,NA,11,1981,NA,NA,5,10,NA,170,90
67,0,900,NA,NA,NA,NA,3,4,10,162,96
36,NA,1300,9,2001,NA,NA,2,2,NA,193,80
34,0,2000,10,2006,NA,NA,3,5,NA,170,90
68,0,830,7,1966,NA,NA,20,2,NA,174,104
88,24,890,11,1945,7,1959,8,5,10,162,90
46,0,2500,3,1997,NA,NA,0,5,NA,180,85
23,0,2500,NA,NA,NA,NA,0,8,NA,180,89
26,0,800,NA,NA,NA,NA,3,11,NA,160,63
61,0,750,12,1973,NA,NA,13,20,NA,170,86
30,0,NA,NA,NA,NA,NA,0,10,10,178,58
54,0,7000,7,1983,3,2003,3,23,NA,160,65
59,NA,1600,9,1980,NA,NA,5,5,30,172,74
44,NA,4500,4,1996,NA,NA,0,2,NA,180,109
64,NA,1450,10,1972,NA,NA,7,8,4,170,82
18,0,NA,NA,NA,NA,NA,0,5,NA,167,60
23,NA,3000,NA,NA,NA,NA,1,20,NA,183,78
25,10,1300,7,2009,NA,NA,0,4,20,160,56
27,5,1500,NA,NA,NA,NA,3,6,10,178,76
28,0,900,NA,NA,NA,NA,0,5,NA,180,68
65,0,1702,NA,NA,NA,NA,10,12,NA,164,76
61,0,1700,9,1973,NA,NA,5,2,15,170,82
57,NA,2100,9,1975,12,2010,1,5,NA,160,80
72,24,1270,7,1963,NA,NA,9,4,NA,155,60
86,24,850,5,1945,11,2001,12,10,NA,160,62
36,6,NA,NA,NA,NA,NA,0,10,20,185,100
51,NA,500,6,1984,NA,NA,5,12,NA,164,98
51,0,2500,NA,NA,NA,NA,0,2,NA,166,90
19,NA,150,NA,NA,NA,NA,0,50,15,182,75
30,NA,1600,NA,NA,NA,NA,0,8,NA,164,59
18,NA,NA,NA,NA,NA,NA,3,10,NA,190,82
58,0,1700,4,1977,NA,NA,6,10,NA,160,70
66,0,1000,8,1968,NA,NA,5,2,NA,160,75
26,0,1000,9,2006,NA,NA,0,0,NA,160,53
54,0,1200,10,1983,NA,NA,5,6,NA,182,98
28,15,NA,6,2007,NA,NA,2,3,NA,167,60
