"sex","age","agegr","placesize","region","edu","eduspec","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","bmi"
"MALE",39,"35-44","RURAL AREAS","Lubuskie","SECONDARY","agriculture, forestry, fishing","FARMER",1,100,"MARRIED",11,1993,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",12,"YES",20,"YES","NO","NO",-8,"NO",NA,NA,"NONE",187,70,20.0177299894192
"MALE",18,"16-24","URBAN 100,000-200,000","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,NA,"SINGLE",NA,NA,NA,NA,"MIXED",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",50,"YES",15,"NO","NO",NA,-8,"YES, TO EU COUNTRY","FOREVER","NETHERLANDS","PASSIVE",192,76,21.5029425079221
"FEMALE",58,"45-59","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",-8,600,"MARRIED",7,1973,NA,NA,"MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",158,62,24.8357634994392
"MALE",53,"45-59","RURAL AREAS","Lodzkie","VOCATIONAL/GRAMMAR","technical science","FARMER",0,1200,"MARRIED",9,1982,NA,NA,"MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"YES",20,"NO","NO","NO",-8,"NO",NA,NA,"NONE",164,70,26.0261748958953
"FEMALE",48,"45-59","URBAN BELOW 20,000","Warminsko-mazurskie","POST-SECONDARY OR HIGHER","other","EMPLOYED IN PUBLIC SECTOR",-8,1900,"MARRIED",12,1990,NA,NA,"MOSTLY SATISFIED",NA,"IT`S DIFFICULT TO TELL","YES","NO OPINION","NO",-8,"YES",10,"NO","NO","NO",-8,"NO",NA,NA,"ACTIVE",168,79,28.3446712018141
"FEMALE",16,"16-24","URBAN 500,000 AND OVER","Lodzkie","PRIMARY/NO EDUCATION","no specialisation","PUPIL OR STUDENT",0,-8,"SINGLE",NA,NA,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"YES",5,"NO","NO",NA,-8,"NO",NA,NA,"PASSIVE",158,70,28.0403781445281
"MALE",52,"45-59","RURAL AREAS","Podlaskie","SECONDARY","production and processing","EMPLOYED IN PRIVATE SECTOR",-8,200,"SINGLE",NA,NA,NA,NA,"MIXED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",8,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",190,132,42.4489795918367
"FEMALE",81,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",24,1000,"WIDOWED",8,1977,3,2008,"PLEASED",15,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",160,75,29.296875
"FEMALE",44,"35-44","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","no specialisation","OTHER ECONOMICALLY INACTIVE",0,1500,"MARRIED",10,1987,NA,NA,"PLEASED",6,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"YES",15,"NO","YES","NO",-8,"NO",NA,NA,"NONE",165,55,20.2020202020202
"MALE",36,"35-44","URBAN 20,000-100,000","Mazowieckie","SECONDARY","architecture and construction","UNEMPLOYED",-8,NA,"MARRIED",6,2000,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",20,"YES",20,"NO","NO",NA,-8,"NO",NA,NA,"NONE",178,73,22.98190175237
"FEMALE",30,"25-34","RURAL AREAS","Kujawsko-pomorskie","SECONDARY","healthcare","PUPIL OR STUDENT",-8,800,"SINGLE",NA,NA,NA,NA,"MOSTLY DISSATISFIED",7,"ONE CAN`T BE TOO CAREFUL","NO","NO","YES",4,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"PASSIVE",180,68,21.3859363528999
"MALE",74,"65+","URBAN BELOW 20,000","Mazowieckie","SECONDARY","architecture and construction","RETIRED",18,2000,"MARRIED",12,1963,NA,NA,"MOSTLY SATISFIED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"ACTIVE",175,83,27.4285714285714
"MALE",39,"35-44","RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","production and processing","EMPLOYED IN PRIVATE SECTOR",0,2000,"MARRIED",7,2000,NA,NA,"MIXED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",180,90,27.7777777777778
"FEMALE",69,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",24,610,"MARRIED",4,1962,NA,NA,"MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",2,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",160,55,21.484375
"FEMALE",25,"25-34","URBAN 100,000-200,000","Slaskie","SECONDARY","agriculture, forestry, fishing","EMPLOYED IN PRIVATE SECTOR",-8,1400,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",5,"NO",-8,"YES","NO","NO",-8,"NO",NA,NA,"PASSIVE",164,50,18.2183224271267
"FEMALE",62,"60-64","RURAL AREAS","Pomorskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,1800,"SINGLE",NA,NA,NA,NA,"MIXED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",170,95,33.2179930795848
"FEMALE",20,"16-24","RURAL AREAS","Kujawsko-pomorskie","SECONDARY","no specialisation","OTHER ECONOMICALLY INACTIVE",0,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"IT`S DIFFICULT TO TELL","YES","YES","NO",6,"NO",-8,"NO","NO",NA,-8,"NO",NA,NA,"ACTIVE",160,53,20.703125
"MALE",48,"45-59","URBAN BELOW 20,000","Podlaskie","SECONDARY","agriculture, forestry, fishing","EMPLOYED IN PRIVATE SECTOR",-8,1400,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",8,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",170,87,29.757785467128
