type,data,parents,epsilon,copies,j,duration
datasynthesizer,sd2011_small,0,0.0,1,1,0.009810924530029297
datasynthesizer,sd2011_small,0,0.1,1,1,0.008215904235839844
datasynthesizer,sd2011_small,0,1.0,1,1,0.007943868637084961
datasynthesizer,sd2011_small,0,0.0,5,1,0.0076601505279541016
datasynthesizer,sd2011_small,0,0.0,5,2,0.00786280632019043
datasynthesizer,sd2011_small,0,0.0,5,3,0.007880926132202148
datasynthesizer,sd2011_small,0,0.0,5,4,0.007869958877563477
datasynthesizer,sd2011_small,0,0.0,5,5,0.007688999176025391
datasynthesizer,sd2011_small,0,0.1,5,1,0.009057998657226562
datasynthesizer,sd2011_small,0,0.1,5,2,0.008111715316772461
datasynthesizer,sd2011_small,0,0.1,5,3,0.007920980453491211
datasynthesizer,sd2011_small,0,0.1,5,4,0.007913827896118164
datasynthesizer,sd2011_small,0,0.1,5,5,0.008009910583496094
datasynthesizer,sd2011_small,0,1.0,5,1,0.008782148361206055
datasynthesizer,sd2011_small,0,1.0,5,2,0.00837397575378418
datasynthesizer,sd2011_small,0,1.0,5,3,0.007932901382446289
datasynthesizer,sd2011_small,0,1.0,5,4,0.008472681045532227
datasynthesizer,sd2011_small,0,1.0,5,5,0.008984088897705078
datasynthesizer,sd2011_small,1,0.0,1,1,3.5716960430145264
datasynthesizer,sd2011_small,1,0.1,1,1,3.1592419147491455
datasynthesizer,sd2011_small,1,1.0,1,1,3.310486078262329
datasynthesizer,sd2011_small,2,0.0,1,1,2.8876030445098877
datasynthesizer,sd2011_small,2,0.1,1,1,2.8313748836517334
datasynthesizer,sd2011_small,2,1.0,1,1,2.8591651916503906
datasynthesizer,sd2011_small,1,0.0,5,1,3.365037202835083
datasynthesizer,sd2011_small,1,0.0,5,2,3.399261951446533
datasynthesizer,sd2011_small,1,0.0,5,3,3.3239059448242188
datasynthesizer,sd2011_small,1,0.0,5,4,3.367393970489502
datasynthesizer,sd2011_small,1,0.0,5,5,3.3244311809539795
datasynthesizer,sd2011_small,1,0.1,5,1,3.3198230266571045
datasynthesizer,sd2011_small,1,0.1,5,2,3.1982271671295166
datasynthesizer,sd2011_small,1,0.1,5,3,3.379837989807129
datasynthesizer,sd2011_small,1,0.1,5,4,3.4502017498016357
datasynthesizer,sd2011_small,1,0.1,5,5,3.333735942840576
datasynthesizer,sd2011_small,1,1.0,5,1,3.1994869709014893
datasynthesizer,sd2011_small,1,1.0,5,2,3.4481170177459717
datasynthesizer,sd2011_small,1,1.0,5,3,3.2445199489593506
datasynthesizer,sd2011_small,1,1.0,5,4,3.6415040493011475
datasynthesizer,sd2011_small,1,1.0,5,5,3.6415581703186035
datasynthesizer,sd2011_small,2,0.0,5,1,2.900074005126953
datasynthesizer,sd2011_small,2,0.0,5,2,3.1763999462127686
datasynthesizer,sd2011_small,2,0.0,5,3,2.7948107719421387
datasynthesizer,sd2011_small,2,0.0,5,4,2.831545114517212
datasynthesizer,sd2011_small,2,0.0,5,5,2.9253509044647217
datasynthesizer,sd2011_small,2,0.1,5,1,2.8039610385894775
datasynthesizer,sd2011_small,2,0.1,5,2,2.7760701179504395
datasynthesizer,sd2011_small,2,0.1,5,3,2.8949220180511475
datasynthesizer,sd2011_small,2,0.1,5,4,2.8272042274475098
datasynthesizer,sd2011_small,2,0.1,5,5,2.8885750770568848
datasynthesizer,sd2011_small,2,1.0,5,1,2.9116177558898926
datasynthesizer,sd2011_small,2,1.0,5,2,2.9584639072418213
datasynthesizer,sd2011_small,2,1.0,5,3,2.8617217540740967
datasynthesizer,sd2011_small,2,1.0,5,4,2.837944984436035
datasynthesizer,sd2011_small,2,1.0,5,5,2.92631196975708
