type,data,parents,epsilon,copies,j,duration
datasynthesizer,sd2011_duration_w_missing,0,0.0,1,1,0.010772228240966797
datasynthesizer,sd2011_duration_w_missing,0,0.1,1,1,0.009262800216674805
datasynthesizer,sd2011_duration_w_missing,0,1.0,1,1,0.00911712646484375
datasynthesizer,sd2011_duration_w_missing,0,0.0,5,1,0.00900411605834961
datasynthesizer,sd2011_duration_w_missing,0,0.0,5,2,0.00892329216003418
datasynthesizer,sd2011_duration_w_missing,0,0.0,5,3,0.008949041366577148
datasynthesizer,sd2011_duration_w_missing,0,0.0,5,4,0.008928060531616211
datasynthesizer,sd2011_duration_w_missing,0,0.0,5,5,0.00899815559387207
datasynthesizer,sd2011_duration_w_missing,0,0.1,5,1,0.010152101516723633
datasynthesizer,sd2011_duration_w_missing,0,0.1,5,2,0.009002923965454102
datasynthesizer,sd2011_duration_w_missing,0,0.1,5,3,0.008957147598266602
datasynthesizer,sd2011_duration_w_missing,0,0.1,5,4,0.008893966674804688
datasynthesizer,sd2011_duration_w_missing,0,0.1,5,5,0.008855819702148438
datasynthesizer,sd2011_duration_w_missing,0,1.0,5,1,0.008816719055175781
datasynthesizer,sd2011_duration_w_missing,0,1.0,5,2,0.008830070495605469
datasynthesizer,sd2011_duration_w_missing,0,1.0,5,3,0.008713960647583008
datasynthesizer,sd2011_duration_w_missing,0,1.0,5,4,0.008875131607055664
datasynthesizer,sd2011_duration_w_missing,0,1.0,5,5,0.00894308090209961
