"type","columns","total_columns","max_factors","duration"
"synthpop",2,34,18,0.114000000000033
"synthpop",3,34,18,0.240000000000009
"synthpop",4,34,18,0.432999999999993
"synthpop",5,34,18,0.727999999999838
"synthpop",6,34,18,0.883000000000038
"synthpop",7,34,18,1.38499999999999
"synthpop",8,34,18,1.67399999999998
"synthpop",9,34,18,2.0329999999999
"synthpop",10,34,18,2.17400000000021
"synthpop",11,34,18,2.39899999999989
"synthpop",12,34,18,2.77499999999986
"synthpop",13,34,18,2.90499999999997
"synthpop",14,34,18,3.30099999999993
"synthpop",15,34,18,3.48800000000006
"synthpop",16,34,18,3.74000000000001
"synthpop",17,34,18,4.10400000000004
"synthpop",18,34,18,4.41800000000012
"synthpop",19,34,18,4.68000000000006
"synthpop",20,34,18,4.94200000000001
"synthpop",21,34,18,5.22199999999998
"synthpop",22,34,18,5.298
"synthpop",23,34,18,5.7059999999999
"synthpop",24,34,18,6.00799999999981
"synthpop",25,34,18,6.327
"synthpop",26,34,18,6.37200000000007
"synthpop",27,34,18,6.50600000000009
"synthpop",28,34,18,6.88499999999999
"synthpop",29,34,18,7.07400000000007
"synthpop",30,34,18,7.28200000000015
"synthpop",31,34,18,7.36200000000008
"synthpop",32,34,18,7.75299999999993
"synthpop",33,34,18,8.44699999999989
"synthpop",34,34,18,8.77400000000011
