epochs,loss_type,value,data,copes,j
0,Generator Loss,-0.21944452822208405,gridr,1,1
1,Generator Loss,-0.07938210666179657,gridr,1,1
2,Generator Loss,0.04807249456644058,gridr,1,1
3,Generator Loss,-0.4832964837551117,gridr,1,1
4,Generator Loss,-0.459812194108963,gridr,1,1
5,Generator Loss,-0.5262041687965393,gridr,1,1
6,Generator Loss,-0.5591012239456177,gridr,1,1
7,Generator Loss,-0.5238038301467896,gridr,1,1
8,Generator Loss,-0.7284613251686096,gridr,1,1
9,Generator Loss,-0.5963448882102966,gridr,1,1
10,Generator Loss,-0.7103505730628967,gridr,1,1
11,Generator Loss,-0.8278050422668457,gridr,1,1
12,Generator Loss,-0.8262836933135986,gridr,1,1
13,Generator Loss,-0.8975241184234619,gridr,1,1
14,Generator Loss,-0.7697813510894775,gridr,1,1
15,Generator Loss,-0.9405351281166077,gridr,1,1
16,Generator Loss,-0.9204574823379517,gridr,1,1
17,Generator Loss,-0.929361879825592,gridr,1,1
18,Generator Loss,-0.9903520941734314,gridr,1,1
19,Generator Loss,-1.0004162788391113,gridr,1,1
20,Generator Loss,-1.0015066862106323,gridr,1,1
21,Generator Loss,-1.0224088430404663,gridr,1,1
22,Generator Loss,-1.0772088766098022,gridr,1,1
23,Generator Loss,-1.1303963661193848,gridr,1,1
24,Generator Loss,-1.206175446510315,gridr,1,1
0,Discriminator Loss,0.1147693395614624,gridr,1,1
1,Discriminator Loss,-0.09344026446342468,gridr,1,1
2,Discriminator Loss,-0.06135197728872299,gridr,1,1
3,Discriminator Loss,0.2663971781730652,gridr,1,1
4,Discriminator Loss,-0.13791197538375854,gridr,1,1
5,Discriminator Loss,-0.055781781673431396,gridr,1,1
6,Discriminator Loss,-0.001870274543762207,gridr,1,1
7,Discriminator Loss,-0.0711095929145813,gridr,1,1
8,Discriminator Loss,-0.0666189193725586,gridr,1,1
9,Discriminator Loss,-0.09782099723815918,gridr,1,1
10,Discriminator Loss,-0.028266608715057373,gridr,1,1
11,Discriminator Loss,-0.0937700867652893,gridr,1,1
12,Discriminator Loss,0.04328560829162598,gridr,1,1
13,Discriminator Loss,-0.01521974802017212,gridr,1,1
14,Discriminator Loss,-0.22231024503707886,gridr,1,1
15,Discriminator Loss,-0.051725924015045166,gridr,1,1
16,Discriminator Loss,0.05916428565979004,gridr,1,1
17,Discriminator Loss,-0.06436431407928467,gridr,1,1
18,Discriminator Loss,-0.04851722717285156,gridr,1,1
19,Discriminator Loss,-0.038185060024261475,gridr,1,1
20,Discriminator Loss,-0.14580988883972168,gridr,1,1
21,Discriminator Loss,0.035006821155548096,gridr,1,1
22,Discriminator Loss,-0.07620584964752197,gridr,1,1
23,Discriminator Loss,-0.009355783462524414,gridr,1,1
24,Discriminator Loss,0.04035496711730957,gridr,1,1
0,Generator Loss,-0.27763956785202026,gridr,1,1
1,Generator Loss,-0.11054359376430511,gridr,1,1
2,Generator Loss,-0.2977634370326996,gridr,1,1
3,Generator Loss,-0.3873315453529358,gridr,1,1
4,Generator Loss,-0.367260217666626,gridr,1,1
5,Generator Loss,-0.46361157298088074,gridr,1,1
6,Generator Loss,-0.5969529747962952,gridr,1,1
7,Generator Loss,-0.48615172505378723,gridr,1,1
8,Generator Loss,-0.5687538385391235,gridr,1,1
9,Generator Loss,-0.614292323589325,gridr,1,1
10,Generator Loss,-0.7539781332015991,gridr,1,1
11,Generator Loss,-0.8123858571052551,gridr,1,1
12,Generator Loss,-0.762610912322998,gridr,1,1
13,Generator Loss,-0.8277187943458557,gridr,1,1
14,Generator Loss,-0.8428294658660889,gridr,1,1
15,Generator Loss,-0.7482092380523682,gridr,1,1
16,Generator Loss,-0.8522289395332336,gridr,1,1
17,Generator Loss,-0.9485471248626709,gridr,1,1
18,Generator Loss,-1.0424972772598267,gridr,1,1
19,Generator Loss,-0.9158854484558105,gridr,1,1
20,Generator Loss,-0.935107409954071,gridr,1,1
21,Generator Loss,-1.0301953554153442,gridr,1,1
22,Generator Loss,-1.0031170845031738,gridr,1,1
23,Generator Loss,-1.0702224969863892,gridr,1,1
24,Generator Loss,-1.1301674842834473,gridr,1,1
25,Generator Loss,-1.0621514320373535,gridr,1,1
26,Generator Loss,-1.0936497449874878,gridr,1,1
27,Generator Loss,-1.1701984405517578,gridr,1,1
28,Generator Loss,-1.1548089981079102,gridr,1,1
29,Generator Loss,-1.0889413356781006,gridr,1,1
30,Generator Loss,-1.0665521621704102,gridr,1,1
31,Generator Loss,-1.1681430339813232,gridr,1,1
32,Generator Loss,-1.1499719619750977,gridr,1,1
33,Generator Loss,-1.0626815557479858,gridr,1,1
34,Generator Loss,-1.153841495513916,gridr,1,1
35,Generator Loss,-1.0502443313598633,gridr,1,1
36,Generator Loss,-0.985354483127594,gridr,1,1
37,Generator Loss,-0.9856041669845581,gridr,1,1
38,Generator Loss,-0.9130049347877502,gridr,1,1
39,Generator Loss,-0.9925597906112671,gridr,1,1
40,Generator Loss,-0.9763829708099365,gridr,1,1
41,Generator Loss,-0.9176537990570068,gridr,1,1
42,Generator Loss,-0.9087358713150024,gridr,1,1
43,Generator Loss,-0.7264882922172546,gridr,1,1
44,Generator Loss,-0.8782446980476379,gridr,1,1
45,Generator Loss,-0.7383745312690735,gridr,1,1
46,Generator Loss,-0.6626891493797302,gridr,1,1
47,Generator Loss,-0.5333876609802246,gridr,1,1
48,Generator Loss,-0.5891788601875305,gridr,1,1
49,Generator Loss,-0.5844092965126038,gridr,1,1
0,Discriminator Loss,0.0818907767534256,gridr,1,1
1,Discriminator Loss,-0.018882036209106445,gridr,1,1
2,Discriminator Loss,-0.024996846914291382,gridr,1,1
3,Discriminator Loss,-0.09615394473075867,gridr,1,1
4,Discriminator Loss,-0.02878817915916443,gridr,1,1
5,Discriminator Loss,-0.16924232244491577,gridr,1,1
6,Discriminator Loss,-0.03047502040863037,gridr,1,1
7,Discriminator Loss,-0.039148151874542236,gridr,1,1
8,Discriminator Loss,-0.09918093681335449,gridr,1,1
9,Discriminator Loss,-0.015251457691192627,gridr,1,1
10,Discriminator Loss,-0.12661874294281006,gridr,1,1
11,Discriminator Loss,0.1317504644393921,gridr,1,1
12,Discriminator Loss,-0.05651932954788208,gridr,1,1
13,Discriminator Loss,-0.11226135492324829,gridr,1,1
14,Discriminator Loss,-0.058681368827819824,gridr,1,1
15,Discriminator Loss,-0.12717574834823608,gridr,1,1
16,Discriminator Loss,-0.1375817060470581,gridr,1,1
17,Discriminator Loss,0.0016383528709411621,gridr,1,1
18,Discriminator Loss,-0.03618764877319336,gridr,1,1
19,Discriminator Loss,0.03053969144821167,gridr,1,1
20,Discriminator Loss,-0.0898587703704834,gridr,1,1
21,Discriminator Loss,-0.04540395736694336,gridr,1,1
22,Discriminator Loss,-0.07953834533691406,gridr,1,1
23,Discriminator Loss,-0.07718586921691895,gridr,1,1
24,Discriminator Loss,0.06535577774047852,gridr,1,1
25,Discriminator Loss,-0.1617833375930786,gridr,1,1
26,Discriminator Loss,-0.0580214262008667,gridr,1,1
27,Discriminator Loss,-0.028772830963134766,gridr,1,1
28,Discriminator Loss,-0.15046298503875732,gridr,1,1
29,Discriminator Loss,-0.03715074062347412,gridr,1,1
30,Discriminator Loss,-0.1476590633392334,gridr,1,1
31,Discriminator Loss,-0.055405616760253906,gridr,1,1
32,Discriminator Loss,-0.0964963436126709,gridr,1,1
33,Discriminator Loss,-0.13042771816253662,gridr,1,1
34,Discriminator Loss,0.029579639434814453,gridr,1,1
35,Discriminator Loss,-0.12943005561828613,gridr,1,1
36,Discriminator Loss,-0.21318942308425903,gridr,1,1
37,Discriminator Loss,-0.15311360359191895,gridr,1,1
38,Discriminator Loss,-0.13255345821380615,gridr,1,1
39,Discriminator Loss,-0.12849992513656616,gridr,1,1
40,Discriminator Loss,-0.047692298889160156,gridr,1,1
41,Discriminator Loss,-0.10569578409194946,gridr,1,1
42,Discriminator Loss,-0.12491458654403687,gridr,1,1
43,Discriminator Loss,-0.1908678412437439,gridr,1,1
44,Discriminator Loss,-0.17803841829299927,gridr,1,1
45,Discriminator Loss,-0.18787747621536255,gridr,1,1
46,Discriminator Loss,-0.37450551986694336,gridr,1,1
47,Discriminator Loss,-0.17278128862380981,gridr,1,1
48,Discriminator Loss,-0.22715651988983154,gridr,1,1
49,Discriminator Loss,-0.2533928155899048,gridr,1,1
0,Generator Loss,-0.08264380693435669,gridr,1,1
1,Generator Loss,0.03177811950445175,gridr,1,1
2,Generator Loss,-0.21743544936180115,gridr,1,1
3,Generator Loss,-0.23172928392887115,gridr,1,1
4,Generator Loss,-0.5842095017433167,gridr,1,1
5,Generator Loss,-0.5890721678733826,gridr,1,1
6,Generator Loss,-0.5982875823974609,gridr,1,1
7,Generator Loss,-0.6519442796707153,gridr,1,1
8,Generator Loss,-0.7919036149978638,gridr,1,1
9,Generator Loss,-0.7482795715332031,gridr,1,1
10,Generator Loss,-0.7797197103500366,gridr,1,1
11,Generator Loss,-0.7696408033370972,gridr,1,1
12,Generator Loss,-0.8367592096328735,gridr,1,1
13,Generator Loss,-0.9258407354354858,gridr,1,1
14,Generator Loss,-0.8102685809135437,gridr,1,1
15,Generator Loss,-0.9366711974143982,gridr,1,1
16,Generator Loss,-0.857623815536499,gridr,1,1
17,Generator Loss,-1.0402463674545288,gridr,1,1
18,Generator Loss,-0.9872196316719055,gridr,1,1
19,Generator Loss,-1.0246200561523438,gridr,1,1
20,Generator Loss,-1.1999930143356323,gridr,1,1
21,Generator Loss,-1.050410270690918,gridr,1,1
22,Generator Loss,-1.180411696434021,gridr,1,1
23,Generator Loss,-1.1339892148971558,gridr,1,1
24,Generator Loss,-1.2584853172302246,gridr,1,1
25,Generator Loss,-1.1022305488586426,gridr,1,1
26,Generator Loss,-1.080430269241333,gridr,1,1
27,Generator Loss,-1.204898715019226,gridr,1,1
28,Generator Loss,-1.0737905502319336,gridr,1,1
29,Generator Loss,-1.2062681913375854,gridr,1,1
30,Generator Loss,-1.1952903270721436,gridr,1,1
31,Generator Loss,-1.151625394821167,gridr,1,1
32,Generator Loss,-1.1163814067840576,gridr,1,1
33,Generator Loss,-1.189687967300415,gridr,1,1
34,Generator Loss,-1.2016313076019287,gridr,1,1
35,Generator Loss,-1.1037697792053223,gridr,1,1
36,Generator Loss,-1.0499073266983032,gridr,1,1
37,Generator Loss,-1.1280529499053955,gridr,1,1
38,Generator Loss,-1.0871458053588867,gridr,1,1
39,Generator Loss,-1.0448821783065796,gridr,1,1
40,Generator Loss,-1.0834307670593262,gridr,1,1
41,Generator Loss,-1.035999059677124,gridr,1,1
42,Generator Loss,-1.0625922679901123,gridr,1,1
43,Generator Loss,-0.9690004587173462,gridr,1,1
44,Generator Loss,-0.9569167494773865,gridr,1,1
45,Generator Loss,-0.8246530294418335,gridr,1,1
46,Generator Loss,-0.9903060793876648,gridr,1,1
47,Generator Loss,-0.7740100026130676,gridr,1,1
48,Generator Loss,-0.7496793866157532,gridr,1,1
49,Generator Loss,-0.7991120219230652,gridr,1,1
50,Generator Loss,-0.6553853750228882,gridr,1,1
51,Generator Loss,-0.6869602799415588,gridr,1,1
52,Generator Loss,-0.6951838135719299,gridr,1,1
53,Generator Loss,-0.6874939799308777,gridr,1,1
54,Generator Loss,-0.6019548773765564,gridr,1,1
55,Generator Loss,-0.5537778735160828,gridr,1,1
56,Generator Loss,-0.6451132297515869,gridr,1,1
57,Generator Loss,-0.5398690700531006,gridr,1,1
58,Generator Loss,-0.49308931827545166,gridr,1,1
59,Generator Loss,-0.5779309272766113,gridr,1,1
60,Generator Loss,-0.5214743614196777,gridr,1,1
61,Generator Loss,-0.5056061744689941,gridr,1,1
62,Generator Loss,-0.44792938232421875,gridr,1,1
63,Generator Loss,-0.46028515696525574,gridr,1,1
64,Generator Loss,-0.5076571106910706,gridr,1,1
65,Generator Loss,-0.5714653134346008,gridr,1,1
66,Generator Loss,-0.5407977104187012,gridr,1,1
67,Generator Loss,-0.4501313865184784,gridr,1,1
68,Generator Loss,-0.4686000943183899,gridr,1,1
69,Generator Loss,-0.47083577513694763,gridr,1,1
70,Generator Loss,-0.5220293402671814,gridr,1,1
71,Generator Loss,-0.49621498584747314,gridr,1,1
72,Generator Loss,-0.4596549868583679,gridr,1,1
73,Generator Loss,-0.5907955169677734,gridr,1,1
74,Generator Loss,-0.43419256806373596,gridr,1,1
0,Discriminator Loss,0.1657632738351822,gridr,1,1
1,Discriminator Loss,-0.15491165220737457,gridr,1,1
2,Discriminator Loss,0.16479972004890442,gridr,1,1
3,Discriminator Loss,0.02698385715484619,gridr,1,1
4,Discriminator Loss,0.13005831837654114,gridr,1,1
5,Discriminator Loss,-0.14964187145233154,gridr,1,1
6,Discriminator Loss,0.07107079029083252,gridr,1,1
7,Discriminator Loss,-0.10307580232620239,gridr,1,1
8,Discriminator Loss,0.06496649980545044,gridr,1,1
9,Discriminator Loss,-0.05379641056060791,gridr,1,1
10,Discriminator Loss,0.020286858081817627,gridr,1,1
11,Discriminator Loss,0.02889859676361084,gridr,1,1
12,Discriminator Loss,0.0596766471862793,gridr,1,1
13,Discriminator Loss,0.07194304466247559,gridr,1,1
14,Discriminator Loss,-0.017477452754974365,gridr,1,1
15,Discriminator Loss,0.02519083023071289,gridr,1,1
16,Discriminator Loss,-0.04780548810958862,gridr,1,1
17,Discriminator Loss,-0.08085548877716064,gridr,1,1
18,Discriminator Loss,0.012105464935302734,gridr,1,1
19,Discriminator Loss,-0.13204419612884521,gridr,1,1
20,Discriminator Loss,-0.05454099178314209,gridr,1,1
21,Discriminator Loss,-0.06411361694335938,gridr,1,1
22,Discriminator Loss,-0.11157631874084473,gridr,1,1
23,Discriminator Loss,-0.10257351398468018,gridr,1,1
24,Discriminator Loss,-0.09534919261932373,gridr,1,1
25,Discriminator Loss,-0.129402756690979,gridr,1,1
26,Discriminator Loss,-0.030852794647216797,gridr,1,1
27,Discriminator Loss,-0.040985703468322754,gridr,1,1
28,Discriminator Loss,-0.15056991577148438,gridr,1,1
29,Discriminator Loss,-0.030002593994140625,gridr,1,1
30,Discriminator Loss,-0.02507758140563965,gridr,1,1
31,Discriminator Loss,-0.09459245204925537,gridr,1,1
32,Discriminator Loss,-0.19013023376464844,gridr,1,1
33,Discriminator Loss,-0.07215344905853271,gridr,1,1
34,Discriminator Loss,-0.09591245651245117,gridr,1,1
35,Discriminator Loss,-0.12287652492523193,gridr,1,1
36,Discriminator Loss,-0.23077547550201416,gridr,1,1
37,Discriminator Loss,-0.14739477634429932,gridr,1,1
38,Discriminator Loss,-0.04995739459991455,gridr,1,1
39,Discriminator Loss,-0.15568721294403076,gridr,1,1
40,Discriminator Loss,-0.14526116847991943,gridr,1,1
41,Discriminator Loss,-0.13245820999145508,gridr,1,1
42,Discriminator Loss,-0.09439849853515625,gridr,1,1
43,Discriminator Loss,-0.17383700609207153,gridr,1,1
44,Discriminator Loss,-0.11599516868591309,gridr,1,1
45,Discriminator Loss,-0.127119243144989,gridr,1,1
46,Discriminator Loss,-0.13166409730911255,gridr,1,1
47,Discriminator Loss,-0.31512266397476196,gridr,1,1
48,Discriminator Loss,-0.1307852864265442,gridr,1,1
49,Discriminator Loss,-0.07845473289489746,gridr,1,1
50,Discriminator Loss,-0.3095519542694092,gridr,1,1
51,Discriminator Loss,-0.1267874836921692,gridr,1,1
52,Discriminator Loss,-0.2229628562927246,gridr,1,1
53,Discriminator Loss,-0.11335808038711548,gridr,1,1
54,Discriminator Loss,-0.12990885972976685,gridr,1,1
55,Discriminator Loss,-0.22345590591430664,gridr,1,1
56,Discriminator Loss,-0.15737050771713257,gridr,1,1
57,Discriminator Loss,-0.26756423711776733,gridr,1,1
58,Discriminator Loss,-0.3166617453098297,gridr,1,1
59,Discriminator Loss,-0.11707556247711182,gridr,1,1
60,Discriminator Loss,-0.10963410139083862,gridr,1,1
61,Discriminator Loss,-0.15911072492599487,gridr,1,1
62,Discriminator Loss,-0.14690673351287842,gridr,1,1
63,Discriminator Loss,-0.1656154990196228,gridr,1,1
64,Discriminator Loss,-0.13285112380981445,gridr,1,1
65,Discriminator Loss,-0.17271548509597778,gridr,1,1
66,Discriminator Loss,-0.11385020613670349,gridr,1,1
67,Discriminator Loss,-0.16782265901565552,gridr,1,1
68,Discriminator Loss,-0.2075832486152649,gridr,1,1
69,Discriminator Loss,-0.09152776002883911,gridr,1,1
70,Discriminator Loss,-0.1520506739616394,gridr,1,1
71,Discriminator Loss,-0.22549360990524292,gridr,1,1
72,Discriminator Loss,-0.04990434646606445,gridr,1,1
73,Discriminator Loss,-0.20933771133422852,gridr,1,1
74,Discriminator Loss,-0.06506174802780151,gridr,1,1
0,Generator Loss,-0.007681358605623245,gridr,1,1
1,Generator Loss,0.3172076344490051,gridr,1,1
2,Generator Loss,-0.1408502459526062,gridr,1,1
3,Generator Loss,0.1182926744222641,gridr,1,1
4,Generator Loss,-0.1452828049659729,gridr,1,1
5,Generator Loss,-0.13255523145198822,gridr,1,1
6,Generator Loss,-0.2277889996767044,gridr,1,1
7,Generator Loss,-0.261608362197876,gridr,1,1
8,Generator Loss,-0.2922899127006531,gridr,1,1
9,Generator Loss,-0.33756160736083984,gridr,1,1
10,Generator Loss,-0.3441224694252014,gridr,1,1
11,Generator Loss,-0.47159767150878906,gridr,1,1
12,Generator Loss,-0.4856517016887665,gridr,1,1
13,Generator Loss,-0.656602680683136,gridr,1,1
14,Generator Loss,-0.6717897653579712,gridr,1,1
15,Generator Loss,-0.5434595346450806,gridr,1,1
16,Generator Loss,-0.8685460686683655,gridr,1,1
17,Generator Loss,-0.6370282769203186,gridr,1,1
18,Generator Loss,-0.7602846026420593,gridr,1,1
19,Generator Loss,-0.77635657787323,gridr,1,1
20,Generator Loss,-0.8426475524902344,gridr,1,1
21,Generator Loss,-0.8353695869445801,gridr,1,1
22,Generator Loss,-0.894350528717041,gridr,1,1
