epochs,loss_type,value,data,copes,j
0,Generator Loss,2.217454195022583,sd2011_clean,1,1
1,Generator Loss,2.280550241470337,sd2011_clean,1,1
2,Generator Loss,1.3180725574493408,sd2011_clean,1,1
3,Generator Loss,1.4159265756607056,sd2011_clean,1,1
4,Generator Loss,1.041069746017456,sd2011_clean,1,1
5,Generator Loss,0.7251840829849243,sd2011_clean,1,1
6,Generator Loss,0.3857874870300293,sd2011_clean,1,1
7,Generator Loss,0.332996129989624,sd2011_clean,1,1
8,Generator Loss,0.5567280054092407,sd2011_clean,1,1
9,Generator Loss,0.35625600814819336,sd2011_clean,1,1
10,Generator Loss,0.6073371171951294,sd2011_clean,1,1
11,Generator Loss,0.6129429340362549,sd2011_clean,1,1
12,Generator Loss,0.22538280487060547,sd2011_clean,1,1
13,Generator Loss,-0.04824268817901611,sd2011_clean,1,1
14,Generator Loss,0.07933914661407471,sd2011_clean,1,1
15,Generator Loss,-0.8964236974716187,sd2011_clean,1,1
16,Generator Loss,-0.45619189739227295,sd2011_clean,1,1
17,Generator Loss,-0.12904012203216553,sd2011_clean,1,1
18,Generator Loss,-0.6640827655792236,sd2011_clean,1,1
19,Generator Loss,-0.35829389095306396,sd2011_clean,1,1
20,Generator Loss,0.1318836212158203,sd2011_clean,1,1
21,Generator Loss,-0.8777294158935547,sd2011_clean,1,1
22,Generator Loss,-0.9144328832626343,sd2011_clean,1,1
23,Generator Loss,-0.5026981830596924,sd2011_clean,1,1
24,Generator Loss,-1.070235013961792,sd2011_clean,1,1
25,Generator Loss,-0.7505888938903809,sd2011_clean,1,1
26,Generator Loss,-0.0870664119720459,sd2011_clean,1,1
27,Generator Loss,-1.0445835590362549,sd2011_clean,1,1
28,Generator Loss,-0.5579038858413696,sd2011_clean,1,1
29,Generator Loss,-1.248841643333435,sd2011_clean,1,1
30,Generator Loss,-1.1168832778930664,sd2011_clean,1,1
31,Generator Loss,-1.203937292098999,sd2011_clean,1,1
32,Generator Loss,-1.193100929260254,sd2011_clean,1,1
33,Generator Loss,-1.4835705757141113,sd2011_clean,1,1
34,Generator Loss,-0.9689062833786011,sd2011_clean,1,1
35,Generator Loss,-1.5159790515899658,sd2011_clean,1,1
