epochs,loss_type,value,data,copes,j
0,Generator Loss,1.7534337043762207,sd2011_clean_small_categorical,5,1
1,Generator Loss,1.5644707679748535,sd2011_clean_small_categorical,5,1
2,Generator Loss,1.0528098344802856,sd2011_clean_small_categorical,5,1
3,Generator Loss,0.8011120557785034,sd2011_clean_small_categorical,5,1
4,Generator Loss,1.0197728872299194,sd2011_clean_small_categorical,5,1
5,Generator Loss,0.7569171190261841,sd2011_clean_small_categorical,5,1
6,Generator Loss,0.8970822095870972,sd2011_clean_small_categorical,5,1
7,Generator Loss,0.6042187213897705,sd2011_clean_small_categorical,5,1
8,Generator Loss,0.5565356016159058,sd2011_clean_small_categorical,5,1
9,Generator Loss,0.5891209840774536,sd2011_clean_small_categorical,5,1
10,Generator Loss,0.2914586067199707,sd2011_clean_small_categorical,5,1
11,Generator Loss,0.5219519138336182,sd2011_clean_small_categorical,5,1
12,Generator Loss,0.4193986654281616,sd2011_clean_small_categorical,5,1
13,Generator Loss,0.5497426986694336,sd2011_clean_small_categorical,5,1
14,Generator Loss,0.5199356079101562,sd2011_clean_small_categorical,5,1
15,Generator Loss,0.5798500776290894,sd2011_clean_small_categorical,5,1
16,Generator Loss,0.40616095066070557,sd2011_clean_small_categorical,5,1
17,Generator Loss,0.5999940633773804,sd2011_clean_small_categorical,5,1
18,Generator Loss,0.33288323879241943,sd2011_clean_small_categorical,5,1
19,Generator Loss,0.41736769676208496,sd2011_clean_small_categorical,5,1
20,Generator Loss,0.2823219299316406,sd2011_clean_small_categorical,5,1
21,Generator Loss,0.2742408514022827,sd2011_clean_small_categorical,5,1
22,Generator Loss,0.16198182106018066,sd2011_clean_small_categorical,5,1
23,Generator Loss,0.2645214796066284,sd2011_clean_small_categorical,5,1
24,Generator Loss,0.14048492908477783,sd2011_clean_small_categorical,5,1
25,Generator Loss,0.30561840534210205,sd2011_clean_small_categorical,5,1
26,Generator Loss,0.11726045608520508,sd2011_clean_small_categorical,5,1
27,Generator Loss,0.25036072731018066,sd2011_clean_small_categorical,5,1
28,Generator Loss,0.38398122787475586,sd2011_clean_small_categorical,5,1
29,Generator Loss,-0.07939028739929199,sd2011_clean_small_categorical,5,1
30,Generator Loss,-0.16585612297058105,sd2011_clean_small_categorical,5,1
31,Generator Loss,-0.2892262935638428,sd2011_clean_small_categorical,5,1
32,Generator Loss,-0.35439956188201904,sd2011_clean_small_categorical,5,1
33,Generator Loss,-0.5027830004692078,sd2011_clean_small_categorical,5,1
34,Generator Loss,-0.3863029479980469,sd2011_clean_small_categorical,5,1
35,Generator Loss,-0.451119065284729,sd2011_clean_small_categorical,5,1
36,Generator Loss,-0.6205463409423828,sd2011_clean_small_categorical,5,1
