epochs,loss_type,value,data,copes,j
0,Generator Loss,2.345149040222168,sd2011_clean_small_ds_factor,1,1
1,Generator Loss,2.0671122074127197,sd2011_clean_small_ds_factor,1,1
2,Generator Loss,1.1163277626037598,sd2011_clean_small_ds_factor,1,1
3,Generator Loss,0.46439099311828613,sd2011_clean_small_ds_factor,1,1
4,Generator Loss,0.31659889221191406,sd2011_clean_small_ds_factor,1,1
5,Generator Loss,-0.012998342514038086,sd2011_clean_small_ds_factor,1,1
6,Generator Loss,0.26877737045288086,sd2011_clean_small_ds_factor,1,1
7,Generator Loss,0.2729012966156006,sd2011_clean_small_ds_factor,1,1
8,Generator Loss,0.4099600315093994,sd2011_clean_small_ds_factor,1,1
9,Generator Loss,0.7733293771743774,sd2011_clean_small_ds_factor,1,1
10,Generator Loss,0.8227815628051758,sd2011_clean_small_ds_factor,1,1
11,Generator Loss,0.46398448944091797,sd2011_clean_small_ds_factor,1,1
12,Generator Loss,0.6547732353210449,sd2011_clean_small_ds_factor,1,1
13,Generator Loss,0.2158445119857788,sd2011_clean_small_ds_factor,1,1
14,Generator Loss,-0.2050464153289795,sd2011_clean_small_ds_factor,1,1
15,Generator Loss,-0.06905150413513184,sd2011_clean_small_ds_factor,1,1
16,Generator Loss,0.24274730682373047,sd2011_clean_small_ds_factor,1,1
17,Generator Loss,-0.04721808433532715,sd2011_clean_small_ds_factor,1,1
18,Generator Loss,0.0876779556274414,sd2011_clean_small_ds_factor,1,1
19,Generator Loss,0.13444173336029053,sd2011_clean_small_ds_factor,1,1
20,Generator Loss,-0.37793588638305664,sd2011_clean_small_ds_factor,1,1
21,Generator Loss,-0.04080164432525635,sd2011_clean_small_ds_factor,1,1
22,Generator Loss,0.3761720657348633,sd2011_clean_small_ds_factor,1,1
23,Generator Loss,-0.13318157196044922,sd2011_clean_small_ds_factor,1,1
24,Generator Loss,-0.2784780263900757,sd2011_clean_small_ds_factor,1,1
0,Discriminator Loss,-1.2170851230621338,sd2011_clean_small_ds_factor,1,1
1,Discriminator Loss,-2.193452835083008,sd2011_clean_small_ds_factor,1,1
2,Discriminator Loss,-1.4758585691452026,sd2011_clean_small_ds_factor,1,1
3,Discriminator Loss,-0.8866496086120605,sd2011_clean_small_ds_factor,1,1
