epochs,loss_type,value,data,copes,j
0,Generator Loss,1.9890761375427246,sd2011_clean_small,1,1
1,Generator Loss,2.198455810546875,sd2011_clean_small,1,1
2,Generator Loss,1.6424425840377808,sd2011_clean_small,1,1
3,Generator Loss,1.2701743841171265,sd2011_clean_small,1,1
4,Generator Loss,1.4041866064071655,sd2011_clean_small,1,1
5,Generator Loss,1.1657527685165405,sd2011_clean_small,1,1
6,Generator Loss,1.176712989807129,sd2011_clean_small,1,1
7,Generator Loss,1.179833173751831,sd2011_clean_small,1,1
8,Generator Loss,1.1426000595092773,sd2011_clean_small,1,1
9,Generator Loss,1.2217321395874023,sd2011_clean_small,1,1
10,Generator Loss,1.2345433235168457,sd2011_clean_small,1,1
11,Generator Loss,1.172173023223877,sd2011_clean_small,1,1
12,Generator Loss,1.2440836429595947,sd2011_clean_small,1,1
13,Generator Loss,1.1899693012237549,sd2011_clean_small,1,1
14,Generator Loss,0.8517086505889893,sd2011_clean_small,1,1
15,Generator Loss,0.8731032609939575,sd2011_clean_small,1,1
16,Generator Loss,0.5296981334686279,sd2011_clean_small,1,1
17,Generator Loss,0.7751719951629639,sd2011_clean_small,1,1
18,Generator Loss,0.7767879366874695,sd2011_clean_small,1,1
19,Generator Loss,0.8550271987915039,sd2011_clean_small,1,1
20,Generator Loss,0.7330864667892456,sd2011_clean_small,1,1
21,Generator Loss,0.7929917573928833,sd2011_clean_small,1,1
22,Generator Loss,0.6373084783554077,sd2011_clean_small,1,1
23,Generator Loss,0.4020897150039673,sd2011_clean_small,1,1
24,Generator Loss,0.7687392830848694,sd2011_clean_small,1,1
25,Generator Loss,0.7351464033126831,sd2011_clean_small,1,1
26,Generator Loss,0.2269357442855835,sd2011_clean_small,1,1
27,Generator Loss,0.45994389057159424,sd2011_clean_small,1,1
28,Generator Loss,0.5051214098930359,sd2011_clean_small,1,1
29,Generator Loss,-0.18400633335113525,sd2011_clean_small,1,1
30,Generator Loss,0.053820252418518066,sd2011_clean_small,1,1
31,Generator Loss,-0.03966176509857178,sd2011_clean_small,1,1
32,Generator Loss,0.2014458179473877,sd2011_clean_small,1,1
33,Generator Loss,0.08849549293518066,sd2011_clean_small,1,1
34,Generator Loss,-0.09575200080871582,sd2011_clean_small,1,1
35,Generator Loss,0.020130515098571777,sd2011_clean_small,1,1
36,Generator Loss,-0.17450857162475586,sd2011_clean_small,1,1
