epochs,loss_type,value,data,copes,j
0,Generator Loss,1.4824886322021484,sd2011_duration_wo_missing,1,1
1,Generator Loss,1.5281450748443604,sd2011_duration_wo_missing,1,1
2,Generator Loss,1.4780209064483643,sd2011_duration_wo_missing,1,1
3,Generator Loss,1.401609182357788,sd2011_duration_wo_missing,1,1
4,Generator Loss,1.3820898532867432,sd2011_duration_wo_missing,1,1
5,Generator Loss,1.3680968284606934,sd2011_duration_wo_missing,1,1
6,Generator Loss,1.2208796739578247,sd2011_duration_wo_missing,1,1
7,Generator Loss,1.2634778022766113,sd2011_duration_wo_missing,1,1
8,Generator Loss,1.2019290924072266,sd2011_duration_wo_missing,1,1
9,Generator Loss,1.1587166786193848,sd2011_duration_wo_missing,1,1
10,Generator Loss,1.0996863842010498,sd2011_duration_wo_missing,1,1
11,Generator Loss,1.1504439115524292,sd2011_duration_wo_missing,1,1
12,Generator Loss,1.0857188701629639,sd2011_duration_wo_missing,1,1
13,Generator Loss,1.0050767660140991,sd2011_duration_wo_missing,1,1
14,Generator Loss,0.907131552696228,sd2011_duration_wo_missing,1,1
15,Generator Loss,0.8219118118286133,sd2011_duration_wo_missing,1,1
16,Generator Loss,0.9256260395050049,sd2011_duration_wo_missing,1,1
17,Generator Loss,0.7742657661437988,sd2011_duration_wo_missing,1,1
18,Generator Loss,0.8706002235412598,sd2011_duration_wo_missing,1,1
19,Generator Loss,0.8028834462165833,sd2011_duration_wo_missing,1,1
20,Generator Loss,0.6556421518325806,sd2011_duration_wo_missing,1,1
21,Generator Loss,0.7375720143318176,sd2011_duration_wo_missing,1,1
22,Generator Loss,0.7991382479667664,sd2011_duration_wo_missing,1,1
23,Generator Loss,0.6432595252990723,sd2011_duration_wo_missing,1,1
24,Generator Loss,0.7421467304229736,sd2011_duration_wo_missing,1,1
0,Discriminator Loss,-0.04783094674348831,sd2011_duration_wo_missing,1,1
1,Discriminator Loss,-0.08908142149448395,sd2011_duration_wo_missing,1,1
2,Discriminator Loss,-0.062299586832523346,sd2011_duration_wo_missing,1,1
3,Discriminator Loss,-0.08350736647844315,sd2011_duration_wo_missing,1,1
4,Discriminator Loss,-0.15323534607887268,sd2011_duration_wo_missing,1,1
5,Discriminator Loss,-0.03521110117435455,sd2011_duration_wo_missing,1,1
6,Discriminator Loss,-0.04455627501010895,sd2011_duration_wo_missing,1,1
7,Discriminator Loss,0.010801553726196289,sd2011_duration_wo_missing,1,1
8,Discriminator Loss,0.046852946281433105,sd2011_duration_wo_missing,1,1
9,Discriminator Loss,-0.04603928327560425,sd2011_duration_wo_missing,1,1
10,Discriminator Loss,-0.06192472577095032,sd2011_duration_wo_missing,1,1
11,Discriminator Loss,-0.16838639974594116,sd2011_duration_wo_missing,1,1
12,Discriminator Loss,-0.08126647770404816,sd2011_duration_wo_missing,1,1
13,Discriminator Loss,0.024771779775619507,sd2011_duration_wo_missing,1,1
14,Discriminator Loss,-0.0008795857429504395,sd2011_duration_wo_missing,1,1
15,Discriminator Loss,0.042439013719558716,sd2011_duration_wo_missing,1,1
16,Discriminator Loss,0.018031269311904907,sd2011_duration_wo_missing,1,1
17,Discriminator Loss,-0.011866152286529541,sd2011_duration_wo_missing,1,1
18,Discriminator Loss,0.02338986098766327,sd2011_duration_wo_missing,1,1
19,Discriminator Loss,-0.0725301206111908,sd2011_duration_wo_missing,1,1
20,Discriminator Loss,-0.005878627300262451,sd2011_duration_wo_missing,1,1
21,Discriminator Loss,-0.006358921527862549,sd2011_duration_wo_missing,1,1
22,Discriminator Loss,-0.06671342253684998,sd2011_duration_wo_missing,1,1
23,Discriminator Loss,-0.03266406059265137,sd2011_duration_wo_missing,1,1
24,Discriminator Loss,0.11855310201644897,sd2011_duration_wo_missing,1,1
0,Generator Loss,1.7044522762298584,sd2011_duration_wo_missing,1,1
1,Generator Loss,1.487674593925476,sd2011_duration_wo_missing,1,1
2,Generator Loss,1.410506248474121,sd2011_duration_wo_missing,1,1
3,Generator Loss,1.2803723812103271,sd2011_duration_wo_missing,1,1
4,Generator Loss,1.18365478515625,sd2011_duration_wo_missing,1,1
5,Generator Loss,1.1594338417053223,sd2011_duration_wo_missing,1,1
6,Generator Loss,1.2166874408721924,sd2011_duration_wo_missing,1,1
7,Generator Loss,1.1437222957611084,sd2011_duration_wo_missing,1,1
8,Generator Loss,1.056143045425415,sd2011_duration_wo_missing,1,1
9,Generator Loss,1.1564711332321167,sd2011_duration_wo_missing,1,1
10,Generator Loss,0.8793667554855347,sd2011_duration_wo_missing,1,1
11,Generator Loss,0.9854583740234375,sd2011_duration_wo_missing,1,1
12,Generator Loss,1.1600193977355957,sd2011_duration_wo_missing,1,1
13,Generator Loss,0.9557598233222961,sd2011_duration_wo_missing,1,1
14,Generator Loss,0.8691874742507935,sd2011_duration_wo_missing,1,1
15,Generator Loss,0.8095357418060303,sd2011_duration_wo_missing,1,1
16,Generator Loss,0.8838469982147217,sd2011_duration_wo_missing,1,1
17,Generator Loss,0.893086314201355,sd2011_duration_wo_missing,1,1
18,Generator Loss,0.664028525352478,sd2011_duration_wo_missing,1,1
19,Generator Loss,0.7370306253433228,sd2011_duration_wo_missing,1,1
20,Generator Loss,0.6622326374053955,sd2011_duration_wo_missing,1,1
21,Generator Loss,0.5699343681335449,sd2011_duration_wo_missing,1,1
22,Generator Loss,0.7408560514450073,sd2011_duration_wo_missing,1,1
23,Generator Loss,0.7841901779174805,sd2011_duration_wo_missing,1,1
24,Generator Loss,0.5880667567253113,sd2011_duration_wo_missing,1,1
25,Generator Loss,0.5823453664779663,sd2011_duration_wo_missing,1,1
