epochs,loss_type,value,data,copes,j
0,Generator Loss,1.9474352598190308,sd2011,5,1
1,Generator Loss,2.0550153255462646,sd2011,5,1
2,Generator Loss,1.1563804149627686,sd2011,5,1
3,Generator Loss,0.9804564714431763,sd2011,5,1
4,Generator Loss,0.7570037841796875,sd2011,5,1
5,Generator Loss,0.7193024158477783,sd2011,5,1
6,Generator Loss,0.6869359016418457,sd2011,5,1
7,Generator Loss,0.3174915313720703,sd2011,5,1
8,Generator Loss,0.27928972244262695,sd2011,5,1
9,Generator Loss,0.25904178619384766,sd2011,5,1
10,Generator Loss,0.45383667945861816,sd2011,5,1
11,Generator Loss,0.7868589162826538,sd2011,5,1
12,Generator Loss,0.8782799243927002,sd2011,5,1
13,Generator Loss,0.6026544570922852,sd2011,5,1
14,Generator Loss,0.6246675252914429,sd2011,5,1
15,Generator Loss,0.6405996084213257,sd2011,5,1
16,Generator Loss,0.26096320152282715,sd2011,5,1
17,Generator Loss,0.13376402854919434,sd2011,5,1
18,Generator Loss,0.05536532402038574,sd2011,5,1
19,Generator Loss,-0.28963935375213623,sd2011,5,1
20,Generator Loss,-0.3608196973800659,sd2011,5,1
21,Generator Loss,-0.20547986030578613,sd2011,5,1
22,Generator Loss,0.03062605857849121,sd2011,5,1
23,Generator Loss,-0.2643221616744995,sd2011,5,1
24,Generator Loss,-0.049143075942993164,sd2011,5,1
25,Generator Loss,0.17789053916931152,sd2011,5,1
26,Generator Loss,-0.21765542030334473,sd2011,5,1
27,Generator Loss,-0.20864856243133545,sd2011,5,1
28,Generator Loss,-0.1393566131591797,sd2011,5,1
29,Generator Loss,-0.2581052780151367,sd2011,5,1
30,Generator Loss,0.142614483833313,sd2011,5,1
31,Generator Loss,-0.2663309574127197,sd2011,5,1
32,Generator Loss,-0.6859439611434937,sd2011,5,1
33,Generator Loss,-0.741387128829956,sd2011,5,1
34,Generator Loss,-0.8012782335281372,sd2011,5,1
35,Generator Loss,-0.5888105630874634,sd2011,5,1
36,Generator Loss,-1.1137818098068237,sd2011,5,1
37,Generator Loss,-1.0793383121490479,sd2011,5,1
38,Generator Loss,-0.7034064531326294,sd2011,5,1
39,Generator Loss,-1.0864876508712769,sd2011,5,1
40,Generator Loss,-1.2859143018722534,sd2011,5,1
41,Generator Loss,-1.1466429233551025,sd2011,5,1
42,Generator Loss,-1.2277753353118896,sd2011,5,1
43,Generator Loss,-1.294488787651062,sd2011,5,1
44,Generator Loss,-1.3287403583526611,sd2011,5,1
45,Generator Loss,-1.4267594814300537,sd2011,5,1
46,Generator Loss,-1.6073640584945679,sd2011,5,1
47,Generator Loss,-1.499100923538208,sd2011,5,1
48,Generator Loss,-1.178175449371338,sd2011,5,1
49,Generator Loss,-1.7313182353973389,sd2011,5,1
50,Generator Loss,-2.0274009704589844,sd2011,5,1
51,Generator Loss,-2.0342390537261963,sd2011,5,1
52,Generator Loss,-1.751953363418579,sd2011,5,1
53,Generator Loss,-2.043308973312378,sd2011,5,1
54,Generator Loss,-1.8856143951416016,sd2011,5,1
55,Generator Loss,-2.272434949874878,sd2011,5,1
56,Generator Loss,-2.118948459625244,sd2011,5,1
57,Generator Loss,-2.16860032081604,sd2011,5,1
58,Generator Loss,-2.1135246753692627,sd2011,5,1
59,Generator Loss,-2.227308988571167,sd2011,5,1
60,Generator Loss,-1.6623221635818481,sd2011,5,1
61,Generator Loss,-2.1255879402160645,sd2011,5,1
62,Generator Loss,-2.0544378757476807,sd2011,5,1
63,Generator Loss,-2.0890440940856934,sd2011,5,1
64,Generator Loss,-2.252357006072998,sd2011,5,1
65,Generator Loss,-1.9308269023895264,sd2011,5,1
66,Generator Loss,-2.0169711112976074,sd2011,5,1
67,Generator Loss,-2.2086904048919678,sd2011,5,1
68,Generator Loss,-2.1627070903778076,sd2011,5,1
69,Generator Loss,-2.7932565212249756,sd2011,5,1
70,Generator Loss,-2.4869861602783203,sd2011,5,1
71,Generator Loss,-2.0154807567596436,sd2011,5,1
72,Generator Loss,-2.0216357707977295,sd2011,5,1
73,Generator Loss,-2.180560827255249,sd2011,5,1
74,Generator Loss,-2.4054083824157715,sd2011,5,1
75,Generator Loss,-2.5267539024353027,sd2011,5,1
76,Generator Loss,-2.4352595806121826,sd2011,5,1
77,Generator Loss,-2.5522422790527344,sd2011,5,1
78,Generator Loss,-2.2063345909118652,sd2011,5,1
79,Generator Loss,-2.175678253173828,sd2011,5,1
80,Generator Loss,-2.2180638313293457,sd2011,5,1
81,Generator Loss,-2.2483761310577393,sd2011,5,1
82,Generator Loss,-2.7145845890045166,sd2011,5,1
83,Generator Loss,-3.157604694366455,sd2011,5,1
84,Generator Loss,-2.7407705783843994,sd2011,5,1
85,Generator Loss,-2.1235554218292236,sd2011,5,1
86,Generator Loss,-2.608370542526245,sd2011,5,1
87,Generator Loss,-2.469032049179077,sd2011,5,1
88,Generator Loss,-2.8290534019470215,sd2011,5,1
89,Generator Loss,-3.0829241275787354,sd2011,5,1
90,Generator Loss,-2.8934788703918457,sd2011,5,1
91,Generator Loss,-2.480961322784424,sd2011,5,1
92,Generator Loss,-2.477421760559082,sd2011,5,1
93,Generator Loss,-2.476519823074341,sd2011,5,1
94,Generator Loss,-2.752943515777588,sd2011,5,1
95,Generator Loss,-2.9108357429504395,sd2011,5,1
96,Generator Loss,-2.889669418334961,sd2011,5,1
97,Generator Loss,-2.810316801071167,sd2011,5,1
98,Generator Loss,-2.4288065433502197,sd2011,5,1
99,Generator Loss,-1.9949936866760254,sd2011,5,1
100,Generator Loss,-2.1675832271575928,sd2011,5,1
101,Generator Loss,-2.4523940086364746,sd2011,5,1
102,Generator Loss,-2.943798542022705,sd2011,5,1
103,Generator Loss,-3.7563185691833496,sd2011,5,1
104,Generator Loss,-3.056253433227539,sd2011,5,1
105,Generator Loss,-2.3160908222198486,sd2011,5,1
106,Generator Loss,-2.594597339630127,sd2011,5,1
107,Generator Loss,-2.6835737228393555,sd2011,5,1
108,Generator Loss,-2.811065673828125,sd2011,5,1
109,Generator Loss,-2.6859145164489746,sd2011,5,1
110,Generator Loss,-2.4941837787628174,sd2011,5,1
111,Generator Loss,-2.7997472286224365,sd2011,5,1
112,Generator Loss,-2.881334066390991,sd2011,5,1
113,Generator Loss,-2.8369944095611572,sd2011,5,1
114,Generator Loss,-2.685415744781494,sd2011,5,1
115,Generator Loss,-2.6006336212158203,sd2011,5,1
116,Generator Loss,-2.657371759414673,sd2011,5,1
117,Generator Loss,-2.5372772216796875,sd2011,5,1
118,Generator Loss,-2.8602821826934814,sd2011,5,1
119,Generator Loss,-3.1639158725738525,sd2011,5,1
120,Generator Loss,-2.901123046875,sd2011,5,1
121,Generator Loss,-3.023991107940674,sd2011,5,1
122,Generator Loss,-2.6778082847595215,sd2011,5,1
123,Generator Loss,-2.8934900760650635,sd2011,5,1
124,Generator Loss,-2.9144906997680664,sd2011,5,1
125,Generator Loss,-2.9209470748901367,sd2011,5,1
