"specks","variables","data","copies","epochs"
0.0694800000000005,"sex","sd2011",5,100
0.178280000000001,"age","sd2011",5,100
0.176040000000003,"agegr","sd2011",5,100
0.116640000000001,"placesize","sd2011",5,100
0.119600000000001,"region","sd2011",5,100
0.129840000000002,"edu","sd2011",5,100
0.130280000000002,"eduspec","sd2011",5,100
0.119480000000001,"socprof","sd2011",5,100
0.231960000000004,"unempdur","sd2011",5,100
0.212240000000004,"income","sd2011",5,100
0.0800400000000003,"marital","sd2011",5,100
0.209120000000002,"mmarr","sd2011",5,100
0.248720000000004,"ymarr","sd2011",5,100
0.0485199999999998,"msepdiv","sd2011",5,100
0.0565199999999998,"ysepdiv","sd2011",5,100
0.150640000000002,"ls","sd2011",5,100
0.136120000000002,"depress","sd2011",5,100
0.100920000000001,"trust","sd2011",5,100
0.0311999999999999,"trustfam","sd2011",5,100
0.142560000000002,"trustneigh","sd2011",5,100
0.0967600000000012,"sport","sd2011",5,100
0.177120000000001,"nofriend","sd2011",5,100
0.0854400000000012,"smoke","sd2011",5,100
0.0395999999999999,"nociga","sd2011",5,100
0.03544,"alcabuse","sd2011",5,100
0.0250799999999999,"alcsol","sd2011",5,100
0.0778400000000006,"workab","sd2011",5,100
0.0000000000000000074267848815257,"wkabdur","sd2011",5,100
0.100080000000001,"wkabint","sd2011",5,100
0.0593999999999999,"wkabintdur","sd2011",5,100
0.0947200000000007,"emcc","sd2011",5,100
0.0584400000000002,"englang","sd2011",5,100
0.183400000000003,"height","sd2011",5,100
0.127280000000002,"weight","sd2011",5,100
0.197839999999999,"bmi","sd2011",5,100
0.0694000000000007,"sex","sd2011",5,300
0.152840000000002,"age","sd2011",5,300
0.124000000000002,"agegr","sd2011",5,300
0.145440000000002,"placesize","sd2011",5,300
0.170320000000003,"region","sd2011",5,300
0.115960000000001,"edu","sd2011",5,300
0.117640000000001,"eduspec","sd2011",5,300
0.118400000000001,"socprof","sd2011",5,300
0.117080000000002,"unempdur","sd2011",5,300
0.179400000000003,"income","sd2011",5,300
0.0905200000000006,"marital","sd2011",5,300
0.180480000000003,"mmarr","sd2011",5,300
0.152120000000002,"ymarr","sd2011",5,300
0.0487999999999998,"msepdiv","sd2011",5,300
0.0533599999999998,"ysepdiv","sd2011",5,300
0.152280000000002,"ls","sd2011",5,300
0.128520000000002,"depress","sd2011",5,300
0.0771600000000004,"trust","sd2011",5,300
0.0287999999999999,"trustfam","sd2011",5,300
0.110280000000001,"trustneigh","sd2011",5,300
0.120760000000002,"sport","sd2011",5,300
0.209440000000002,"nofriend","sd2011",5,300
0.0707200000000006,"smoke","sd2011",5,300
0.0745200000000009,"nociga","sd2011",5,300
0.0484400000000002,"alcabuse","sd2011",5,300
0.0768000000000006,"alcsol","sd2011",5,300
0.0635200000000005,"workab","sd2011",5,300
0.0000000000000000074267848815257,"wkabdur","sd2011",5,300
0.101160000000001,"wkabint","sd2011",5,300
0.150920000000002,"wkabintdur","sd2011",5,300
0.117440000000001,"emcc","sd2011",5,300
0.0701600000000002,"englang","sd2011",5,300
0.0872000000000006,"height","sd2011",5,300
0.101040000000001,"weight","sd2011",5,300
0.143400000000002,"bmi","sd2011",5,300
0.0643600000000005,"sex","sd2011",5,600
0.106040000000001,"age","sd2011",5,600
0.120960000000001,"agegr","sd2011",5,600
0.136080000000002,"placesize","sd2011",5,600
0.166840000000003,"region","sd2011",5,600
0.127000000000002,"edu","sd2011",5,600
0.118680000000001,"eduspec","sd2011",5,600
0.124800000000002,"socprof","sd2011",5,600
0.168040000000002,"unempdur","sd2011",5,600
0.112360000000001,"income","sd2011",5,600
0.0700000000000002,"marital","sd2011",5,600
0.191760000000003,"mmarr","sd2011",5,600
0.182200000000003,"ymarr","sd2011",5,600
0.0668399999999998,"msepdiv","sd2011",5,600
0.0563199999999998,"ysepdiv","sd2011",5,600
0.136600000000002,"ls","sd2011",5,600
0.109720000000001,"depress","sd2011",5,600
0.0911600000000009,"trust","sd2011",5,600
0.0550000000000004,"trustfam","sd2011",5,600
0.0804400000000006,"trustneigh","sd2011",5,600
0.102200000000001,"sport","sd2011",5,600
0.161920000000003,"nofriend","sd2011",5,600
0.0785200000000005,"smoke","sd2011",5,600
0.05756,"nociga","sd2011",5,600
0.0471200000000004,"alcabuse","sd2011",5,600
0.0542800000000001,"alcsol","sd2011",5,600
0.0659200000000004,"workab","sd2011",5,600
0.0000000000000000074267848815257,"wkabdur","sd2011",5,600
0.131960000000002,"wkabint","sd2011",5,600
0.116080000000001,"wkabintdur","sd2011",5,600
0.107600000000001,"emcc","sd2011",5,600
0.05116,"englang","sd2011",5,600
0.127600000000002,"height","sd2011",5,600
0.113400000000001,"weight","sd2011",5,600
0.108680000000001,"bmi","sd2011",5,600
0.03856,"sex","sd2011",5,900
0.0985200000000008,"age","sd2011",5,900
0.113640000000001,"agegr","sd2011",5,900
0.127880000000002,"placesize","sd2011",5,900
0.196160000000004,"region","sd2011",5,900
0.100360000000001,"edu","sd2011",5,900
0.152280000000002,"eduspec","sd2011",5,900
0.128800000000002,"socprof","sd2011",5,900
0.133200000000002,"unempdur","sd2011",5,900
0.139760000000002,"income","sd2011",5,900
0.0724400000000005,"marital","sd2011",5,900
0.150160000000002,"mmarr","sd2011",5,900
0.176200000000003,"ymarr","sd2011",5,900
0.0611999999999998,"msepdiv","sd2011",5,900
0.0525999999999998,"ysepdiv","sd2011",5,900
0.154480000000002,"ls","sd2011",5,900
0.111240000000001,"depress","sd2011",5,900
0.112160000000001,"trust","sd2011",5,900
0.04196,"trustfam","sd2011",5,900
0.0806800000000004,"trustneigh","sd2011",5,900
0.115040000000002,"sport","sd2011",5,900
0.143920000000002,"nofriend","sd2011",5,900
0.01584,"smoke","sd2011",5,900
0.0271999999999999,"nociga","sd2011",5,900
0.0404000000000002,"alcabuse","sd2011",5,900
0.03944,"alcsol","sd2011",5,900
0.0626800000000003,"workab","sd2011",5,900
0.0000000000000000074267848815257,"wkabdur","sd2011",5,900
0.144400000000002,"wkabint","sd2011",5,900
