"X1","X2","val","copies","data"
"01.sex","02.age",0.000211475694015256,5,"sd2011_clean_small"
"01.sex","03.placesize",0.000430134275277701,5,"sd2011_clean_small"
"01.sex","04.region",0.000971463190268712,5,"sd2011_clean_small"
"01.sex","05.edu",0.00131894992204592,5,"sd2011_clean_small"
"01.sex","06.eduspec",0.0144765700803827,5,"sd2011_clean_small"
"01.sex","07.socprof",0.00308098039074636,5,"sd2011_clean_small"
"01.sex","08.unempdur",0.000134912094830907,5,"sd2011_clean_small"
"01.sex","09.income",0.00298646038618004,5,"sd2011_clean_small"
"01.sex","10.marital",0.000820373994418693,5,"sd2011_clean_small"
"01.sex","11.mmarr",0.0000713437156040763,5,"sd2011_clean_small"
"01.sex","12.ymarr",0.000359900014810479,5,"sd2011_clean_small"
"01.sex","13.msepdiv",0.000317118922596115,5,"sd2011_clean_small"
"01.sex","14.ysepdiv",0.000948267472531869,5,"sd2011_clean_small"
"01.sex","15.ls",0.000604035868436323,5,"sd2011_clean_small"
"01.sex","16.depress",0.000848727758002891,5,"sd2011_clean_small"
"01.sex","17.trust",0.000233091031957769,5,"sd2011_clean_small"
"01.sex","18.trustfam",0.000316556770820611,5,"sd2011_clean_small"
"01.sex","19.trustneigh",0.000312975334669616,5,"sd2011_clean_small"
"01.sex","20.sport",0.000320846863297034,5,"sd2011_clean_small"
"01.sex","21.nofriend",0.00150267540954614,5,"sd2011_clean_small"
"01.sex","22.smoke",0.00140984271431031,5,"sd2011_clean_small"
"01.sex","23.nociga",0.00314438500881461,5,"sd2011_clean_small"
"01.sex","24.alcabuse",0.00236386239500645,5,"sd2011_clean_small"
"01.sex","25.alcsol",0.00145259922524907,5,"sd2011_clean_small"
"01.sex","26.workab",0.000297246750511399,5,"sd2011_clean_small"
"01.sex","27.wkabdur",0.000281466764303364,5,"sd2011_clean_small"
"01.sex","28.wkabint",0.000154028848154464,5,"sd2011_clean_small"
"01.sex","29.wkabintdur",0.000166408167629513,5,"sd2011_clean_small"
"01.sex","30.emcc",0.00159542849337638,5,"sd2011_clean_small"
"01.sex","31.englang",0.000506041528141398,5,"sd2011_clean_small"
"01.sex","32.height",0.000186035109096327,5,"sd2011_clean_small"
"01.sex","33.weight",0.022379083024687,5,"sd2011_clean_small"
"02.age","03.placesize",0.000640167466579367,5,"sd2011_clean_small"
"02.age","04.region",0.00251152313618882,5,"sd2011_clean_small"
"02.age","05.edu",0.00163514426469872,5,"sd2011_clean_small"
"02.age","06.eduspec",0.00762004470405281,5,"sd2011_clean_small"
"02.age","07.socprof",0.015083976547993,5,"sd2011_clean_small"
"02.age","08.unempdur",0.000610124607462703,5,"sd2011_clean_small"
"02.age","09.income",0.00374844743975803,5,"sd2011_clean_small"
"02.age","10.marital",0.00513010115549095,5,"sd2011_clean_small"
"02.age","11.mmarr",0.000399085934674782,5,"sd2011_clean_small"
"02.age","12.ymarr",0.00365553466156401,5,"sd2011_clean_small"
"02.age","13.msepdiv",0.000836236731654266,5,"sd2011_clean_small"
"02.age","14.ysepdiv",0.0016010177380899,5,"sd2011_clean_small"
"02.age","15.ls",0.00222526717558262,5,"sd2011_clean_small"
"02.age","16.depress",0.00191890488760455,5,"sd2011_clean_small"
"02.age","17.trust",0.000670562142969488,5,"sd2011_clean_small"
"02.age","18.trustfam",0.000513968587186644,5,"sd2011_clean_small"
"02.age","19.trustneigh",0.000449829128701183,5,"sd2011_clean_small"
"02.age","20.sport",0.000206724302968271,5,"sd2011_clean_small"
"02.age","21.nofriend",0.00173831232095772,5,"sd2011_clean_small"
"02.age","22.smoke",0.00183800411595556,5,"sd2011_clean_small"
"02.age","23.nociga",0.00278294241414401,5,"sd2011_clean_small"
"02.age","24.alcabuse",0.00124794573758122,5,"sd2011_clean_small"
"02.age","25.alcsol",0.000716197250605635,5,"sd2011_clean_small"
"02.age","26.workab",0.00209914766448594,5,"sd2011_clean_small"
"02.age","27.wkabdur",0.000510894732914421,5,"sd2011_clean_small"
"02.age","28.wkabint",0.000404601766706831,5,"sd2011_clean_small"
"02.age","29.wkabintdur",0.000719228573264657,5,"sd2011_clean_small"
"02.age","30.emcc",0.00198002849135348,5,"sd2011_clean_small"
"02.age","31.englang",0.000523907389874406,5,"sd2011_clean_small"
"02.age","32.height",0.000796174532986136,5,"sd2011_clean_small"
"02.age","33.weight",0.00629195210108987,5,"sd2011_clean_small"
"03.placesize","04.region",0.0232000289719005,5,"sd2011_clean_small"
"03.placesize","05.edu",0.000299607645257655,5,"sd2011_clean_small"
"03.placesize","06.eduspec",0.00959738345786114,5,"sd2011_clean_small"
"03.placesize","07.socprof",0.00665759539761178,5,"sd2011_clean_small"
"03.placesize","08.unempdur",0.00124355381652585,5,"sd2011_clean_small"
"03.placesize","09.income",0.0055695797172133,5,"sd2011_clean_small"
"03.placesize","10.marital",0.0015895531031901,5,"sd2011_clean_small"
"03.placesize","11.mmarr",0.000868257235855391,5,"sd2011_clean_small"
"03.placesize","12.ymarr",0.000759843882341298,5,"sd2011_clean_small"
"03.placesize","13.msepdiv",0.000895473123871781,5,"sd2011_clean_small"
"03.placesize","14.ysepdiv",0.00198402960501448,5,"sd2011_clean_small"
"03.placesize","15.ls",0.0014185789707085,5,"sd2011_clean_small"
"03.placesize","16.depress",0.00106606962654925,5,"sd2011_clean_small"
"03.placesize","17.trust",0.000767848607951053,5,"sd2011_clean_small"
"03.placesize","18.trustfam",0.000698695008562415,5,"sd2011_clean_small"
"03.placesize","19.trustneigh",0.000605622743982816,5,"sd2011_clean_small"
"03.placesize","20.sport",0.00136685371048898,5,"sd2011_clean_small"
"03.placesize","21.nofriend",0.00181489309403987,5,"sd2011_clean_small"
"03.placesize","22.smoke",0.000309161485325446,5,"sd2011_clean_small"
"03.placesize","23.nociga",0.00108479355946826,5,"sd2011_clean_small"
"03.placesize","24.alcabuse",0.000462576531122847,5,"sd2011_clean_small"
"03.placesize","25.alcsol",0.00104196309526607,5,"sd2011_clean_small"
"03.placesize","26.workab",0.000183966892494627,5,"sd2011_clean_small"
"03.placesize","27.wkabdur",0.00110935557899744,5,"sd2011_clean_small"
"03.placesize","28.wkabint",0.000799094753591025,5,"sd2011_clean_small"
"03.placesize","29.wkabintdur",0.000854281469467979,5,"sd2011_clean_small"
"03.placesize","30.emcc",0.0023573117510421,5,"sd2011_clean_small"
"03.placesize","31.englang",0.00261726344343216,5,"sd2011_clean_small"
"03.placesize","32.height",0.000960052779635734,5,"sd2011_clean_small"
"03.placesize","33.weight",0.00633817730803709,5,"sd2011_clean_small"
"04.region","05.edu",0.00227133390366313,5,"sd2011_clean_small"
"04.region","06.eduspec",0.0118818480275179,5,"sd2011_clean_small"
"04.region","07.socprof",0.00580897059954973,5,"sd2011_clean_small"
"04.region","08.unempdur",0.0179608878423307,5,"sd2011_clean_small"
"04.region","09.income",0.00408139151463253,5,"sd2011_clean_small"
"04.region","10.marital",0.0025028450064549,5,"sd2011_clean_small"
"04.region","11.mmarr",0.00294482092807901,5,"sd2011_clean_small"
"04.region","12.ymarr",0.003521485483977,5,"sd2011_clean_small"
"04.region","13.msepdiv",0.00291650136630447,5,"sd2011_clean_small"
"04.region","14.ysepdiv",0.00411873959865524,5,"sd2011_clean_small"
"04.region","15.ls",0.00387272646603532,5,"sd2011_clean_small"
"04.region","16.depress",0.00256831140743302,5,"sd2011_clean_small"
"04.region","17.trust",0.00227095652975189,5,"sd2011_clean_small"
"04.region","18.trustfam",0.00210562029709608,5,"sd2011_clean_small"
"04.region","19.trustneigh",0.00181424313571059,5,"sd2011_clean_small"
"04.region","20.sport",0.00209226215242558,5,"sd2011_clean_small"
"04.region","21.nofriend",0.00446640925042227,5,"sd2011_clean_small"
"04.region","22.smoke",0.00125867111357097,5,"sd2011_clean_small"
"04.region","23.nociga",0.00279377703261785,5,"sd2011_clean_small"
