"term","estimate","std.error","type","model","dv","sdg"
"(Intercept)",-0.720836713186942,0.206552676443619,"observed","glm","smoke","syndiffix"
"sexMALE",0.637143989393018,0.0687295141515106,"observed","glm","smoke","syndiffix"
"age",-0.00331270844770555,0.00208362189922308,"observed","glm","smoke","syndiffix"
"eduPRIMARY/NO EDUCATION",0.63240802124022,0.120422298811369,"observed","glm","smoke","syndiffix"
"eduSECONDARY",0.277831493762243,0.107938760422549,"observed","glm","smoke","syndiffix"
"eduVOCATIONAL/GRAMMAR",0.740303621276707,0.103287954151303,"observed","glm","smoke","syndiffix"
"bmi",-0.0370120283436802,0.00810927726556272,"observed","glm","smoke","syndiffix"
"(Intercept)",-0.983877126482201,0.199763383730228,"synthetic","glm","smoke","syndiffix"
"sexMALE",-0.0333342986192105,0.0704824968909541,"synthetic","glm","smoke","syndiffix"
"age",-0.00454858066787715,0.00193267442424074,"synthetic","glm","smoke","syndiffix"
"eduPRIMARY/NO EDUCATION",-0.268459146691963,0.114559377019735,"synthetic","glm","smoke","syndiffix"
"eduSECONDARY",0.0692661437990432,0.0952447455034969,"synthetic","glm","smoke","syndiffix"
"eduVOCATIONAL/GRAMMAR",-0.0189946962951102,0.0939528996137428,"synthetic","glm","smoke","syndiffix"
"bmi",0.00762992399480641,0.0066903386071195,"synthetic","glm","smoke","syndiffix"
"(Intercept)",7.24954906133545,0.0561041424319681,"observed","lm","LN income","syndiffix"
"sexMALE",0.269210746232614,0.0185625480127904,"observed","lm","LN income","syndiffix"
"age",0.00256772790040752,0.000597489061448854,"observed","lm","LN income","syndiffix"
"eduPRIMARY/NO EDUCATION",-0.817318406916093,0.0304742961942108,"observed","lm","LN income","syndiffix"
"eduSECONDARY",-0.396329981285642,0.0259859597066099,"observed","lm","LN income","syndiffix"
"eduVOCATIONAL/GRAMMAR",-0.642437998956692,0.0265854663350357,"observed","lm","LN income","syndiffix"
"bmi",0.00703921543163064,0.00206814804715465,"observed","lm","LN income","syndiffix"
"(Intercept)",7.43722694156588,0.0570082800021393,"synthetic","lm","LN income","syndiffix"
"sexMALE",-0.017484527557342,0.019778779537283,"synthetic","lm","LN income","syndiffix"
"age",-0.00348960440633675,0.000559324359985958,"synthetic","lm","LN income","syndiffix"
"eduPRIMARY/NO EDUCATION",-0.126380763494656,0.0314882640963292,"synthetic","lm","LN income","syndiffix"
"eduSECONDARY",-0.0721265405858677,0.0278696265465717,"synthetic","lm","LN income","syndiffix"
"eduVOCATIONAL/GRAMMAR",-0.0375343734269501,0.0272539382418307,"synthetic","lm","LN income","syndiffix"
"bmi",0.000741612153023738,0.00186214714540173,"synthetic","lm","LN income","syndiffix"
