"age","income","sex","region"
57,800,"FEMALE","Lubuskie"
20,350,"MALE","Podlaskie"
18,NA,"FEMALE","Mazowieckie"
78,900,"FEMALE","Podlaskie"
54,1500,"FEMALE","Zachodnio-pomorskie"
20,NA,"MALE","Slaskie"
39,2000,"FEMALE","Wielkopolskie"
39,1197,"MALE","Lubuskie"
43,580,"FEMALE","Swietokrzyskie"
63,1400,"FEMALE","Dolnoslaskie"
38,1500,"FEMALE","Kujawsko-pomorskie"
73,1700,"FEMALE","Slaskie"
54,2000,"FEMALE","Slaskie"
30,900,"MALE","Zachodnio-pomorskie"
68,NA,"MALE","Pomorskie"
61,NA,"MALE","Mazowieckie"
84,2000,"MALE","Slaskie"
87,1400,"FEMALE","Lodzkie"
47,560,"MALE","Slaskie"
45,530,"MALE","Podkarpackie"
60,700,"FEMALE","Podkarpackie"
27,1000,"MALE","Mazowieckie"
49,NA,"FEMALE","Lubelskie"
58,3500,"FEMALE","Slaskie"
30,1600,"MALE","Podkarpackie"
59,1300,"MALE","Malopolskie"
26,1500,"FEMALE","Dolnoslaskie"
35,1300,"FEMALE","Mazowieckie"
17,NA,"MALE","Zachodnio-pomorskie"
40,2000,"FEMALE","Lubelskie"
75,1157,"FEMALE","Wielkopolskie"
21,NA,"MALE","Kujawsko-pomorskie"
43,1000,"FEMALE","Dolnoslaskie"
34,4000,"MALE","Dolnoslaskie"
35,800,"FEMALE","Kujawsko-pomorskie"
47,1200,"MALE","Malopolskie"
20,NA,"MALE","Warminsko-mazurskie"
71,1000,"MALE","Podlaskie"
41,NA,"FEMALE","Lodzkie"
60,900,"MALE","Slaskie"
74,1500,"MALE","Mazowieckie"
52,2000,"FEMALE","Swietokrzyskie"
25,NA,"MALE","Zachodnio-pomorskie"
77,940,"MALE","Lodzkie"
20,NA,"FEMALE","Pomorskie"
40,1890,"MALE","Malopolskie"
31,1050,"FEMALE","Lubelskie"
64,1600,"MALE","Dolnoslaskie"
30,1600,"FEMALE","Wielkopolskie"
27,1400,"FEMALE","Lodzkie"
24,NA,"MALE","Wielkopolskie"
83,1600,"MALE","Zachodnio-pomorskie"
21,NA,"FEMALE","Malopolskie"
37,NA,"FEMALE","Warminsko-mazurskie"
80,1200,"FEMALE","Opolskie"
29,2300,"MALE","Slaskie"
48,1700,"MALE","Pomorskie"
57,NA,"FEMALE","Zachodnio-pomorskie"
57,3000,"MALE","Lodzkie"
55,2000,"MALE","Slaskie"
75,901,"FEMALE","Pomorskie"
81,1040,"FEMALE","Slaskie"
64,750,"FEMALE","Mazowieckie"
19,NA,"FEMALE","Podkarpackie"
30,3500,"MALE","Mazowieckie"
58,1200,"FEMALE","Zachodnio-pomorskie"
20,NA,"FEMALE","Slaskie"
55,NA,"FEMALE","Zachodnio-pomorskie"
75,953,"FEMALE","Warminsko-mazurskie"
58,680,"FEMALE","Malopolskie"
45,1000,"FEMALE","Slaskie"
43,3000,"FEMALE","Kujawsko-pomorskie"
56,100,"MALE","Lubelskie"
39,1100,"MALE","Zachodnio-pomorskie"
38,1000,"FEMALE","Warminsko-mazurskie"
44,2000,"FEMALE","Zachodnio-pomorskie"
62,3500,"MALE","Opolskie"
42,2000,"MALE","Malopolskie"
26,NA,"MALE","Malopolskie"
67,1880,"FEMALE","Podkarpackie"
30,2420,"MALE","Wielkopolskie"
39,3000,"MALE","Malopolskie"
70,1448,"FEMALE","Mazowieckie"
55,2400,"FEMALE","Zachodnio-pomorskie"
48,1200,"FEMALE","Wielkopolskie"
35,15000,"MALE","Pomorskie"
78,NA,"FEMALE","Slaskie"
46,3500,"MALE","Mazowieckie"
50,560,"MALE","Mazowieckie"
44,300,"MALE","Malopolskie"
18,NA,"FEMALE","Slaskie"
32,NA,"FEMALE","Kujawsko-pomorskie"
56,1700,"FEMALE","Malopolskie"
62,750,"MALE","Warminsko-mazurskie"
29,1300,"FEMALE","Zachodnio-pomorskie"
39,900,"FEMALE","Wielkopolskie"
56,1500,"MALE","Mazowieckie"
61,1800,"FEMALE","Lubuskie"
61,800,"FEMALE","Mazowieckie"
86,800,"FEMALE","Opolskie"
52,1500,"MALE","Opolskie"
51,520,"FEMALE","Dolnoslaskie"
24,NA,"MALE","Malopolskie"
54,7000,"MALE","Mazowieckie"
75,1700,"MALE","Mazowieckie"
70,1050,"FEMALE","Zachodnio-pomorskie"
40,1400,"FEMALE","Podlaskie"
30,1500,"MALE","Mazowieckie"
35,2000,"FEMALE","Zachodnio-pomorskie"
50,3000,"MALE","Wielkopolskie"
19,NA,"MALE","Lodzkie"
43,1700,"FEMALE","Swietokrzyskie"
41,2100,"FEMALE","Podlaskie"
55,1300,"MALE","Opolskie"
43,1000,"FEMALE","Lodzkie"
51,2500,"MALE","Slaskie"
76,800,"FEMALE","Zachodnio-pomorskie"
36,1000,"FEMALE","Lubelskie"
29,500,"FEMALE","Pomorskie"
55,NA,"FEMALE","Wielkopolskie"
27,1900,"MALE","Malopolskie"
27,NA,"FEMALE","Warminsko-mazurskie"
50,1500,"FEMALE","Dolnoslaskie"
24,1000,"FEMALE","Slaskie"
63,1500,"FEMALE","Kujawsko-pomorskie"
30,1400,"MALE","Podkarpackie"
59,1392,"FEMALE","Lubuskie"
25,1500,"FEMALE","Lubelskie"
55,2300,"FEMALE","Kujawsko-pomorskie"
44,1600,"FEMALE","Dolnoslaskie"
56,1000,"FEMALE","Swietokrzyskie"
48,1500,"FEMALE","Wielkopolskie"
24,1000,"FEMALE","Lubelskie"
24,1800,"MALE","Malopolskie"
46,1500,"MALE","Podkarpackie"
36,1500,"FEMALE","Lodzkie"
18,NA,"FEMALE","Warminsko-mazurskie"
27,1076,"MALE","Pomorskie"
19,NA,"FEMALE","Wielkopolskie"
34,8255,"FEMALE","Mazowieckie"
53,1200,"FEMALE","Lubuskie"
66,3000,"MALE","Slaskie"
62,1000,"FEMALE","Podkarpackie"
51,800,"FEMALE","Podkarpackie"
76,1100,"FEMALE","Lodzkie"
38,800,"MALE","Podlaskie"
37,4200,"FEMALE","Zachodnio-pomorskie"
38,600,"MALE","Swietokrzyskie"
52,NA,"MALE","Malopolskie"
56,NA,"FEMALE","Wielkopolskie"
57,860,"MALE","Swietokrzyskie"
43,2300,"FEMALE","Lubuskie"
23,NA,"MALE","Slaskie"
65,4200,"FEMALE","Kujawsko-pomorskie"
50,2000,"MALE","Kujawsko-pomorskie"
35,600,"MALE","Slaskie"
63,660,"FEMALE","Lubuskie"
47,NA,"MALE","Dolnoslaskie"
60,1300,"FEMALE","Lodzkie"
17,NA,"FEMALE","Malopolskie"
50,1000,"FEMALE","Dolnoslaskie"
81,1480,"FEMALE","Mazowieckie"
39,NA,"FEMALE","Opolskie"
69,960,"MALE","Podkarpackie"
33,1400,"FEMALE","Lubuskie"
41,NA,"MALE","Lubelskie"
21,1200,"FEMALE","Dolnoslaskie"
61,3200,"MALE","Wielkopolskie"
76,1200,"MALE","Malopolskie"
54,NA,"FEMALE","Lubelskie"
42,497,"MALE","Mazowieckie"
36,NA,"FEMALE","Lubelskie"
42,NA,"MALE","Pomorskie"
59,690,"FEMALE","Lubelskie"
74,1000,"FEMALE","Opolskie"
62,1900,"MALE","Mazowieckie"
72,1120,"FEMALE","Mazowieckie"
24,1800,"MALE","Slaskie"
47,1700,"FEMALE","Slaskie"
57,1600,"MALE","Dolnoslaskie"
53,2500,"MALE","Dolnoslaskie"
79,1000,"FEMALE","Podlaskie"
47,1800,"FEMALE","Wielkopolskie"
25,NA,"FEMALE","Wielkopolskie"
27,NA,"MALE","Mazowieckie"
36,4000,"MALE","Malopolskie"
45,1400,"FEMALE","Lodzkie"
55,3000,"MALE","Kujawsko-pomorskie"
55,1720,"MALE","Podlaskie"
80,1100,"MALE","Wielkopolskie"
54,1000,"FEMALE","Slaskie"
22,NA,"FEMALE","Malopolskie"
34,NA,"FEMALE","Kujawsko-pomorskie"
39,5000,"MALE","Slaskie"
61,1300,"FEMALE","Pomorskie"
36,1500,"FEMALE","Pomorskie"
52,1800,"FEMALE","Podkarpackie"
63,2000,"FEMALE","Podlaskie"
42,780,"MALE","Warminsko-mazurskie"
65,1300,"MALE","Wielkopolskie"
92,850,"FEMALE","Podlaskie"
52,NA,"FEMALE","Pomorskie"
45,2500,"MALE","Mazowieckie"
18,NA,"FEMALE","Malopolskie"
22,NA,"MALE","Dolnoslaskie"
38,2200,"MALE","Mazowieckie"
57,700,"MALE","Mazowieckie"
42,NA,"MALE","Malopolskie"
25,750,"FEMALE","Mazowieckie"
24,NA,"FEMALE","Kujawsko-pomorskie"
74,1070,"FEMALE","Mazowieckie"
30,NA,"FEMALE","Wielkopolskie"
64,1500,"MALE","Pomorskie"
57,NA,"FEMALE","Wielkopolskie"
64,1260,"FEMALE","Podkarpackie"
24,1050,"FEMALE","Warminsko-mazurskie"
24,1500,"MALE","Kujawsko-pomorskie"
19,NA,"MALE","Podkarpackie"
34,NA,"FEMALE","Lubelskie"
78,NA,"FEMALE","Zachodnio-pomorskie"
