age,income,sex,region
28,1504.0,FEMALE,Slaskie
93,812.0,MALE,Kujawsko-pomorskie
71,,MALE,Dolnoslaskie
44,941.0,FEMALE,Dolnoslaskie
69,1106.0,MALE,Slaskie
21,763.0,MALE,Kujawsko-pomorskie
82,804.0,FEMALE,Slaskie
55,1930.0,MALE,Wielkopolskie
67,,FEMALE,Dolnoslaskie
23,1614.0,MALE,Malopolskie
51,1021.0,FEMALE,Mazowieckie
84,1651.0,MALE,Wielkopolskie
72,5606.0,MALE,Pomorskie
34,1701.0,MALE,Mazowieckie
47,2208.0,MALE,Kujawsko-pomorskie
30,,MALE,Lubelskie
27,,MALE,Lubelskie
61,1580.0,MALE,Lubelskie
22,,MALE,Mazowieckie
38,1565.0,MALE,Mazowieckie
60,,FEMALE,Mazowieckie
30,1480.0,MALE,Mazowieckie
18,1425.0,FEMALE,Pomorskie
70,,MALE,Dolnoslaskie
20,1460.0,MALE,Mazowieckie
20,1064.0,FEMALE,Lubuskie
50,1676.0,FEMALE,Swietokrzyskie
18,1609.0,MALE,Dolnoslaskie
80,,FEMALE,Pomorskie
26,1689.0,FEMALE,Podkarpackie
27,1650.0,MALE,Lubelskie
51,2077.0,MALE,Mazowieckie
61,1661.0,MALE,Kujawsko-pomorskie
73,,FEMALE,Swietokrzyskie
38,1635.0,MALE,Dolnoslaskie
19,1943.0,MALE,Dolnoslaskie
38,1382.0,MALE,Wielkopolskie
52,934.0,FEMALE,Wielkopolskie
55,1441.0,FEMALE,Opolskie
76,1630.0,MALE,Malopolskie
51,1301.0,FEMALE,Swietokrzyskie
49,,FEMALE,Lodzkie
36,1672.0,FEMALE,Mazowieckie
58,,MALE,Pomorskie
22,,FEMALE,Podlaskie
31,3512.0,MALE,Dolnoslaskie
33,1621.0,MALE,Pomorskie
25,1316.0,FEMALE,Swietokrzyskie
66,1660.0,FEMALE,Podkarpackie
50,785.0,FEMALE,Podlaskie
43,1226.0,FEMALE,Mazowieckie
65,1590.0,FEMALE,Pomorskie
33,,MALE,Zachodnio-pomorskie
41,1011.0,FEMALE,Pomorskie
59,1209.0,FEMALE,Dolnoslaskie
17,1027.0,FEMALE,Podlaskie
47,1632.0,FEMALE,Pomorskie
67,796.0,FEMALE,Mazowieckie
61,1628.0,FEMALE,Wielkopolskie
40,1294.0,FEMALE,Wielkopolskie
51,575.0,MALE,Dolnoslaskie
35,540.0,FEMALE,Mazowieckie
60,,FEMALE,Wielkopolskie
23,2933.0,MALE,Dolnoslaskie
25,1438.0,FEMALE,Mazowieckie
53,1280.0,MALE,Swietokrzyskie
72,1529.0,MALE,Mazowieckie
26,1669.0,MALE,Pomorskie
45,2971.0,FEMALE,Swietokrzyskie
83,,MALE,Mazowieckie
16,,FEMALE,Slaskie
23,1651.0,FEMALE,Slaskie
73,1637.0,FEMALE,Podkarpackie
68,2096.0,MALE,Lodzkie
37,1618.0,FEMALE,Podkarpackie
36,2510.0,MALE,Kujawsko-pomorskie
22,,FEMALE,Swietokrzyskie
19,572.0,MALE,Lodzkie
41,700.0,MALE,Dolnoslaskie
22,1675.0,FEMALE,Slaskie
32,1146.0,FEMALE,Wielkopolskie
81,1278.0,MALE,Mazowieckie
52,1244.0,MALE,Kujawsko-pomorskie
16,1628.0,FEMALE,Zachodnio-pomorskie
51,,MALE,Dolnoslaskie
19,,MALE,Pomorskie
61,939.0,MALE,Swietokrzyskie
68,1259.0,MALE,Lodzkie
21,1624.0,MALE,Mazowieckie
60,,MALE,Mazowieckie
23,,FEMALE,Podkarpackie
66,3240.0,MALE,Podlaskie
46,,FEMALE,Pomorskie
19,1635.0,FEMALE,Slaskie
35,1191.0,MALE,Lubelskie
51,835.0,MALE,Zachodnio-pomorskie
78,1307.0,FEMALE,Mazowieckie
57,599.0,FEMALE,Wielkopolskie
68,1026.0,FEMALE,Pomorskie
51,,MALE,Swietokrzyskie
58,,MALE,Wielkopolskie
63,1676.0,FEMALE,Podkarpackie
22,1585.0,FEMALE,Dolnoslaskie
60,1989.0,FEMALE,Swietokrzyskie
52,1216.0,MALE,Swietokrzyskie
67,1466.0,FEMALE,Podlaskie
50,1230.0,MALE,Swietokrzyskie
38,,MALE,Dolnoslaskie
61,1409.0,FEMALE,Dolnoslaskie
63,1622.0,FEMALE,Slaskie
73,1911.0,MALE,Mazowieckie
57,997.0,FEMALE,Wielkopolskie
60,,FEMALE,Swietokrzyskie
54,,FEMALE,Slaskie
26,2539.0,MALE,Kujawsko-pomorskie
52,1711.0,MALE,Pomorskie
34,,MALE,Slaskie
87,855.0,MALE,Dolnoslaskie
41,2055.0,MALE,Dolnoslaskie
34,1790.0,FEMALE,Opolskie
36,1175.0,MALE,Dolnoslaskie
45,583.0,MALE,Wielkopolskie
57,1382.0,MALE,Zachodnio-pomorskie
67,737.0,FEMALE,Zachodnio-pomorskie
58,,MALE,Mazowieckie
65,2182.0,MALE,Opolskie
57,2097.0,FEMALE,Swietokrzyskie
65,1598.0,MALE,Dolnoslaskie
24,1614.0,MALE,Dolnoslaskie
63,,FEMALE,Mazowieckie
44,,FEMALE,Wielkopolskie
23,1011.0,FEMALE,Swietokrzyskie
46,1047.0,FEMALE,Wielkopolskie
86,1182.0,FEMALE,Dolnoslaskie
53,847.0,FEMALE,Swietokrzyskie
63,637.0,MALE,Lodzkie
64,938.0,MALE,Mazowieckie
37,1605.0,FEMALE,Lodzkie
28,2112.0,FEMALE,Opolskie
42,900.0,MALE,Swietokrzyskie
40,1678.0,FEMALE,Swietokrzyskie
29,1068.0,MALE,Dolnoslaskie
60,3112.0,MALE,Kujawsko-pomorskie
72,1897.0,FEMALE,Mazowieckie
24,2361.0,FEMALE,Zachodnio-pomorskie
41,,FEMALE,Wielkopolskie
18,1588.0,FEMALE,Malopolskie
17,1325.0,FEMALE,Dolnoslaskie
23,2790.0,MALE,Wielkopolskie
56,,MALE,Kujawsko-pomorskie
26,2872.0,MALE,Lodzkie
24,2079.0,FEMALE,Zachodnio-pomorskie
54,1628.0,FEMALE,Opolskie
52,,FEMALE,Dolnoslaskie
45,1224.0,MALE,Kujawsko-pomorskie
80,1626.0,MALE,Zachodnio-pomorskie
41,,MALE,Wielkopolskie
27,1651.0,MALE,Dolnoslaskie
25,1655.0,FEMALE,Swietokrzyskie
57,1651.0,MALE,Mazowieckie
61,,MALE,Wielkopolskie
49,1128.0,FEMALE,Warminsko-mazurskie
24,1607.0,FEMALE,Mazowieckie
29,462.0,FEMALE,Kujawsko-pomorskie
77,387.0,MALE,Mazowieckie
33,1226.0,MALE,Zachodnio-pomorskie
24,,MALE,Dolnoslaskie
91,,FEMALE,Wielkopolskie
74,1449.0,MALE,Mazowieckie
22,,MALE,Zachodnio-pomorskie
62,1359.0,MALE,Mazowieckie
72,1600.0,MALE,Podkarpackie
64,,FEMALE,Swietokrzyskie
22,1096.0,FEMALE,Podlaskie
