age,income,sex,region
65,849,FEMALE,Pomorskie
67,959,MALE,Mazowieckie
73,1799,FEMALE,Lodzkie
44,2151,FEMALE,Kujawsko-pomorskie
74,1443,MALE,Lodzkie
78,1462,FEMALE,Warminsko-mazurskie
54,1546,MALE,Slaskie
75,760,MALE,Wielkopolskie
32,1379,MALE,Mazowieckie
56,609,FEMALE,Lubelskie
87,232,FEMALE,Opolskie
87,1492,MALE,Slaskie
32,1782,FEMALE,Dolnoslaskie
79,1139,FEMALE,Podkarpackie
81,1667,FEMALE,Dolnoslaskie
31,754,FEMALE,Opolskie
87,3023,MALE,Zachodnio-pomorskie
59,1118,FEMALE,Warminsko-mazurskie
88,1126,FEMALE,Pomorskie
72,3346,MALE,Kujawsko-pomorskie
94,1532,FEMALE,Mazowieckie
67,2068,MALE,Podlaskie
33,1358,MALE,Lubelskie
69,1464,FEMALE,Slaskie
61,2075,MALE,Slaskie
45,550,FEMALE,Podlaskie
44,1997,FEMALE,Slaskie
88,1411,FEMALE,Dolnoslaskie
87,501,FEMALE,Podlaskie
38,1273,MALE,Slaskie
67,3852,FEMALE,Kujawsko-pomorskie
43,2158,MALE,Opolskie
33,404,MALE,Pomorskie
73,1373,FEMALE,Dolnoslaskie
52,964,MALE,Dolnoslaskie
21,625,FEMALE,Mazowieckie
39,1434,FEMALE,Mazowieckie
51,921,FEMALE,Mazowieckie
88,1092,FEMALE,Lodzkie
53,515,MALE,Lodzkie
40,631,MALE,Mazowieckie
54,1681,MALE,Malopolskie
69,3344,MALE,Kujawsko-pomorskie
72,408,FEMALE,Lodzkie
57,2805,FEMALE,Wielkopolskie
34,426,FEMALE,Warminsko-mazurskie
48,1274,MALE,Mazowieckie
79,1948,FEMALE,Podkarpackie
43,2012,FEMALE,Lodzkie
39,808,MALE,Swietokrzyskie
52,1939,FEMALE,Warminsko-mazurskie
68,1202,MALE,Swietokrzyskie
62,753,MALE,Mazowieckie
79,1740,FEMALE,Slaskie
54,1009,FEMALE,Dolnoslaskie
86,1433,MALE,Podlaskie
67,889,MALE,Zachodnio-pomorskie
56,5591,FEMALE,Lodzkie
78,134,FEMALE,Kujawsko-pomorskie
36,1849,FEMALE,Mazowieckie
30,687,FEMALE,Slaskie
48,470,MALE,Zachodnio-pomorskie
77,917,FEMALE,Warminsko-mazurskie
84,1284,MALE,Mazowieckie
71,361,FEMALE,Podkarpackie
39,1019,MALE,Opolskie
68,2284,MALE,Mazowieckie
25,3125,FEMALE,Pomorskie
84,682,FEMALE,Podkarpackie
60,1014,MALE,Zachodnio-pomorskie
57,2930,MALE,Slaskie
88,1496,FEMALE,Malopolskie
73,2068,FEMALE,Slaskie
25,352,FEMALE,Warminsko-mazurskie
75,822,FEMALE,Slaskie
73,1287,FEMALE,Lodzkie
38,2474,MALE,Slaskie
39,720,FEMALE,Zachodnio-pomorskie
83,2308,MALE,Kujawsko-pomorskie
53,3297,MALE,Podlaskie
45,1276,FEMALE,Dolnoslaskie
79,1259,FEMALE,Kujawsko-pomorskie
28,168,MALE,Kujawsko-pomorskie
58,682,FEMALE,Dolnoslaskie
76,417,MALE,Zachodnio-pomorskie
61,1400,MALE,Malopolskie
85,1279,MALE,Dolnoslaskie
75,307,MALE,Wielkopolskie
88,1882,FEMALE,Malopolskie
53,1429,FEMALE,Dolnoslaskie
91,3881,MALE,Slaskie
39,685,FEMALE,Lodzkie
39,1733,MALE,Slaskie
81,1302,MALE,Lodzkie
31,1185,MALE,Slaskie
84,4176,FEMALE,Dolnoslaskie
37,3344,MALE,Slaskie
42,2783,FEMALE,Kujawsko-pomorskie
58,1977,FEMALE,Dolnoslaskie
39,2306,FEMALE,Mazowieckie
73,970,FEMALE,Zachodnio-pomorskie
41,1965,MALE,Slaskie
70,1280,FEMALE,Lodzkie
61,1118,FEMALE,Swietokrzyskie
28,2672,MALE,Kujawsko-pomorskie
79,236,MALE,Kujawsko-pomorskie
79,2280,MALE,Pomorskie
