"age","income","sex","region"
22,1300,"MALE","Dolnoslaskie"
49,1000,"FEMALE","Kujawsko-pomorskie"
60,1300,"FEMALE","Lodzkie"
34,2000,"MALE","Kujawsko-pomorskie"
82,825,"MALE","Podlaskie"
64,1500,"FEMALE","Slaskie"
52,2000,"FEMALE","Pomorskie"
53,1000,"MALE","Lubelskie"
23,1000,"FEMALE","Wielkopolskie"
71,3900,"FEMALE","Zachodnio-pomorskie"
32,2000,"MALE","Lodzkie"
62,800,"FEMALE","Pomorskie"
27,2400,"FEMALE","Malopolskie"
37,900,"FEMALE","Podlaskie"
52,1600,"FEMALE","Zachodnio-pomorskie"
51,2000,"FEMALE","Swietokrzyskie"
69,1050,"FEMALE","Warminsko-mazurskie"
29,3000,"MALE","Zachodnio-pomorskie"
80,700,"FEMALE","Mazowieckie"
55,1000,"MALE","Podkarpackie"
60,1900,"MALE","Wielkopolskie"
64,1500,"FEMALE","Malopolskie"
49,1100,"MALE","Zachodnio-pomorskie"
56,2100,"FEMALE","Warminsko-mazurskie"
46,1560,"FEMALE","Pomorskie"
63,3000,"MALE","Swietokrzyskie"
40,600,"MALE","Kujawsko-pomorskie"
72,800,"FEMALE","Podkarpackie"
32,3200,"MALE","Pomorskie"
76,1500,"FEMALE","Wielkopolskie"
66,860,"MALE","Podkarpackie"
75,2400,"MALE","Mazowieckie"
49,1000,"FEMALE","Dolnoslaskie"
25,2400,"MALE","Slaskie"
41,1700,"FEMALE","Lubuskie"
43,2000,"MALE","Mazowieckie"
70,1450,"FEMALE","Kujawsko-pomorskie"
25,1500,"FEMALE","Mazowieckie"
58,1750,"MALE","Warminsko-mazurskie"
81,1500,"MALE","Dolnoslaskie"
65,1500,"FEMALE","Wielkopolskie"
51,3500,"FEMALE","Pomorskie"
61,710,"FEMALE","Lubelskie"
32,1000,"FEMALE","Lodzkie"
58,1290,"MALE","Mazowieckie"
44,1000,"MALE","Slaskie"
62,865,"MALE","Swietokrzyskie"
28,2000,"MALE","Pomorskie"
78,1043,"MALE","Lodzkie"
76,1500,"MALE","Warminsko-mazurskie"
20,395,"FEMALE","Lubuskie"
49,580,"MALE","Swietokrzyskie"
47,2800,"MALE","Slaskie"
35,1400,"FEMALE","Zachodnio-pomorskie"
68,1200,"FEMALE","Dolnoslaskie"
83,800,"FEMALE","Podlaskie"
60,750,"FEMALE","Podlaskie"
50,1100,"MALE","Warminsko-mazurskie"
49,2500,"MALE","Kujawsko-pomorskie"
54,1600,"FEMALE","Dolnoslaskie"
68,700,"FEMALE","Lodzkie"
31,1100,"FEMALE","Lodzkie"
62,600,"FEMALE","Malopolskie"
34,1000,"FEMALE","Wielkopolskie"
64,1200,"MALE","Mazowieckie"
32,1500,"MALE","Lodzkie"
25,1700,"MALE","Mazowieckie"
62,1000,"FEMALE","Kujawsko-pomorskie"
65,1700,"FEMALE","Malopolskie"
53,700,"MALE","Zachodnio-pomorskie"
33,2000,"MALE","Malopolskie"
37,1500,"FEMALE","Warminsko-mazurskie"
45,1500,"MALE","Wielkopolskie"
65,2400,"MALE","Slaskie"
