"age","income","sex","region"
64,766,"FEMALE","Warminsko-mazurskie"
81,NA,"MALE","Lodzkie"
55,200,"FEMALE","Podlaskie"
29,3700,"MALE","Wielkopolskie"
49,NA,"FEMALE","Dolnoslaskie"
62,616,"FEMALE","Podlaskie"
49,600,"MALE","Pomorskie"
64,3500,"MALE","Slaskie"
58,800,"FEMALE","Wielkopolskie"
38,2000,"MALE","Lubelskie"
31,NA,"FEMALE","Dolnoslaskie"
27,4500,"FEMALE","Dolnoslaskie"
63,1100,"MALE","Lubelskie"
74,850,"FEMALE","Kujawsko-pomorskie"
31,1800,"MALE","Kujawsko-pomorskie"
35,100,"MALE","Opolskie"
24,2000,"MALE","Slaskie"
54,700,"FEMALE","Dolnoslaskie"
73,NA,"FEMALE","Lubelskie"
18,NA,"MALE","Kujawsko-pomorskie"
59,1800,"FEMALE","Slaskie"
62,NA,"FEMALE","Wielkopolskie"
31,1500,"FEMALE","Lubuskie"
37,1800,"MALE","Mazowieckie"
54,NA,"MALE","Wielkopolskie"
38,2100,"MALE","Mazowieckie"
63,2700,"MALE","Mazowieckie"
29,NA,"MALE","Swietokrzyskie"
48,1800,"FEMALE","Podlaskie"
38,NA,"FEMALE","Wielkopolskie"
61,NA,"FEMALE","Mazowieckie"
25,NA,"FEMALE","Wielkopolskie"
58,1650,"MALE","Lubelskie"
31,2000,"MALE","Lodzkie"
73,1600,"MALE","Dolnoslaskie"
66,855,"MALE","Swietokrzyskie"
48,1200,"MALE","Pomorskie"
63,720,"FEMALE","Mazowieckie"
28,NA,"FEMALE","Opolskie"
54,NA,"FEMALE","Pomorskie"
56,1300,"FEMALE","Swietokrzyskie"
79,1420,"FEMALE","Warminsko-mazurskie"
54,1900,"FEMALE","Slaskie"
60,1800,"MALE","Pomorskie"
41,2400,"FEMALE","Zachodnio-pomorskie"
51,1900,"FEMALE","Dolnoslaskie"
50,500,"MALE","Lubelskie"
46,3600,"FEMALE","Zachodnio-pomorskie"
53,NA,"FEMALE","Podkarpackie"
45,1100,"FEMALE","Swietokrzyskie"
51,1500,"FEMALE","Warminsko-mazurskie"
78,1500,"FEMALE","Malopolskie"
50,1300,"FEMALE","Slaskie"
29,1300,"FEMALE","Swietokrzyskie"
17,NA,"MALE","Lubelskie"
64,1800,"FEMALE","Slaskie"
22,NA,"MALE","Kujawsko-pomorskie"
38,2000,"FEMALE","Podlaskie"
47,1000,"FEMALE","Podlaskie"
55,1300,"MALE","Lubuskie"
57,2000,"FEMALE","Mazowieckie"
57,980,"FEMALE","Lubelskie"
51,2800,"MALE","Dolnoslaskie"
31,4000,"MALE","Slaskie"
69,2000,"MALE","Lodzkie"
61,NA,"MALE","Kujawsko-pomorskie"
23,900,"FEMALE","Lodzkie"
56,NA,"FEMALE","Slaskie"
42,1200,"FEMALE","Slaskie"
21,NA,"FEMALE","Zachodnio-pomorskie"
20,NA,"FEMALE","Lubuskie"
59,700,"MALE","Podlaskie"
72,1300,"MALE","Dolnoslaskie"
64,1300,"MALE","Lodzkie"
58,630,"FEMALE","Podkarpackie"
60,2000,"MALE","Wielkopolskie"
53,896,"FEMALE","Pomorskie"
21,NA,"MALE","Malopolskie"
29,2600,"FEMALE","Wielkopolskie"
27,1100,"FEMALE","Wielkopolskie"
61,1769,"MALE","Kujawsko-pomorskie"
26,2500,"FEMALE","Lubelskie"
17,NA,"FEMALE","Opolskie"
54,400,"FEMALE","Mazowieckie"
55,1640,"MALE","Zachodnio-pomorskie"
35,2800,"MALE","Zachodnio-pomorskie"
33,1000,"FEMALE","Zachodnio-pomorskie"
63,NA,"FEMALE","Kujawsko-pomorskie"
59,1500,"MALE","Opolskie"
80,NA,"FEMALE","Lubelskie"
63,1200,"FEMALE","Mazowieckie"
70,900,"FEMALE","Lodzkie"
57,NA,"FEMALE","Slaskie"
40,2200,"FEMALE","Podlaskie"
36,1000,"FEMALE","Warminsko-mazurskie"
53,700,"FEMALE","Wielkopolskie"
88,1700,"MALE","Pomorskie"
89,850,"FEMALE","Kujawsko-pomorskie"
28,2000,"MALE","Warminsko-mazurskie"
54,1200,"MALE","Mazowieckie"
48,2000,"MALE","Pomorskie"
28,2850,"FEMALE","Malopolskie"
47,316,"MALE","Lodzkie"
56,NA,"MALE","Malopolskie"
17,NA,"FEMALE","Slaskie"
53,1000,"MALE","Lodzkie"
63,950,"FEMALE","Malopolskie"
22,NA,"FEMALE","Mazowieckie"
28,1800,"MALE","Kujawsko-pomorskie"
20,NA,"MALE","Malopolskie"
52,2200,"FEMALE","Slaskie"
49,1000,"MALE","Podlaskie"
42,3000,"FEMALE","Lubuskie"
56,700,"FEMALE","Podkarpackie"
43,2250,"MALE","Mazowieckie"
25,1700,"FEMALE","Mazowieckie"
24,1100,"FEMALE","Warminsko-mazurskie"
68,870,"FEMALE","Swietokrzyskie"
74,950,"FEMALE","Lubelskie"
37,950,"FEMALE","Warminsko-mazurskie"
72,2000,"MALE","Pomorskie"
29,NA,"MALE","Zachodnio-pomorskie"
60,1300,"FEMALE","Slaskie"
48,NA,"MALE","Slaskie"
59,NA,"MALE","Zachodnio-pomorskie"
40,1200,"MALE","Wielkopolskie"
71,900,"FEMALE","Lubelskie"
66,855,"MALE","Podkarpackie"
59,765,"MALE","Swietokrzyskie"
22,NA,"MALE","Wielkopolskie"
52,NA,"FEMALE","Swietokrzyskie"
17,1000,"FEMALE","Slaskie"
74,2000,"MALE","Slaskie"
51,1800,"FEMALE","Podkarpackie"
42,2000,"MALE","Malopolskie"
23,1550,"MALE","Mazowieckie"
56,460,"MALE","Mazowieckie"
39,900,"FEMALE","Wielkopolskie"
52,NA,"FEMALE","Dolnoslaskie"
40,500,"FEMALE","Kujawsko-pomorskie"
48,NA,"MALE","Podkarpackie"
34,1000,"FEMALE","Podkarpackie"
29,3500,"MALE","Lubelskie"
52,200,"MALE","Kujawsko-pomorskie"
39,1370,"FEMALE","Pomorskie"
46,NA,"FEMALE","Wielkopolskie"
18,NA,"MALE","Slaskie"
31,2000,"MALE","Pomorskie"
58,1600,"FEMALE","Mazowieckie"
59,1150,"FEMALE","Kujawsko-pomorskie"
81,1500,"FEMALE","Podkarpackie"
65,620,"FEMALE","Mazowieckie"
61,1200,"FEMALE","Malopolskie"
49,1000,"MALE","Kujawsko-pomorskie"
72,1500,"MALE","Lubuskie"
75,NA,"MALE","Wielkopolskie"
73,1100,"FEMALE","Slaskie"
59,NA,"MALE","Zachodnio-pomorskie"
69,890,"FEMALE","Malopolskie"
73,2920,"FEMALE","Wielkopolskie"
51,1600,"MALE","Zachodnio-pomorskie"
52,740,"FEMALE","Lodzkie"
23,1000,"FEMALE","Swietokrzyskie"
45,1000,"FEMALE","Mazowieckie"
63,NA,"FEMALE","Lubuskie"
36,300,"MALE","Swietokrzyskie"
58,816,"MALE","Swietokrzyskie"
80,NA,"FEMALE","Lubelskie"
76,1100,"FEMALE","Slaskie"
59,NA,"FEMALE","Wielkopolskie"
61,2900,"MALE","Pomorskie"
27,1000,"MALE","Mazowieckie"
49,5000,"MALE","Pomorskie"
55,1500,"MALE","Opolskie"
25,2490,"MALE","Podkarpackie"
61,1080,"FEMALE","Malopolskie"
57,1600,"MALE","Dolnoslaskie"
42,3000,"FEMALE","Wielkopolskie"
61,1400,"FEMALE","Malopolskie"
31,1200,"FEMALE","Warminsko-mazurskie"
60,1100,"MALE","Lubuskie"
59,1035,"FEMALE","Podkarpackie"
55,1300,"MALE","Kujawsko-pomorskie"
81,1400,"MALE","Malopolskie"
31,NA,"FEMALE","Dolnoslaskie"
40,2200,"MALE","Mazowieckie"
17,NA,"FEMALE","Pomorskie"
17,NA,"MALE","Kujawsko-pomorskie"
23,1800,"MALE","Malopolskie"
19,NA,"FEMALE","Malopolskie"
38,1000,"FEMALE","Podkarpackie"
44,NA,"FEMALE","Lubelskie"
60,NA,"FEMALE","Podkarpackie"
49,1500,"MALE","Lubelskie"
18,NA,"FEMALE","Podkarpackie"
49,NA,"MALE","Wielkopolskie"
52,2800,"MALE","Lubuskie"
57,2000,"MALE","Wielkopolskie"
19,NA,"FEMALE","Kujawsko-pomorskie"
45,1200,"FEMALE","Lubelskie"
24,2000,"FEMALE","Pomorskie"
61,570,"FEMALE","Lodzkie"
46,NA,"MALE","Mazowieckie"
70,NA,"FEMALE","Slaskie"
57,NA,"MALE","Podlaskie"
54,NA,"MALE","Opolskie"
46,2500,"FEMALE","Opolskie"
81,1520,"FEMALE","Mazowieckie"
68,2100,"FEMALE","Podkarpackie"
53,2200,"MALE","Pomorskie"
61,1500,"FEMALE","Swietokrzyskie"
22,NA,"FEMALE","Zachodnio-pomorskie"
36,NA,"FEMALE","Podkarpackie"
69,1050,"MALE","Podlaskie"
43,1000,"FEMALE","Kujawsko-pomorskie"
20,2000,"MALE","Lubuskie"
41,3300,"MALE","Zachodnio-pomorskie"
55,1700,"MALE","Lubelskie"
69,NA,"FEMALE","Zachodnio-pomorskie"
45,1400,"FEMALE","Slaskie"
81,1400,"FEMALE","Warminsko-mazurskie"
27,4500,"FEMALE","Dolnoslaskie"
32,3200,"MALE","Podlaskie"
71,725,"FEMALE","Mazowieckie"
37,1000,"FEMALE","Lubuskie"
65,826,"FEMALE","Podkarpackie"
35,1500,"MALE","Pomorskie"
34,1000,"FEMALE","Kujawsko-pomorskie"
52,1700,"FEMALE","Wielkopolskie"
38,NA,"FEMALE","Wielkopolskie"
42,1200,"FEMALE","Opolskie"
83,1100,"FEMALE","Mazowieckie"
45,NA,"FEMALE","Malopolskie"
33,NA,"FEMALE","Pomorskie"
47,2400,"MALE","Slaskie"
35,900,"MALE","Kujawsko-pomorskie"
31,1900,"FEMALE","Warminsko-mazurskie"
49,2000,"FEMALE","Slaskie"
42,511,"MALE","Swietokrzyskie"
40,NA,"FEMALE","Warminsko-mazurskie"
34,NA,"FEMALE","Kujawsko-pomorskie"
77,1170,"FEMALE","Malopolskie"
26,1500,"FEMALE","Lubelskie"
51,NA,"MALE","Lubuskie"
22,1200,"FEMALE","Mazowieckie"
48,NA,"MALE","Podkarpackie"
48,NA,"FEMALE","Wielkopolskie"
67,1920,"FEMALE","Malopolskie"
56,2300,"MALE","Lubelskie"
23,1000,"FEMALE","Lodzkie"
20,NA,"FEMALE","Lubuskie"
51,900,"MALE","Dolnoslaskie"
21,1200,"FEMALE","Mazowieckie"
75,1600,"MALE","Zachodnio-pomorskie"
46,1500,"FEMALE","Pomorskie"
57,3000,"MALE","Kujawsko-pomorskie"
76,NA,"FEMALE","Slaskie"
26,3500,"MALE","Malopolskie"
45,NA,"FEMALE","Podkarpackie"
27,NA,"FEMALE","Malopolskie"
56,NA,"MALE","Slaskie"
