type,data,embedding,dimensions,duration
ctgan,sd2011_clean_small,16,[128],116.16878485679626
ctgan,sd2011_clean_small,16,"[128, 128]",122.74168515205383
ctgan,sd2011_clean_small,16,"[128, 128, 128]",133.27903580665588
ctgan,sd2011_clean_small,16,[256],128.19015288352966
ctgan,sd2011_clean_small,16,"[256, 256]",145.88959002494812
ctgan,sd2011_clean_small,16,"[256, 256, 256]",164.9629249572754
ctgan,sd2011_clean_small,16,[512],163.95507669448853
ctgan,sd2011_clean_small,16,"[512, 512]",209.30784487724304
ctgan,sd2011_clean_small,16,"[512, 512, 512]",260.8281331062317
ctgan,sd2011_clean_small,64,[128],115.16912388801575
ctgan,sd2011_clean_small,64,"[128, 128]",126.82944393157959
ctgan,sd2011_clean_small,64,"[128, 128, 128]",140.98621892929077
ctgan,sd2011_clean_small,64,[256],131.70719003677368
ctgan,sd2011_clean_small,64,"[256, 256]",154.03373622894287
ctgan,sd2011_clean_small,64,"[256, 256, 256]",174.8062629699707
ctgan,sd2011_clean_small,64,[512],182.7579162120819
ctgan,sd2011_clean_small,64,"[512, 512]",235.22893905639648
ctgan,sd2011_clean_small,64,"[512, 512, 512]",281.64281392097473
ctgan,sd2011_clean_small,128,[128],126.42316174507141
ctgan,sd2011_clean_small,128,"[128, 128]",129.06409764289856
ctgan,sd2011_clean_small,128,"[128, 128, 128]",151.60024189949036
ctgan,sd2011_clean_small,128,[256],146.97233891487122
ctgan,sd2011_clean_small,128,"[256, 256]",164.06874799728394
ctgan,sd2011_clean_small,128,"[256, 256, 256]",188.3210849761963
ctgan,sd2011_clean_small,128,[512],183.04784202575684
ctgan,sd2011_clean_small,128,"[512, 512]",232.8149881362915
ctgan,sd2011_clean_small,128,"[512, 512, 512]",292.2265291213989
