"data","copies","embeddings","dimensions","pmse"
"sd2011_clean_small",1,"16","[128]",0.185349120049586
"sd2011_clean_small",1,"64","[128]",0.16276282100697
"sd2011_clean_small",1,"128","[128]",0.178417651456815
"sd2011_clean_small",1,"16","[128, 128]",0.179860551751597
"sd2011_clean_small",1,"64","[128, 128]",0.169432344931735
"sd2011_clean_small",1,"128","[128, 128]",0.167560434621215
"sd2011_clean_small",1,"16","[128, 128, 128]",0.152207502365747
"sd2011_clean_small",1,"64","[128, 128, 128]",0.176086685139444
"sd2011_clean_small",1,"128","[128, 128, 128]",0.171486462145208
"sd2011_clean_small",1,"16","[256]",0.162990339511457
"sd2011_clean_small",1,"64","[256]",0.14378457192537
"sd2011_clean_small",1,"128","[256]",0.178381720765411
"sd2011_clean_small",1,"16","[256, 256]",0.16426087779024
"sd2011_clean_small",1,"64","[256, 256]",0.145664150096461
"sd2011_clean_small",1,"128","[256, 256]",0.177544818845791
"sd2011_clean_small",1,"16","[256, 256, 256]",0.178607677019081
"sd2011_clean_small",1,"64","[256, 256, 256]",0.166113816126181
"sd2011_clean_small",1,"128","[256, 256, 256]",0.163711489923789
"sd2011_clean_small",1,"16","[512]",0.153098115727188
"sd2011_clean_small",1,"64","[512]",0.151123916250435
"sd2011_clean_small",1,"128","[512]",0.188892006169914
"sd2011_clean_small",1,"16","[512, 512]",0.179372298357976
"sd2011_clean_small",1,"64","[512, 512]",0.174656295143774
"sd2011_clean_small",1,"128","[512, 512]",0.179728271799057
"sd2011_clean_small",1,"16","[512, 512, 512]",0.169837676298157
"sd2011_clean_small",1,"64","[512, 512, 512]",0.183447530068461
"sd2011_clean_small",1,"128","[512, 512, 512]",0.182941075199071
