combine,Freq,pct,epsilon,copies,number,parents
1000,89,8.9,0.0,10,1,1
0011,83,8.3,0.0,10,1,1
1010,83,8.3,0.0,10,1,1
0010,78,7.8,0.0,10,1,1
1100,75,7.5,0.0,10,1,1
0000,73,7.3,0.0,10,1,1
0100,67,6.7,0.0,10,1,1
1101,63,6.3,0.0,10,1,1
1001,58,5.800000000000001,0.0,10,1,1
0111,54,5.4,0.0,10,1,1
0001,54,5.4,0.0,10,1,1
0101,54,5.4,0.0,10,1,1
0110,51,5.1,0.0,10,1,1
1110,48,4.8,0.0,10,1,1
1011,47,4.7,0.0,10,1,1
1111,23,2.3,0.0,10,1,1
1000,89,8.9,0.0,10,2,1
0011,83,8.3,0.0,10,2,1
1010,83,8.3,0.0,10,2,1
0010,78,7.8,0.0,10,2,1
1100,75,7.5,0.0,10,2,1
0000,73,7.3,0.0,10,2,1
0100,67,6.7,0.0,10,2,1
1101,63,6.3,0.0,10,2,1
1001,58,5.800000000000001,0.0,10,2,1
0111,54,5.4,0.0,10,2,1
0001,54,5.4,0.0,10,2,1
0101,54,5.4,0.0,10,2,1
0110,51,5.1,0.0,10,2,1
1110,48,4.8,0.0,10,2,1
1011,47,4.7,0.0,10,2,1
1111,23,2.3,0.0,10,2,1
1000,90,9.0,0.0,10,3,1
0010,88,8.799999999999999,0.0,10,3,1
1100,79,7.9,0.0,10,3,1
0011,79,7.9,0.0,10,3,1
1010,73,7.3,0.0,10,3,1
0000,71,7.1,0.0,10,3,1
0110,64,6.4,0.0,10,3,1
0101,60,6.0,0.0,10,3,1
0001,60,6.0,0.0,10,3,1
0100,59,5.8999999999999995,0.0,10,3,1
0111,57,5.7,0.0,10,3,1
1110,54,5.4,0.0,10,3,1
1101,52,5.2,0.0,10,3,1
1011,50,5.0,0.0,10,3,1
1001,40,4.0,0.0,10,3,1
1111,24,2.4,0.0,10,3,1
0010,98,9.8,0.0,10,4,1
0011,91,9.1,0.0,10,4,1
1000,77,7.7,0.0,10,4,1
1100,73,7.3,0.0,10,4,1
1010,70,7.000000000000001,0.0,10,4,1
0001,66,6.6000000000000005,0.0,10,4,1
0100,64,6.4,0.0,10,4,1
0101,64,6.4,0.0,10,4,1
0000,62,6.2,0.0,10,4,1
0111,59,5.8999999999999995,0.0,10,4,1
0110,55,5.5,0.0,10,4,1
1001,54,5.4,0.0,10,4,1
1011,49,4.9,0.0,10,4,1
1101,47,4.7,0.0,10,4,1
1110,39,3.9,0.0,10,4,1
1111,32,3.2,0.0,10,4,1
0010,98,9.8,0.0,10,5,1
0011,91,9.1,0.0,10,5,1
1000,77,7.7,0.0,10,5,1
1100,73,7.3,0.0,10,5,1
1010,70,7.000000000000001,0.0,10,5,1
0001,66,6.6000000000000005,0.0,10,5,1
0100,64,6.4,0.0,10,5,1
0101,64,6.4,0.0,10,5,1
0000,62,6.2,0.0,10,5,1
0111,59,5.8999999999999995,0.0,10,5,1
0110,55,5.5,0.0,10,5,1
1001,54,5.4,0.0,10,5,1
1011,49,4.9,0.0,10,5,1
1101,47,4.7,0.0,10,5,1
1110,39,3.9,0.0,10,5,1
1111,32,3.2,0.0,10,5,1
1000,89,8.9,0.0,10,6,1
0011,83,8.3,0.0,10,6,1
1010,83,8.3,0.0,10,6,1
0010,78,7.8,0.0,10,6,1
1100,75,7.5,0.0,10,6,1
0000,73,7.3,0.0,10,6,1
0100,67,6.7,0.0,10,6,1
1101,63,6.3,0.0,10,6,1
1001,58,5.800000000000001,0.0,10,6,1
0111,54,5.4,0.0,10,6,1
0001,54,5.4,0.0,10,6,1
0101,54,5.4,0.0,10,6,1
0110,51,5.1,0.0,10,6,1
1110,48,4.8,0.0,10,6,1
1011,47,4.7,0.0,10,6,1
1111,23,2.3,0.0,10,6,1
1000,89,8.9,0.0,10,7,1
0011,83,8.3,0.0,10,7,1
1010,83,8.3,0.0,10,7,1
0010,78,7.8,0.0,10,7,1
1100,75,7.5,0.0,10,7,1
0000,73,7.3,0.0,10,7,1
0100,67,6.7,0.0,10,7,1
1101,63,6.3,0.0,10,7,1
1001,58,5.800000000000001,0.0,10,7,1
0111,54,5.4,0.0,10,7,1
0001,54,5.4,0.0,10,7,1
0101,54,5.4,0.0,10,7,1
0110,51,5.1,0.0,10,7,1
1110,48,4.8,0.0,10,7,1
1011,47,4.7,0.0,10,7,1
1111,23,2.3,0.0,10,7,1
0010,98,9.8,0.0,10,8,1
0011,91,9.1,0.0,10,8,1
1000,77,7.7,0.0,10,8,1
1100,73,7.3,0.0,10,8,1
1010,70,7.000000000000001,0.0,10,8,1
0001,66,6.6000000000000005,0.0,10,8,1
0100,64,6.4,0.0,10,8,1
0101,64,6.4,0.0,10,8,1
0000,62,6.2,0.0,10,8,1
0111,59,5.8999999999999995,0.0,10,8,1
0110,55,5.5,0.0,10,8,1
1001,54,5.4,0.0,10,8,1
1011,49,4.9,0.0,10,8,1
1101,47,4.7,0.0,10,8,1
1110,39,3.9,0.0,10,8,1
1111,32,3.2,0.0,10,8,1
1000,100,10.0,0.0,10,9,1
0011,86,8.6,0.0,10,9,1
1100,77,7.7,0.0,10,9,1
0010,74,7.3999999999999995,0.0,10,9,1
0000,72,7.199999999999999,0.0,10,9,1
0101,71,7.1,0.0,10,9,1
1010,68,6.800000000000001,0.0,10,9,1
1001,64,6.4,0.0,10,9,1
0100,61,6.1,0.0,10,9,1
1101,58,5.800000000000001,0.0,10,9,1
0110,52,5.2,0.0,10,9,1
1011,50,5.0,0.0,10,9,1
0001,50,5.0,0.0,10,9,1
0111,45,4.5,0.0,10,9,1
1110,39,3.9,0.0,10,9,1
1111,33,3.3000000000000003,0.0,10,9,1
1000,100,10.0,0.0,10,10,1
0011,86,8.6,0.0,10,10,1
1100,77,7.7,0.0,10,10,1
0010,74,7.3999999999999995,0.0,10,10,1
0000,72,7.199999999999999,0.0,10,10,1
0101,71,7.1,0.0,10,10,1
1010,68,6.800000000000001,0.0,10,10,1
1001,64,6.4,0.0,10,10,1
0100,61,6.1,0.0,10,10,1
1101,58,5.800000000000001,0.0,10,10,1
0110,52,5.2,0.0,10,10,1
1011,50,5.0,0.0,10,10,1
0001,50,5.0,0.0,10,10,1
0111,45,4.5,0.0,10,10,1
1110,39,3.9,0.0,10,10,1
1111,33,3.3000000000000003,0.0,10,10,1
0010,149,14.899999999999999,0.1,10,1,1
0011,123,12.3,0.1,10,1,1
0110,103,10.299999999999999,0.1,10,1,1
1010,96,9.6,0.1,10,1,1
0111,66,6.6000000000000005,0.1,10,1,1
1011,63,6.3,0.1,10,1,1
0100,61,6.1,0.1,10,1,1
1110,58,5.800000000000001,0.1,10,1,1
0101,51,5.1,0.1,10,1,1
0000,46,4.6,0.1,10,1,1
1111,42,4.2,0.1,10,1,1
0001,34,3.4000000000000004,0.1,10,1,1
1000,31,3.1,0.1,10,1,1
1100,28,2.8000000000000003,0.1,10,1,1
1101,25,2.5,0.1,10,1,1
1001,24,2.4,0.1,10,1,1
1010,103,10.299999999999999,0.1,10,2,1
0101,90,9.0,0.1,10,2,1
0001,84,8.4,0.1,10,2,1
0010,79,7.9,0.1,10,2,1
1110,76,7.6,0.1,10,2,1
1001,69,6.9,0.1,10,2,1
1000,65,6.5,0.1,10,2,1
1101,63,6.3,0.1,10,2,1
0110,63,6.3,0.1,10,2,1
0111,54,5.4,0.1,10,2,1
0100,54,5.4,0.1,10,2,1
0011,54,5.4,0.1,10,2,1
1100,52,5.2,0.1,10,2,1
0000,47,4.7,0.1,10,2,1
1011,30,3.0,0.1,10,2,1
1111,17,1.7000000000000002,0.1,10,2,1
0010,184,18.4,0.1,10,3,1
0110,131,13.100000000000001,0.1,10,3,1
1100,100,10.0,0.1,10,3,1
1000,92,9.2,0.1,10,3,1
1101,75,7.5,0.1,10,3,1
0000,65,6.5,0.1,10,3,1
1110,62,6.2,0.1,10,3,1
1001,54,5.4,0.1,10,3,1
0100,52,5.2,0.1,10,3,1
0001,47,4.7,0.1,10,3,1
1010,42,4.2,0.1,10,3,1
0101,38,3.8,0.1,10,3,1
0011,31,3.1,0.1,10,3,1
0111,12,1.2,0.1,10,3,1
1011,10,1.0,0.1,10,3,1
1111,5,0.5,0.1,10,3,1
1101,190,19.0,0.1,10,4,1
1000,126,12.6,0.1,10,4,1
1100,118,11.799999999999999,0.1,10,4,1
0111,95,9.5,0.1,10,4,1
1001,93,9.3,0.1,10,4,1
0010,82,8.200000000000001,0.1,10,4,1
0110,75,7.5,0.1,10,4,1
0011,64,6.4,0.1,10,4,1
0101,32,3.2,0.1,10,4,1
1111,23,2.3,0.1,10,4,1
0001,21,2.1,0.1,10,4,1
1010,18,1.7999999999999998,0.1,10,4,1
0000,18,1.7999999999999998,0.1,10,4,1
1110,17,1.7000000000000002,0.1,10,4,1
0100,15,1.5,0.1,10,4,1
1011,13,1.3,0.1,10,4,1
0100,135,13.5,0.1,10,5,1
0110,95,9.5,0.1,10,5,1
0101,80,8.0,0.1,10,5,1
0111,73,7.3,0.1,10,5,1
1100,70,7.000000000000001,0.1,10,5,1
0000,68,6.800000000000001,0.1,10,5,1
1000,66,6.6000000000000005,0.1,10,5,1
1001,55,5.5,0.1,10,5,1
1010,55,5.5,0.1,10,5,1
0010,53,5.3,0.1,10,5,1
0001,50,5.0,0.1,10,5,1
1110,49,4.9,0.1,10,5,1
1101,43,4.3,0.1,10,5,1
0011,42,4.2,0.1,10,5,1
1111,33,3.3000000000000003,0.1,10,5,1
1011,33,3.3000000000000003,0.1,10,5,1
0100,120,12.0,0.1,10,6,1
1100,85,8.5,0.1,10,6,1
1010,83,8.3,0.1,10,6,1
1011,82,8.200000000000001,0.1,10,6,1
1001,81,8.1,0.1,10,6,1
1000,76,7.6,0.1,10,6,1
0011,72,7.199999999999999,0.1,10,6,1
0001,61,6.1,0.1,10,6,1
0101,57,5.7,0.1,10,6,1
0010,54,5.4,0.1,10,6,1
0000,50,5.0,0.1,10,6,1
1101,45,4.5,0.1,10,6,1
0110,41,4.1000000000000005,0.1,10,6,1
1110,37,3.6999999999999997,0.1,10,6,1
0111,31,3.1,0.1,10,6,1
1111,25,2.5,0.1,10,6,1
1011,104,10.4,0.1,10,7,1
1111,85,8.5,0.1,10,7,1
0101,83,8.3,0.1,10,7,1
1010,80,8.0,0.1,10,7,1
1110,73,7.3,0.1,10,7,1
0001,72,7.199999999999999,0.1,10,7,1
1101,67,6.7,0.1,10,7,1
0111,63,6.3,0.1,10,7,1
1001,62,6.2,0.1,10,7,1
1000,62,6.2,0.1,10,7,1
0011,61,6.1,0.1,10,7,1
1100,49,4.9,0.1,10,7,1
0010,39,3.9,0.1,10,7,1
0100,35,3.5000000000000004,0.1,10,7,1
0110,34,3.4000000000000004,0.1,10,7,1
0000,31,3.1,0.1,10,7,1
0000,94,9.4,0.1,10,8,1
1001,80,8.0,0.1,10,8,1
0110,78,7.8,0.1,10,8,1
1010,76,7.6,0.1,10,8,1
1000,67,6.7,0.1,10,8,1
0010,66,6.6000000000000005,0.1,10,8,1
0100,65,6.5,0.1,10,8,1
0111,64,6.4,0.1,10,8,1
0011,58,5.800000000000001,0.1,10,8,1
1111,58,5.800000000000001,0.1,10,8,1
