Variable,ROC Value,epsilon,copies,number,parents
var1,0.9549221785410489,0.0,10,1,1
var2,0.931792506119375,0.0,10,1,1
var3,0.9979930066004219,0.0,10,1,1
var4,0.9661652811046921,0.0,10,1,1
var1,0.9549221785410489,0.0,10,2,1
var2,0.931792506119375,0.0,10,2,1
var3,0.9979930066004219,0.0,10,2,1
var4,0.9661652811046921,0.0,10,2,1
var1,0.9979907183633487,0.0,10,3,1
var2,0.9586033131250724,0.0,10,3,1
var3,0.9549470370625676,0.0,10,3,1
var4,0.9389670554626215,0.0,10,3,1
var1,0.9565639042257656,0.0,10,4,1
var2,0.9280104319111413,0.0,10,4,1
var3,0.9473357339836361,0.0,10,4,1
var4,0.9820330492176927,0.0,10,4,1
var1,0.9565639042257656,0.0,10,5,1
var2,0.9280104319111413,0.0,10,5,1
var3,0.9473357339836361,0.0,10,5,1
var4,0.9820330492176927,0.0,10,5,1
var1,0.9549221785410489,0.0,10,6,1
var2,0.931792506119375,0.0,10,6,1
var3,0.9979930066004219,0.0,10,6,1
var4,0.9661652811046921,0.0,10,6,1
var1,0.9549221785410489,0.0,10,7,1
var2,0.931792506119375,0.0,10,7,1
var3,0.9979930066004219,0.0,10,7,1
var4,0.9661652811046921,0.0,10,7,1
var1,0.9565639042257656,0.0,10,8,1
var2,0.9280104319111413,0.0,10,8,1
var3,0.9473357339836361,0.0,10,8,1
var4,0.9820330492176927,0.0,10,8,1
var1,0.9492065668163279,0.0,10,9,1
var2,0.9336879432624114,0.0,10,9,1
var3,0.962434710397442,0.0,10,9,1
var4,0.9919673252553214,0.0,10,9,1
var1,0.9492065668163279,0.0,10,10,1
var2,0.9336879432624114,0.0,10,10,1
var3,0.962434710397442,0.0,10,10,1
var4,0.9919673252553214,0.0,10,10,1
var1,0.8204989098502451,0.1,10,1,1
var2,0.9299000075182318,0.1,10,1,1
var3,0.6137560192616373,0.1,10,1,1
var4,0.9505530341623057,0.1,10,1,1
var1,0.9761952366950897,0.1,10,2,1
var2,0.9979945506270786,0.1,10,2,1
var3,0.9801325024391779,0.1,10,2,1
var4,0.9840105961525496,0.1,10,2,1
var1,0.9546262727553223,0.1,10,3,1
var2,0.9900198609731876,0.1,10,3,1
var3,0.978169976208984,0.1,10,3,1
var4,0.6759075637386897,0.1,10,3,1
var1,0.7614254217970516,0.1,10,4,1
var2,0.8263065620303891,0.1,10,4,1
var3,0.8507988573749029,0.1,10,4,1
var4,0.8552556832853055,0.1,10,4,1
var1,0.8867884528969227,0.1,10,5,1
var2,0.8046876020108376,0.1,10,5,1
var3,0.9354917455775825,0.1,10,5,1
var4,0.914209836286012,0.1,10,5,1
var1,0.9029030715388127,0.1,10,6,1
var2,0.943209759068245,0.1,10,6,1
var3,0.9203564097779436,0.1,10,6,1
var4,0.9979846016316472,0.1,10,6,1
var1,0.7869655781450978,0.1,10,7,1
var2,0.9626480688351275,0.1,10,7,1
var3,0.8639299437854815,0.1,10,7,1
var4,0.7477699282518626,0.1,10,7,1
var1,0.9840586414261823,0.1,10,8,1
var2,0.956668208448967,0.1,10,8,1
var3,0.9230211247797959,0.1,10,8,1
var4,0.9879795915928833,0.1,10,8,1
var1,0.8416012862390736,0.1,10,9,1
var2,0.9299000075182318,0.1,10,9,1
var3,0.8851172670915162,0.1,10,9,1
var4,0.9979846016316472,0.1,10,9,1
var1,0.9568354163067059,0.1,10,10,1
var2,0.9528074352868884,0.1,10,10,1
var3,0.9722048181447949,0.1,10,10,1
var4,0.9010664688032958,0.1,10,10,1
var1,0.9939878197904428,0.25,10,1,1
var2,0.9193617334905659,0.25,10,1,1
var3,0.9604902310159433,0.25,10,1,1
var4,0.9681303643756445,0.25,10,1,1
var1,0.9248425293240445,0.25,10,2,1
var2,0.9530669925903292,0.25,10,2,1
var3,0.962434710397442,0.25,10,2,1
var4,0.9284240570085438,0.25,10,2,1
var1,0.9761120749684287,0.25,10,3,1
var2,0.9186058622228835,0.25,10,3,1
var3,0.8587282502038504,0.25,10,3,1
var4,0.927483065711089,0.25,10,3,1
var1,0.9259198046764955,0.25,10,4,1
var2,0.9355863346056461,0.25,10,4,1
var3,0.9279011297099434,0.25,10,4,1
var4,0.995971000856464,0.25,10,4,1
var1,0.9959848852166038,0.25,10,5,1
var2,0.8926439619490234,0.25,10,5,1
var3,0.897515125324114,0.25,10,5,1
var4,0.995971000856464,0.25,10,5,1
var1,0.929709497585743,0.25,10,6,1
var2,0.9018548357563996,0.25,10,6,1
var3,0.913833857384727,0.25,10,6,1
var4,0.862371481453744,0.25,10,6,1
var1,0.9820862134267588,0.25,10,7,1
var2,0.9703851390780004,0.25,10,7,1
var3,0.8313180917794651,0.25,10,7,1
var4,0.9358848488952084,0.25,10,7,1
var1,0.9435265930871599,0.25,10,8,1
var2,0.943209759068245,0.25,10,8,1
var3,0.8998374079010971,0.25,10,8,1
var4,0.9064054567834694,0.25,10,8,1
var1,0.934137412931968,0.25,10,9,1
var2,0.9299000075182318,0.25,10,9,1
var3,0.9354917455775825,0.25,10,9,1
var4,0.9602882605090111,0.25,10,9,1
var1,0.921150350270462,0.25,10,10,1
var2,0.9212033378872355,0.25,10,10,1
var3,0.926721062957018,0.25,10,10,1
var4,0.9642032467913029,0.25,10,10,1
var1,0.939233945791379,0.5,10,1,1
var2,0.9684447550275642,0.5,10,1,1
var3,0.822551976364145,0.5,10,1,1
var4,0.9548165701381102,0.5,10,1,1
var1,0.9221414106628836,0.5,10,2,1
var2,0.9568875594416322,0.5,10,2,1
var3,0.9860197694620516,0.5,10,2,1
var4,0.8813666510777602,0.5,10,2,1
var1,0.9682548361773011,0.5,10,3,1
var2,0.931792506119375,0.5,10,3,1
var3,0.9801325024391779,0.5,10,3,1
var4,0.9118602836385752,0.5,10,3,1
var1,0.9801181885110689,0.5,10,4,1
var2,0.937487695918831,0.5,10,4,1
var3,0.9335897358399323,0.5,10,4,1
var4,0.9683172021844292,0.5,10,4,1
var1,0.9587527124982687,0.5,10,5,1
