"combine","value","type","n","dp","unique"
"0000",71,"original",1,0.1,"0000"
"0001",61,"original",1,0.1,"0000"
"0010",67,"original",1,0.1,"0000"
"0011",53,"original",1,0.1,"0000"
"0100",77,"original",1,0.1,"0000"
"0101",74,"original",1,0.1,"0000"
"0110",67,"original",1,0.1,"0000"
"0111",80,"original",1,0.1,"0000"
"1000",54,"original",1,0.1,"0000"
"1001",65,"original",1,0.1,"0000"
"1010",93,"original",1,0.1,"0000"
"1011",60,"original",1,0.1,"0000"
"1100",64,"original",1,0.1,"0000"
"1101",56,"original",1,0.1,"0000"
"1110",58,"original",1,0.1,"0000"
"1111",0,"original",1,0.1,"0000"
"0000",74,"synthetic",1,0.1,"0000"
"0001",66,"synthetic",1,0.1,"0000"
"0010",62,"synthetic",1,0.1,"0000"
"0011",61,"synthetic",1,0.1,"0000"
"0100",84,"synthetic",1,0.1,"0000"
"0101",80,"synthetic",1,0.1,"0000"
"0110",49,"synthetic",1,0.1,"0000"
"0111",95,"synthetic",1,0.1,"0000"
"1000",59,"synthetic",1,0.1,"0000"
"1001",80,"synthetic",1,0.1,"0000"
"1010",88,"synthetic",1,0.1,"0000"
"1011",67,"synthetic",1,0.1,"0000"
"1100",40,"synthetic",1,0.1,"0000"
"1101",52,"synthetic",1,0.1,"0000"
"1110",65,"synthetic",1,0.1,"0000"
"1111",-1,"synthetic",1,0.1,"0000"
"0000",70,"original",1,0.1,"1000"
"0001",61,"original",1,0.1,"1000"
"0010",67,"original",1,0.1,"1000"
"0011",53,"original",1,0.1,"1000"
"0100",77,"original",1,0.1,"1000"
"0101",74,"original",1,0.1,"1000"
"0110",67,"original",1,0.1,"1000"
"0111",80,"original",1,0.1,"1000"
"1000",55,"original",1,0.1,"1000"
"1001",65,"original",1,0.1,"1000"
"1010",93,"original",1,0.1,"1000"
"1011",60,"original",1,0.1,"1000"
"1100",64,"original",1,0.1,"1000"
"1101",56,"original",1,0.1,"1000"
"1110",58,"original",1,0.1,"1000"
"1111",0,"original",1,0.1,"1000"
"0000",75,"synthetic",1,0.1,"1000"
"0001",59,"synthetic",1,0.1,"1000"
"0010",52,"synthetic",1,0.1,"1000"
"0011",57,"synthetic",1,0.1,"1000"
"0100",86,"synthetic",1,0.1,"1000"
"0101",39,"synthetic",1,0.1,"1000"
"0110",49,"synthetic",1,0.1,"1000"
"0111",84,"synthetic",1,0.1,"1000"
"1000",51,"synthetic",1,0.1,"1000"
"1001",51,"synthetic",1,0.1,"1000"
"1010",95,"synthetic",1,0.1,"1000"
"1011",46,"synthetic",1,0.1,"1000"
"1100",66,"synthetic",1,0.1,"1000"
"1101",56,"synthetic",1,0.1,"1000"
"1110",52,"synthetic",1,0.1,"1000"
"1111",1,"synthetic",1,0.1,"1000"
"0000",70,"original",1,0.1,"0100"
"0001",61,"original",1,0.1,"0100"
"0010",67,"original",1,0.1,"0100"
"0011",53,"original",1,0.1,"0100"
"0100",78,"original",1,0.1,"0100"
"0101",74,"original",1,0.1,"0100"
"0110",67,"original",1,0.1,"0100"
"0111",80,"original",1,0.1,"0100"
"1000",54,"original",1,0.1,"0100"
"1001",65,"original",1,0.1,"0100"
"1010",93,"original",1,0.1,"0100"
"1011",60,"original",1,0.1,"0100"
"1100",64,"original",1,0.1,"0100"
"1101",56,"original",1,0.1,"0100"
"1110",58,"original",1,0.1,"0100"
"1111",0,"original",1,0.1,"0100"
"0000",91,"synthetic",1,0.1,"0100"
"0001",102,"synthetic",1,0.1,"0100"
"0010",57,"synthetic",1,0.1,"0100"
"0011",58,"synthetic",1,0.1,"0100"
"0100",82,"synthetic",1,0.1,"0100"
"0101",54,"synthetic",1,0.1,"0100"
"0110",66,"synthetic",1,0.1,"0100"
"0111",66,"synthetic",1,0.1,"0100"
"1000",48,"synthetic",1,0.1,"0100"
"1001",73,"synthetic",1,0.1,"0100"
"1010",95,"synthetic",1,0.1,"0100"
"1011",58,"synthetic",1,0.1,"0100"
"1100",65,"synthetic",1,0.1,"0100"
"1101",61,"synthetic",1,0.1,"0100"
"1110",48,"synthetic",1,0.1,"0100"
"1111",6,"synthetic",1,0.1,"0100"
"0000",70,"original",1,0.1,"1100"
"0001",61,"original",1,0.1,"1100"
"0010",67,"original",1,0.1,"1100"
"0011",53,"original",1,0.1,"1100"
"0100",77,"original",1,0.1,"1100"
"0101",74,"original",1,0.1,"1100"
"0110",67,"original",1,0.1,"1100"
"0111",80,"original",1,0.1,"1100"
"1000",54,"original",1,0.1,"1100"
"1001",65,"original",1,0.1,"1100"
"1010",93,"original",1,0.1,"1100"
"1011",60,"original",1,0.1,"1100"
"1100",65,"original",1,0.1,"1100"
"1101",56,"original",1,0.1,"1100"
"1110",58,"original",1,0.1,"1100"
"1111",0,"original",1,0.1,"1100"
"0000",67,"synthetic",1,0.1,"1100"
"0001",28,"synthetic",1,0.1,"1100"
"0010",62,"synthetic",1,0.1,"1100"
"0011",49,"synthetic",1,0.1,"1100"
"0100",73,"synthetic",1,0.1,"1100"
"0101",78,"synthetic",1,0.1,"1100"
"0110",81,"synthetic",1,0.1,"1100"
"0111",80,"synthetic",1,0.1,"1100"
"1000",56,"synthetic",1,0.1,"1100"
"1001",55,"synthetic",1,0.1,"1100"
"1010",100,"synthetic",1,0.1,"1100"
"1011",64,"synthetic",1,0.1,"1100"
"1100",91,"synthetic",1,0.1,"1100"
"1101",58,"synthetic",1,0.1,"1100"
"1110",56,"synthetic",1,0.1,"1100"
"1111",-32,"synthetic",1,0.1,"1100"
"0000",70,"original",1,0.1,"0010"
"0001",61,"original",1,0.1,"0010"
"0010",68,"original",1,0.1,"0010"
"0011",53,"original",1,0.1,"0010"
"0100",77,"original",1,0.1,"0010"
"0101",74,"original",1,0.1,"0010"
"0110",67,"original",1,0.1,"0010"
"0111",80,"original",1,0.1,"0010"
"1000",54,"original",1,0.1,"0010"
"1001",65,"original",1,0.1,"0010"
"1010",93,"original",1,0.1,"0010"
"1011",60,"original",1,0.1,"0010"
"1100",64,"original",1,0.1,"0010"
"1101",56,"original",1,0.1,"0010"
"1110",58,"original",1,0.1,"0010"
"1111",0,"original",1,0.1,"0010"
"0000",80,"synthetic",1,0.1,"0010"
"0001",55,"synthetic",1,0.1,"0010"
"0010",53,"synthetic",1,0.1,"0010"
"0011",54,"synthetic",1,0.1,"0010"
"0100",81,"synthetic",1,0.1,"0010"
"0101",66,"synthetic",1,0.1,"0010"
"0110",78,"synthetic",1,0.1,"0010"
"0111",81,"synthetic",1,0.1,"0010"
"1000",76,"synthetic",1,0.1,"0010"
"1001",65,"synthetic",1,0.1,"0010"
"1010",144,"synthetic",1,0.1,"0010"
"1011",72,"synthetic",1,0.1,"0010"
"1100",64,"synthetic",1,0.1,"0010"
"1101",71,"synthetic",1,0.1,"0010"
"1110",62,"synthetic",1,0.1,"0010"
"1111",23,"synthetic",1,0.1,"0010"
"0000",70,"original",1,0.1,"1010"
"0001",61,"original",1,0.1,"1010"
"0010",67,"original",1,0.1,"1010"
"0011",53,"original",1,0.1,"1010"
"0100",77,"original",1,0.1,"1010"
"0101",74,"original",1,0.1,"1010"
"0110",67,"original",1,0.1,"1010"
"0111",80,"original",1,0.1,"1010"
"1000",54,"original",1,0.1,"1010"
"1001",65,"original",1,0.1,"1010"
"1010",94,"original",1,0.1,"1010"
"1011",60,"original",1,0.1,"1010"
"1100",64,"original",1,0.1,"1010"
"1101",56,"original",1,0.1,"1010"
"1110",58,"original",1,0.1,"1010"
"1111",0,"original",1,0.1,"1010"
"0000",76,"synthetic",1,0.1,"1010"
"0001",57,"synthetic",1,0.1,"1010"
"0010",65,"synthetic",1,0.1,"1010"
"0011",54,"synthetic",1,0.1,"1010"
"0100",50,"synthetic",1,0.1,"1010"
"0101",102,"synthetic",1,0.1,"1010"
"0110",80,"synthetic",1,0.1,"1010"
"0111",83,"synthetic",1,0.1,"1010"
"1000",64,"synthetic",1,0.1,"1010"
"1001",63,"synthetic",1,0.1,"1010"
"1010",95,"synthetic",1,0.1,"1010"
