"age","edu"
58,"SECONDARY"
34,"VOCATIONAL/GRAMMAR"
66,"VOCATIONAL/GRAMMAR"
59,"PRIMARY/NO EDUCATION"
33,"POST-SECONDARY OR HIGHER"
88,"PRIMARY/NO EDUCATION"
22,"SECONDARY"
67,"VOCATIONAL/GRAMMAR"
59,"VOCATIONAL/GRAMMAR"
69,"SECONDARY"
34,"SECONDARY"
70,"PRIMARY/NO EDUCATION"
42,"PRIMARY/NO EDUCATION"
64,"VOCATIONAL/GRAMMAR"
81,"SECONDARY"
69,"SECONDARY"
35,"VOCATIONAL/GRAMMAR"
63,"VOCATIONAL/GRAMMAR"
59,"SECONDARY"
85,"PRIMARY/NO EDUCATION"
30,"POST-SECONDARY OR HIGHER"
48,"VOCATIONAL/GRAMMAR"
20,"VOCATIONAL/GRAMMAR"
25,"SECONDARY"
74,"POST-SECONDARY OR HIGHER"
65,"POST-SECONDARY OR HIGHER"
50,"VOCATIONAL/GRAMMAR"
76,"SECONDARY"
38,"VOCATIONAL/GRAMMAR"
54,"SECONDARY"
81,"PRIMARY/NO EDUCATION"
74,"VOCATIONAL/GRAMMAR"
41,"SECONDARY"
36,"POST-SECONDARY OR HIGHER"
19,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
60,"PRIMARY/NO EDUCATION"
61,"SECONDARY"
44,"VOCATIONAL/GRAMMAR"
63,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
22,"VOCATIONAL/GRAMMAR"
49,"VOCATIONAL/GRAMMAR"
20,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
80,"PRIMARY/NO EDUCATION"
56,"SECONDARY"
31,"VOCATIONAL/GRAMMAR"
77,"PRIMARY/NO EDUCATION"
68,"PRIMARY/NO EDUCATION"
40,"VOCATIONAL/GRAMMAR"
70,"PRIMARY/NO EDUCATION"
57,"SECONDARY"
46,"POST-SECONDARY OR HIGHER"
31,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
37,"VOCATIONAL/GRAMMAR"
28,"POST-SECONDARY OR HIGHER"
22,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
22,"VOCATIONAL/GRAMMAR"
26,"POST-SECONDARY OR HIGHER"
19,"VOCATIONAL/GRAMMAR"
