"combine","Freq","type","n","last_record"
"0000",63,"synthetic",1,"0000"
"0001",58,"synthetic",1,"0000"
"0010",88,"synthetic",1,"0000"
"0011",62,"synthetic",1,"0000"
"0100",62,"synthetic",1,"0000"
"0101",63,"synthetic",1,"0000"
"0110",72,"synthetic",1,"0000"
"0111",78,"synthetic",1,"0000"
"1000",65,"synthetic",1,"0000"
"1001",57,"synthetic",1,"0000"
"1010",57,"synthetic",1,"0000"
"1011",64,"synthetic",1,"0000"
"1100",102,"synthetic",1,"0000"
"1101",44,"synthetic",1,"0000"
"1110",40,"synthetic",1,"0000"
"1111",25,"synthetic",1,"0000"
"0000",70,"original",1,"0000"
"0001",60,"original",1,"0000"
"0010",79,"original",1,"0000"
"0011",62,"original",1,"0000"
"0100",68,"original",1,"0000"
"0101",64,"original",1,"0000"
"0110",60,"original",1,"0000"
"0111",75,"original",1,"0000"
"1000",74,"original",1,"0000"
"1001",63,"original",1,"0000"
"1010",54,"original",1,"0000"
"1011",69,"original",1,"0000"
"1100",77,"original",1,"0000"
"1101",59,"original",1,"0000"
"1110",66,"original",1,"0000"
"0000",66,"synthetic",1,"1000"
"0001",66,"synthetic",1,"1000"
"0010",91,"synthetic",1,"1000"
"0011",51,"synthetic",1,"1000"
"0100",71,"synthetic",1,"1000"
"0101",79,"synthetic",1,"1000"
"0110",50,"synthetic",1,"1000"
"0111",73,"synthetic",1,"1000"
"1000",60,"synthetic",1,"1000"
"1001",53,"synthetic",1,"1000"
"1010",57,"synthetic",1,"1000"
"1011",71,"synthetic",1,"1000"
"1100",106,"synthetic",1,"1000"
"1101",47,"synthetic",1,"1000"
"1110",46,"synthetic",1,"1000"
"1111",13,"synthetic",1,"1000"
"0000",69,"original",1,"1000"
"0001",60,"original",1,"1000"
"0010",79,"original",1,"1000"
"0011",62,"original",1,"1000"
"0100",68,"original",1,"1000"
"0101",64,"original",1,"1000"
"0110",60,"original",1,"1000"
"0111",75,"original",1,"1000"
"1000",75,"original",1,"1000"
"1001",63,"original",1,"1000"
"1010",54,"original",1,"1000"
"1011",69,"original",1,"1000"
"1100",77,"original",1,"1000"
"1101",59,"original",1,"1000"
"1110",66,"original",1,"1000"
"0000",67,"synthetic",1,"0100"
"0001",60,"synthetic",1,"0100"
"0010",68,"synthetic",1,"0100"
"0011",79,"synthetic",1,"0100"
"0100",70,"synthetic",1,"0100"
"0101",64,"synthetic",1,"0100"
"0110",56,"synthetic",1,"0100"
"0111",74,"synthetic",1,"0100"
"1000",74,"synthetic",1,"0100"
"1001",62,"synthetic",1,"0100"
"1010",56,"synthetic",1,"0100"
"1011",64,"synthetic",1,"0100"
"1100",96,"synthetic",1,"0100"
"1101",43,"synthetic",1,"0100"
"1110",45,"synthetic",1,"0100"
"1111",22,"synthetic",1,"0100"
"0000",69,"original",1,"0100"
"0001",60,"original",1,"0100"
"0010",79,"original",1,"0100"
"0011",62,"original",1,"0100"
"0100",69,"original",1,"0100"
"0101",64,"original",1,"0100"
"0110",60,"original",1,"0100"
"0111",75,"original",1,"0100"
"1000",74,"original",1,"0100"
"1001",63,"original",1,"0100"
"1010",54,"original",1,"0100"
"1011",69,"original",1,"0100"
"1100",77,"original",1,"0100"
"1101",59,"original",1,"0100"
"1110",66,"original",1,"0100"
"0000",74,"synthetic",1,"1100"
"0001",45,"synthetic",1,"1100"
"0010",81,"synthetic",1,"1100"
"0011",41,"synthetic",1,"1100"
"0100",63,"synthetic",1,"1100"
"0101",77,"synthetic",1,"1100"
"0110",68,"synthetic",1,"1100"
"0111",91,"synthetic",1,"1100"
"1000",77,"synthetic",1,"1100"
"1001",73,"synthetic",1,"1100"
"1010",46,"synthetic",1,"1100"
"1011",67,"synthetic",1,"1100"
"1100",98,"synthetic",1,"1100"
"1101",32,"synthetic",1,"1100"
"1110",41,"synthetic",1,"1100"
"1111",26,"synthetic",1,"1100"
"0000",69,"original",1,"1100"
"0001",60,"original",1,"1100"
"0010",79,"original",1,"1100"
"0011",62,"original",1,"1100"
"0100",68,"original",1,"1100"
"0101",64,"original",1,"1100"
"0110",60,"original",1,"1100"
"0111",75,"original",1,"1100"
"1000",74,"original",1,"1100"
"1001",63,"original",1,"1100"
"1010",54,"original",1,"1100"
"1011",69,"original",1,"1100"
"1100",78,"original",1,"1100"
"1101",59,"original",1,"1100"
"1110",66,"original",1,"1100"
"0000",70,"synthetic",1,"0010"
"0001",58,"synthetic",1,"0010"
"0010",74,"synthetic",1,"0010"
"0011",56,"synthetic",1,"0010"
"0100",69,"synthetic",1,"0010"
"0101",61,"synthetic",1,"0010"
"0110",74,"synthetic",1,"0010"
"0111",78,"synthetic",1,"0010"
"1000",79,"synthetic",1,"0010"
"1001",58,"synthetic",1,"0010"
"1010",56,"synthetic",1,"0010"
"1011",78,"synthetic",1,"0010"
"1100",103,"synthetic",1,"0010"
"1101",27,"synthetic",1,"0010"
"1110",43,"synthetic",1,"0010"
"1111",16,"synthetic",1,"0010"
"0000",69,"original",1,"0010"
"0001",60,"original",1,"0010"
"0010",80,"original",1,"0010"
"0011",62,"original",1,"0010"
"0100",68,"original",1,"0010"
"0101",64,"original",1,"0010"
"0110",60,"original",1,"0010"
"0111",75,"original",1,"0010"
"1000",74,"original",1,"0010"
"1001",63,"original",1,"0010"
"1010",54,"original",1,"0010"
"1011",69,"original",1,"0010"
"1100",77,"original",1,"0010"
"1101",59,"original",1,"0010"
"1110",66,"original",1,"0010"
"0000",79,"synthetic",1,"1010"
"0001",50,"synthetic",1,"1010"
"0010",71,"synthetic",1,"1010"
"0011",68,"synthetic",1,"1010"
"0100",54,"synthetic",1,"1010"
"0101",66,"synthetic",1,"1010"
"0110",63,"synthetic",1,"1010"
"0111",79,"synthetic",1,"1010"
"1000",75,"synthetic",1,"1010"
"1001",67,"synthetic",1,"1010"
"1010",44,"synthetic",1,"1010"
"1011",78,"synthetic",1,"1010"
"1100",108,"synthetic",1,"1010"
"1101",33,"synthetic",1,"1010"
"1110",50,"synthetic",1,"1010"
"1111",15,"synthetic",1,"1010"
"0000",69,"original",1,"1010"
"0001",60,"original",1,"1010"
"0010",79,"original",1,"1010"
"0011",62,"original",1,"1010"
"0100",68,"original",1,"1010"
"0101",64,"original",1,"1010"
"0110",60,"original",1,"1010"
"0111",75,"original",1,"1010"
"1000",74,"original",1,"1010"
"1001",63,"original",1,"1010"
"1010",55,"original",1,"1010"
"1011",69,"original",1,"1010"
"1100",77,"original",1,"1010"
"1101",59,"original",1,"1010"
"1110",66,"original",1,"1010"
"0000",76,"synthetic",1,"0110"
"0001",57,"synthetic",1,"0110"
"0010",71,"synthetic",1,"0110"
"0011",64,"synthetic",1,"0110"
"0100",62,"synthetic",1,"0110"
"0101",52,"synthetic",1,"0110"
"0110",67,"synthetic",1,"0110"
"0111",82,"synthetic",1,"0110"
"1000",87,"synthetic",1,"0110"
"1001",58,"synthetic",1,"0110"
"1010",46,"synthetic",1,"0110"
"1011",66,"synthetic",1,"0110"
"1100",106,"synthetic",1,"0110"
"1101",38,"synthetic",1,"0110"
"1110",41,"synthetic",1,"0110"
"1111",27,"synthetic",1,"0110"
"0000",69,"original",1,"0110"
"0001",60,"original",1,"0110"
"0010",79,"original",1,"0110"
"0011",62,"original",1,"0110"
"0100",68,"original",1,"0110"
"0101",64,"original",1,"0110"
"0110",61,"original",1,"0110"
"0111",75,"original",1,"0110"
"1000",74,"original",1,"0110"
"1001",63,"original",1,"0110"
"1010",54,"original",1,"0110"
"1011",69,"original",1,"0110"
"1100",77,"original",1,"0110"
"1101",59,"original",1,"0110"
"1110",66,"original",1,"0110"
"0000",59,"synthetic",1,"1110"
"0001",63,"synthetic",1,"1110"
"0010",84,"synthetic",1,"1110"
"0011",55,"synthetic",1,"1110"
"0100",79,"synthetic",1,"1110"
"0101",90,"synthetic",1,"1110"
"0110",55,"synthetic",1,"1110"
"0111",78,"synthetic",1,"1110"
"1000",81,"synthetic",1,"1110"
"1001",56,"synthetic",1,"1110"
"1010",53,"synthetic",1,"1110"
"1011",66,"synthetic",1,"1110"
"1100",93,"synthetic",1,"1110"
"1101",40,"synthetic",1,"1110"
"1110",38,"synthetic",1,"1110"
"1111",10,"synthetic",1,"1110"
"0000",69,"original",1,"1110"
"0001",60,"original",1,"1110"
"0010",79,"original",1,"1110"
"0011",62,"original",1,"1110"
"0100",68,"original",1,"1110"
"0101",64,"original",1,"1110"
"0110",60,"original",1,"1110"
"0111",75,"original",1,"1110"
"1000",74,"original",1,"1110"
"1001",63,"original",1,"1110"
"1010",54,"original",1,"1110"
"1011",69,"original",1,"1110"
"1100",77,"original",1,"1110"
"1101",59,"original",1,"1110"
"1110",67,"original",1,"1110"
"0000",74,"synthetic",1,"0001"
"0001",67,"synthetic",1,"0001"
"0010",83,"synthetic",1,"0001"
"0011",55,"synthetic",1,"0001"
"0100",65,"synthetic",1,"0001"
"0101",52,"synthetic",1,"0001"
"0110",74,"synthetic",1,"0001"
"0111",76,"synthetic",1,"0001"
"1000",85,"synthetic",1,"0001"
"1001",66,"synthetic",1,"0001"
"1010",51,"synthetic",1,"0001"
"1011",62,"synthetic",1,"0001"
"1100",90,"synthetic",1,"0001"
"1101",38,"synthetic",1,"0001"
"1110",51,"synthetic",1,"0001"
"1111",11,"synthetic",1,"0001"
"0000",69,"original",1,"0001"
"0001",61,"original",1,"0001"
"0010",79,"original",1,"0001"
"0011",62,"original",1,"0001"
"0100",68,"original",1,"0001"
"0101",64,"original",1,"0001"
"0110",60,"original",1,"0001"
"0111",75,"original",1,"0001"
"1000",74,"original",1,"0001"
"1001",63,"original",1,"0001"
"1010",54,"original",1,"0001"
"1011",69,"original",1,"0001"
"1100",77,"original",1,"0001"
"1101",59,"original",1,"0001"
"1110",66,"original",1,"0001"
"0000",51,"synthetic",1,"1001"
"0001",68,"synthetic",1,"1001"
"0010",69,"synthetic",1,"1001"
"0011",58,"synthetic",1,"1001"
"0100",72,"synthetic",1,"1001"
"0101",54,"synthetic",1,"1001"
"0110",65,"synthetic",1,"1001"
"0111",77,"synthetic",1,"1001"
"1000",65,"synthetic",1,"1001"
"1001",76,"synthetic",1,"1001"
"1010",62,"synthetic",1,"1001"
"1011",69,"synthetic",1,"1001"
"1100",114,"synthetic",1,"1001"
"1101",39,"synthetic",1,"1001"
"1110",38,"synthetic",1,"1001"
"1111",23,"synthetic",1,"1001"
"0000",69,"original",1,"1001"
"0001",60,"original",1,"1001"
"0010",79,"original",1,"1001"
"0011",62,"original",1,"1001"
"0100",68,"original",1,"1001"
"0101",64,"original",1,"1001"
"0110",60,"original",1,"1001"
"0111",75,"original",1,"1001"
"1000",74,"original",1,"1001"
"1001",64,"original",1,"1001"
"1010",54,"original",1,"1001"
"1011",69,"original",1,"1001"
"1100",77,"original",1,"1001"
"1101",59,"original",1,"1001"
"1110",66,"original",1,"1001"
"0000",66,"synthetic",1,"0101"
"0001",55,"synthetic",1,"0101"
"0010",70,"synthetic",1,"0101"
"0011",75,"synthetic",1,"0101"
"0100",66,"synthetic",1,"0101"
"0101",65,"synthetic",1,"0101"
"0110",67,"synthetic",1,"0101"
"0111",72,"synthetic",1,"0101"
"1000",80,"synthetic",1,"0101"
"1001",82,"synthetic",1,"0101"
"1010",56,"synthetic",1,"0101"
"1011",64,"synthetic",1,"0101"
"1100",81,"synthetic",1,"0101"
"1101",39,"synthetic",1,"0101"
"1110",44,"synthetic",1,"0101"
"1111",18,"synthetic",1,"0101"
"0000",69,"original",1,"0101"
"0001",60,"original",1,"0101"
"0010",79,"original",1,"0101"
"0011",62,"original",1,"0101"
"0100",68,"original",1,"0101"
"0101",65,"original",1,"0101"
"0110",60,"original",1,"0101"
"0111",75,"original",1,"0101"
"1000",74,"original",1,"0101"
"1001",63,"original",1,"0101"
"1010",54,"original",1,"0101"
"1011",69,"original",1,"0101"
"1100",77,"original",1,"0101"
"1101",59,"original",1,"0101"
"1110",66,"original",1,"0101"
"0000",67,"synthetic",1,"1101"
"0001",67,"synthetic",1,"1101"
"0010",74,"synthetic",1,"1101"
"0011",52,"synthetic",1,"1101"
"0100",70,"synthetic",1,"1101"
"0101",72,"synthetic",1,"1101"
"0110",54,"synthetic",1,"1101"
"0111",71,"synthetic",1,"1101"
"1000",73,"synthetic",1,"1101"
"1001",55,"synthetic",1,"1101"
"1010",57,"synthetic",1,"1101"
"1011",78,"synthetic",1,"1101"
"1100",103,"synthetic",1,"1101"
"1101",46,"synthetic",1,"1101"
"1110",48,"synthetic",1,"1101"
"1111",13,"synthetic",1,"1101"
"0000",69,"original",1,"1101"
"0001",60,"original",1,"1101"
"0010",79,"original",1,"1101"
"0011",62,"original",1,"1101"
"0100",68,"original",1,"1101"
"0101",64,"original",1,"1101"
"0110",60,"original",1,"1101"
"0111",75,"original",1,"1101"
"1000",74,"original",1,"1101"
"1001",63,"original",1,"1101"
"1010",54,"original",1,"1101"
"1011",69,"original",1,"1101"
"1100",77,"original",1,"1101"
"1101",60,"original",1,"1101"
"1110",66,"original",1,"1101"
"0000",74,"synthetic",1,"0011"
"0001",67,"synthetic",1,"0011"
"0010",85,"synthetic",1,"0011"
"0011",67,"synthetic",1,"0011"
"0100",72,"synthetic",1,"0011"
"0101",56,"synthetic",1,"0011"
"0110",58,"synthetic",1,"0011"
