"combine","Freq","type","n","last_record"
"0000",79,"synthetic",1,"0000"
"0001",89,"synthetic",1,"0000"
"0010",76,"synthetic",1,"0000"
"0011",58,"synthetic",1,"0000"
"0100",75,"synthetic",1,"0000"
"0101",58,"synthetic",1,"0000"
"0110",54,"synthetic",1,"0000"
"0111",57,"synthetic",1,"0000"
"1000",78,"synthetic",1,"0000"
"1001",68,"synthetic",1,"0000"
"1010",52,"synthetic",1,"0000"
"1011",42,"synthetic",1,"0000"
"1100",72,"synthetic",1,"0000"
"1101",41,"synthetic",1,"0000"
"1110",63,"synthetic",1,"0000"
"1111",38,"synthetic",1,"0000"
"0000",70,"original",1,"0000"
"0001",60,"original",1,"0000"
"0010",79,"original",1,"0000"
"0011",62,"original",1,"0000"
"0100",68,"original",1,"0000"
"0101",64,"original",1,"0000"
"0110",60,"original",1,"0000"
"0111",75,"original",1,"0000"
"1000",74,"original",1,"0000"
"1001",63,"original",1,"0000"
"1010",54,"original",1,"0000"
"1011",69,"original",1,"0000"
"1100",77,"original",1,"0000"
"1101",59,"original",1,"0000"
"1110",66,"original",1,"0000"
"0000",83,"synthetic",1,"1000"
"0001",66,"synthetic",1,"1000"
"0010",70,"synthetic",1,"1000"
"0011",63,"synthetic",1,"1000"
"0100",85,"synthetic",1,"1000"
"0101",59,"synthetic",1,"1000"
"0110",71,"synthetic",1,"1000"
"0111",50,"synthetic",1,"1000"
"1000",64,"synthetic",1,"1000"
"1001",67,"synthetic",1,"1000"
"1010",53,"synthetic",1,"1000"
"1011",60,"synthetic",1,"1000"
"1100",55,"synthetic",1,"1000"
"1101",54,"synthetic",1,"1000"
"1110",57,"synthetic",1,"1000"
"1111",43,"synthetic",1,"1000"
"0000",69,"original",1,"1000"
"0001",60,"original",1,"1000"
"0010",79,"original",1,"1000"
"0011",62,"original",1,"1000"
"0100",68,"original",1,"1000"
"0101",64,"original",1,"1000"
"0110",60,"original",1,"1000"
"0111",75,"original",1,"1000"
"1000",75,"original",1,"1000"
"1001",63,"original",1,"1000"
"1010",54,"original",1,"1000"
"1011",69,"original",1,"1000"
"1100",77,"original",1,"1000"
"1101",59,"original",1,"1000"
"1110",66,"original",1,"1000"
"0000",87,"synthetic",1,"0100"
"0001",74,"synthetic",1,"0100"
"0010",69,"synthetic",1,"0100"
"0011",67,"synthetic",1,"0100"
"0100",74,"synthetic",1,"0100"
"0101",50,"synthetic",1,"0100"
"0110",67,"synthetic",1,"0100"
"0111",50,"synthetic",1,"0100"
"1000",74,"synthetic",1,"0100"
"1001",71,"synthetic",1,"0100"
"1010",57,"synthetic",1,"0100"
"1011",47,"synthetic",1,"0100"
"1100",60,"synthetic",1,"0100"
"1101",49,"synthetic",1,"0100"
"1110",65,"synthetic",1,"0100"
"1111",39,"synthetic",1,"0100"
"0000",69,"original",1,"0100"
"0001",60,"original",1,"0100"
"0010",79,"original",1,"0100"
"0011",62,"original",1,"0100"
"0100",69,"original",1,"0100"
"0101",64,"original",1,"0100"
"0110",60,"original",1,"0100"
"0111",75,"original",1,"0100"
"1000",74,"original",1,"0100"
"1001",63,"original",1,"0100"
"1010",54,"original",1,"0100"
"1011",69,"original",1,"0100"
"1100",77,"original",1,"0100"
"1101",59,"original",1,"0100"
"1110",66,"original",1,"0100"
"0000",84,"synthetic",1,"1100"
"0001",64,"synthetic",1,"1100"
"0010",82,"synthetic",1,"1100"
"0011",75,"synthetic",1,"1100"
"0100",62,"synthetic",1,"1100"
"0101",54,"synthetic",1,"1100"
"0110",62,"synthetic",1,"1100"
"0111",57,"synthetic",1,"1100"
"1000",59,"synthetic",1,"1100"
"1001",48,"synthetic",1,"1100"
"1010",54,"synthetic",1,"1100"
"1011",58,"synthetic",1,"1100"
"1100",79,"synthetic",1,"1100"
"1101",48,"synthetic",1,"1100"
"1110",71,"synthetic",1,"1100"
"1111",43,"synthetic",1,"1100"
"0000",69,"original",1,"1100"
"0001",60,"original",1,"1100"
"0010",79,"original",1,"1100"
"0011",62,"original",1,"1100"
"0100",68,"original",1,"1100"
"0101",64,"original",1,"1100"
"0110",60,"original",1,"1100"
"0111",75,"original",1,"1100"
