"combine","Freq","type","n"
"0000",79,"synthetic",1
"0001",89,"synthetic",1
"0010",75,"synthetic",1
"0011",58,"synthetic",1
"0100",75,"synthetic",1
"0101",58,"synthetic",1
"0110",55,"synthetic",1
"0111",57,"synthetic",1
"1000",78,"synthetic",1
"1001",68,"synthetic",1
"1010",52,"synthetic",1
"1011",42,"synthetic",1
"1100",71,"synthetic",1
"1101",41,"synthetic",1
"1110",64,"synthetic",1
"1111",38,"synthetic",1
"0000",83,"synthetic",2
"0001",66,"synthetic",2
"0010",69,"synthetic",2
"0011",63,"synthetic",2
"0100",84,"synthetic",2
"0101",59,"synthetic",2
"0110",73,"synthetic",2
"0111",50,"synthetic",2
"1000",62,"synthetic",2
"1001",67,"synthetic",2
"1010",54,"synthetic",2
"1011",60,"synthetic",2
"1100",56,"synthetic",2
"1101",54,"synthetic",2
"1110",56,"synthetic",2
"1111",44,"synthetic",2
"0000",86,"synthetic",3
"0001",74,"synthetic",3
"0010",70,"synthetic",3
"0011",67,"synthetic",3
"0100",74,"synthetic",3
"0101",50,"synthetic",3
"0110",67,"synthetic",3
"0111",50,"synthetic",3
"1000",74,"synthetic",3
"1001",71,"synthetic",3
"1010",57,"synthetic",3
"1011",47,"synthetic",3
"1100",60,"synthetic",3
"1101",49,"synthetic",3
"1110",64,"synthetic",3
"1111",40,"synthetic",3
"0000",82,"synthetic",4
"0001",63,"synthetic",4
"0010",83,"synthetic",4
"0011",77,"synthetic",4
"0100",62,"synthetic",4
"0101",54,"synthetic",4
"0110",62,"synthetic",4
"0111",57,"synthetic",4
"1000",59,"synthetic",4
"1001",48,"synthetic",4
"1010",54,"synthetic",4
"1011",58,"synthetic",4
"1100",78,"synthetic",4
"1101",48,"synthetic",4
"1110",72,"synthetic",4
"1111",43,"synthetic",4
"0000",81,"synthetic",5
"0001",70,"synthetic",5
"0010",68,"synthetic",5
"0011",74,"synthetic",5
"0100",63,"synthetic",5
"0101",65,"synthetic",5
"0110",72,"synthetic",5
"0111",45,"synthetic",5
"1000",69,"synthetic",5
"1001",49,"synthetic",5
"1010",57,"synthetic",5
"1011",66,"synthetic",5
"1100",62,"synthetic",5
"1101",45,"synthetic",5
"1110",63,"synthetic",5
"1111",51,"synthetic",5
"0000",93,"synthetic",6
"0001",66,"synthetic",6
"0010",62,"synthetic",6
"0011",75,"synthetic",6
"0100",67,"synthetic",6
"0101",66,"synthetic",6
"0110",52,"synthetic",6
"0111",49,"synthetic",6
"1000",72,"synthetic",6
"1001",71,"synthetic",6
"1010",56,"synthetic",6
"1011",49,"synthetic",6
"1100",67,"synthetic",6
"1101",56,"synthetic",6
"1110",46,"synthetic",6
"1111",53,"synthetic",6
"0000",96,"synthetic",7
"0001",63,"synthetic",7
"0010",68,"synthetic",7
"0011",61,"synthetic",7
"0100",70,"synthetic",7
"0101",64,"synthetic",7
"0110",56,"synthetic",7
"0111",52,"synthetic",7
"1000",80,"synthetic",7
"1001",59,"synthetic",7
"1010",65,"synthetic",7
"1011",56,"synthetic",7
"1100",45,"synthetic",7
"1101",56,"synthetic",7
"1110",61,"synthetic",7
"1111",48,"synthetic",7
"0000",79,"synthetic",8
"0001",79,"synthetic",8
"0010",82,"synthetic",8
"0011",66,"synthetic",8
"0100",77,"synthetic",8
"0101",61,"synthetic",8
"0110",58,"synthetic",8
"0111",61,"synthetic",8
"1000",68,"synthetic",8
"1001",55,"synthetic",8
"1010",48,"synthetic",8
"1011",53,"synthetic",8
"1100",58,"synthetic",8
"1101",42,"synthetic",8
"1110",64,"synthetic",8
"1111",49,"synthetic",8
"0000",79,"synthetic",9
"0001",63,"synthetic",9
"0010",86,"synthetic",9
"0011",62,"synthetic",9
"0100",77,"synthetic",9
"0101",56,"synthetic",9
"0110",62,"synthetic",9
"0111",59,"synthetic",9
"1000",58,"synthetic",9
"1001",63,"synthetic",9
"1010",50,"synthetic",9
"1011",50,"synthetic",9
"1100",63,"synthetic",9
"1101",54,"synthetic",9
"1110",58,"synthetic",9
"1111",60,"synthetic",9
"0000",81,"synthetic",10
"0001",59,"synthetic",10
"0010",70,"synthetic",10
"0011",64,"synthetic",10
"0100",59,"synthetic",10
"0101",58,"synthetic",10
"0110",64,"synthetic",10
"0111",59,"synthetic",10
"1000",71,"synthetic",10
"1001",55,"synthetic",10
"1010",60,"synthetic",10
"1011",62,"synthetic",10
"1100",73,"synthetic",10
"1101",50,"synthetic",10
"1110",63,"synthetic",10
"1111",52,"synthetic",10
