"combine","Freq","type","n"
"0000",74,"synthetic",1
"0001",66,"synthetic",1
"0010",71,"synthetic",1
"0011",69,"synthetic",1
"0100",66,"synthetic",1
"0101",54,"synthetic",1
"0110",51,"synthetic",1
"0111",87,"synthetic",1
"1000",67,"synthetic",1
"1001",76,"synthetic",1
"1010",43,"synthetic",1
"1011",60,"synthetic",1
"1100",98,"synthetic",1
"1101",27,"synthetic",1
"1110",64,"synthetic",1
"1111",27,"synthetic",1
"0000",70,"synthetic",2
"0001",73,"synthetic",2
"0010",86,"synthetic",2
"0011",67,"synthetic",2
"0100",65,"synthetic",2
"0101",65,"synthetic",2
"0110",38,"synthetic",2
"0111",76,"synthetic",2
"1000",81,"synthetic",2
"1001",69,"synthetic",2
"1010",32,"synthetic",2
"1011",67,"synthetic",2
"1100",79,"synthetic",2
"1101",32,"synthetic",2
"1110",71,"synthetic",2
"1111",29,"synthetic",2
"0000",78,"synthetic",3
"0001",55,"synthetic",3
"0010",77,"synthetic",3
"0011",66,"synthetic",3
"0100",67,"synthetic",3
"0101",65,"synthetic",3
"0110",59,"synthetic",3
"0111",71,"synthetic",3
"1000",92,"synthetic",3
"1001",68,"synthetic",3
"1010",44,"synthetic",3
"1011",53,"synthetic",3
"1100",86,"synthetic",3
"1101",35,"synthetic",3
"1110",64,"synthetic",3
"1111",20,"synthetic",3
"0000",78,"synthetic",4
"0001",72,"synthetic",4
"0010",79,"synthetic",4
"0011",66,"synthetic",4
"0100",53,"synthetic",4
"0101",67,"synthetic",4
"0110",48,"synthetic",4
"0111",67,"synthetic",4
"1000",87,"synthetic",4
"1001",69,"synthetic",4
"1010",32,"synthetic",4
"1011",62,"synthetic",4
"1100",104,"synthetic",4
"1101",33,"synthetic",4
"1110",53,"synthetic",4
"1111",30,"synthetic",4
"0000",88,"synthetic",5
"0001",59,"synthetic",5
"0010",73,"synthetic",5
"0011",61,"synthetic",5
"0100",71,"synthetic",5
"0101",66,"synthetic",5
"0110",53,"synthetic",5
"0111",59,"synthetic",5
"1000",76,"synthetic",5
"1001",68,"synthetic",5
"1010",44,"synthetic",5
"1011",69,"synthetic",5
"1100",103,"synthetic",5
"1101",26,"synthetic",5
"1110",63,"synthetic",5
"1111",21,"synthetic",5
"0000",76,"synthetic",6
"0001",68,"synthetic",6
"0010",74,"synthetic",6
"0011",71,"synthetic",6
"0100",64,"synthetic",6
"0101",65,"synthetic",6
"0110",62,"synthetic",6
"0111",83,"synthetic",6
"1000",68,"synthetic",6
"1001",57,"synthetic",6
"1010",53,"synthetic",6
"1011",52,"synthetic",6
"1100",87,"synthetic",6
"1101",31,"synthetic",6
"1110",62,"synthetic",6
"1111",27,"synthetic",6
"0000",73,"synthetic",7
"0001",64,"synthetic",7
"0010",78,"synthetic",7
"0011",57,"synthetic",7
"0100",66,"synthetic",7
"0101",70,"synthetic",7
"0110",61,"synthetic",7
"0111",75,"synthetic",7
"1000",82,"synthetic",7
"1001",60,"synthetic",7
"1010",60,"synthetic",7
"1011",62,"synthetic",7
"1100",84,"synthetic",7
"1101",33,"synthetic",7
"1110",53,"synthetic",7
"1111",22,"synthetic",7
"0000",82,"synthetic",8
"0001",56,"synthetic",8
"0010",82,"synthetic",8
"0011",55,"synthetic",8
"0100",70,"synthetic",8
"0101",49,"synthetic",8
"0110",47,"synthetic",8
"0111",73,"synthetic",8
"1000",76,"synthetic",8
"1001",65,"synthetic",8
"1010",50,"synthetic",8
"1011",67,"synthetic",8
"1100",92,"synthetic",8
"1101",44,"synthetic",8
"1110",61,"synthetic",8
"1111",31,"synthetic",8
"0000",73,"synthetic",9
"0001",60,"synthetic",9
"0010",94,"synthetic",9
"0011",49,"synthetic",9
"0100",68,"synthetic",9
"0101",55,"synthetic",9
"0110",69,"synthetic",9
"0111",68,"synthetic",9
"1000",88,"synthetic",9
"1001",63,"synthetic",9
"1010",45,"synthetic",9
"1011",62,"synthetic",9
"1100",89,"synthetic",9
"1101",36,"synthetic",9
"1110",55,"synthetic",9
"1111",26,"synthetic",9
"0000",70,"synthetic",10
"0001",68,"synthetic",10
"0010",84,"synthetic",10
"0011",57,"synthetic",10
"0100",60,"synthetic",10
"0101",64,"synthetic",10
"0110",53,"synthetic",10
"0111",71,"synthetic",10
"1000",72,"synthetic",10
"1001",72,"synthetic",10
"1010",48,"synthetic",10
"1011",71,"synthetic",10
"1100",83,"synthetic",10
"1101",34,"synthetic",10
"1110",67,"synthetic",10
"1111",26,"synthetic",10
