"combine","Freq","type","n","unique"
"0000",67,"synthetic",1,"0000"
"0001",42,"synthetic",1,"0000"
"0010",73,"synthetic",1,"0000"
"0011",58,"synthetic",1,"0000"
"0100",84,"synthetic",1,"0000"
"0101",94,"synthetic",1,"0000"
"0110",58,"synthetic",1,"0000"
"0111",70,"synthetic",1,"0000"
"1000",47,"synthetic",1,"0000"
"1001",65,"synthetic",1,"0000"
"1010",94,"synthetic",1,"0000"
"1011",45,"synthetic",1,"0000"
"1100",65,"synthetic",1,"0000"
"1101",42,"synthetic",1,"0000"
"1110",68,"synthetic",1,"0000"
"1111",28,"synthetic",1,"0000"
"0000",71,"original",1,"0000"
"0001",61,"original",1,"0000"
"0010",67,"original",1,"0000"
"0011",53,"original",1,"0000"
"0100",77,"original",1,"0000"
"0101",74,"original",1,"0000"
"0110",67,"original",1,"0000"
"0111",80,"original",1,"0000"
"1000",54,"original",1,"0000"
"1001",65,"original",1,"0000"
"1010",93,"original",1,"0000"
"1011",60,"original",1,"0000"
"1100",64,"original",1,"0000"
"1101",56,"original",1,"0000"
"1110",58,"original",1,"0000"
"0000",51,"synthetic",1,"1000"
"0001",47,"synthetic",1,"1000"
"0010",74,"synthetic",1,"1000"
"0011",48,"synthetic",1,"1000"
"0100",89,"synthetic",1,"1000"
"0101",93,"synthetic",1,"1000"
"0110",53,"synthetic",1,"1000"
"0111",69,"synthetic",1,"1000"
"1000",55,"synthetic",1,"1000"
"1001",70,"synthetic",1,"1000"
"1010",124,"synthetic",1,"1000"
"1011",45,"synthetic",1,"1000"
"1100",61,"synthetic",1,"1000"
"1101",44,"synthetic",1,"1000"
"1110",55,"synthetic",1,"1000"
"1111",22,"synthetic",1,"1000"
"0000",70,"original",1,"1000"
"0001",61,"original",1,"1000"
"0010",67,"original",1,"1000"
"0011",53,"original",1,"1000"
"0100",77,"original",1,"1000"
"0101",74,"original",1,"1000"
"0110",67,"original",1,"1000"
"0111",80,"original",1,"1000"
"1000",55,"original",1,"1000"
"1001",65,"original",1,"1000"
"1010",93,"original",1,"1000"
"1011",60,"original",1,"1000"
"1100",64,"original",1,"1000"
"1101",56,"original",1,"1000"
"1110",58,"original",1,"1000"
"0000",70,"synthetic",1,"0100"
"0001",69,"synthetic",1,"0100"
"0010",78,"synthetic",1,"0100"
"0011",49,"synthetic",1,"0100"
"0100",74,"synthetic",1,"0100"
"0101",78,"synthetic",1,"0100"
"0110",64,"synthetic",1,"0100"
"0111",74,"synthetic",1,"0100"
"1000",52,"synthetic",1,"0100"
"1001",59,"synthetic",1,"0100"
"1010",110,"synthetic",1,"0100"
"1011",45,"synthetic",1,"0100"
"1100",64,"synthetic",1,"0100"
"1101",37,"synthetic",1,"0100"
"1110",55,"synthetic",1,"0100"
"1111",22,"synthetic",1,"0100"
"0000",70,"original",1,"0100"
"0001",61,"original",1,"0100"
"0010",67,"original",1,"0100"
"0011",53,"original",1,"0100"
"0100",78,"original",1,"0100"
"0101",74,"original",1,"0100"
"0110",67,"original",1,"0100"
"0111",80,"original",1,"0100"
"1000",54,"original",1,"0100"
"1001",65,"original",1,"0100"
"1010",93,"original",1,"0100"
"1011",60,"original",1,"0100"
"1100",64,"original",1,"0100"
"1101",56,"original",1,"0100"
"1110",58,"original",1,"0100"
"0000",64,"synthetic",1,"1100"
"0001",41,"synthetic",1,"1100"
"0010",70,"synthetic",1,"1100"
"0011",56,"synthetic",1,"1100"
"0100",111,"synthetic",1,"1100"
"0101",85,"synthetic",1,"1100"
"0110",58,"synthetic",1,"1100"
"0111",66,"synthetic",1,"1100"
"1000",51,"synthetic",1,"1100"
"1001",69,"synthetic",1,"1100"
"1010",105,"synthetic",1,"1100"
"1011",43,"synthetic",1,"1100"
"1100",49,"synthetic",1,"1100"
"1101",50,"synthetic",1,"1100"
"1110",57,"synthetic",1,"1100"
"1111",25,"synthetic",1,"1100"
"0000",70,"original",1,"1100"
"0001",61,"original",1,"1100"
"0010",67,"original",1,"1100"
"0011",53,"original",1,"1100"
"0100",77,"original",1,"1100"
"0101",74,"original",1,"1100"
"0110",67,"original",1,"1100"
"0111",80,"original",1,"1100"
"1000",54,"original",1,"1100"
"1001",65,"original",1,"1100"
"1010",93,"original",1,"1100"
"1011",60,"original",1,"1100"
"1100",65,"original",1,"1100"
"1101",56,"original",1,"1100"
"1110",58,"original",1,"1100"
"0000",75,"synthetic",1,"0010"
"0001",61,"synthetic",1,"0010"
"0010",66,"synthetic",1,"0010"
