"combine","Freq","type","n","unique"
"0000",58,"synthetic",1,"0000"
"0001",62,"synthetic",1,"0000"
"0010",55,"synthetic",1,"0000"
"0011",62,"synthetic",1,"0000"
"0100",79,"synthetic",1,"0000"
"0101",81,"synthetic",1,"0000"
"0110",76,"synthetic",1,"0000"
"0111",73,"synthetic",1,"0000"
"1000",45,"synthetic",1,"0000"
"1001",58,"synthetic",1,"0000"
"1010",104,"synthetic",1,"0000"
"1011",71,"synthetic",1,"0000"
"1100",65,"synthetic",1,"0000"
"1101",47,"synthetic",1,"0000"
"1110",64,"synthetic",1,"0000"
"0000",71,"original",1,"0000"
"0001",61,"original",1,"0000"
"0010",67,"original",1,"0000"
"0011",53,"original",1,"0000"
"0100",77,"original",1,"0000"
"0101",74,"original",1,"0000"
"0110",67,"original",1,"0000"
"0111",80,"original",1,"0000"
"1000",54,"original",1,"0000"
"1001",65,"original",1,"0000"
"1010",93,"original",1,"0000"
"1011",60,"original",1,"0000"
"1100",64,"original",1,"0000"
"1101",56,"original",1,"0000"
"1110",58,"original",1,"0000"
"0000",52,"synthetic",1,"1000"
"0001",44,"synthetic",1,"1000"
"0010",83,"synthetic",1,"1000"
"0011",62,"synthetic",1,"1000"
"0100",76,"synthetic",1,"1000"
"0101",61,"synthetic",1,"1000"
"0110",69,"synthetic",1,"1000"
"0111",77,"synthetic",1,"1000"
"1000",54,"synthetic",1,"1000"
"1001",66,"synthetic",1,"1000"
"1010",110,"synthetic",1,"1000"
"1011",60,"synthetic",1,"1000"
"1100",75,"synthetic",1,"1000"
"1101",49,"synthetic",1,"1000"
"1110",62,"synthetic",1,"1000"
"0000",70,"original",1,"1000"
"0001",61,"original",1,"1000"
"0010",67,"original",1,"1000"
"0011",53,"original",1,"1000"
"0100",77,"original",1,"1000"
"0101",74,"original",1,"1000"
"0110",67,"original",1,"1000"
"0111",80,"original",1,"1000"
"1000",55,"original",1,"1000"
"1001",65,"original",1,"1000"
"1010",93,"original",1,"1000"
"1011",60,"original",1,"1000"
"1100",64,"original",1,"1000"
"1101",56,"original",1,"1000"
"1110",58,"original",1,"1000"
"0000",76,"synthetic",1,"0100"
"0001",43,"synthetic",1,"0100"
"0010",64,"synthetic",1,"0100"
