"combine","Freq","number"
"0000",64,1
"0001",45,1
"0010",73,1
"0011",57,1
"0100",84,1
"0101",94,1
"0110",59,1
"0111",70,1
"1000",47,1
"1001",65,1
"1010",92,1
"1011",46,1
"1100",66,1
"1101",42,1
"1110",67,1
"1111",29,1
"0000",51,2
"0001",47,2
"0010",74,2
"0011",48,2
"0100",89,2
"0101",93,2
"0110",53,2
"0111",69,2
"1000",55,2
"1001",70,2
"1010",123,2
"1011",46,2
"1100",61,2
"1101",44,2
"1110",54,2
"1111",23,2
"0000",70,3
"0001",70,3
"0010",78,3
"0011",49,3
"0100",74,3
"0101",76,3
"0110",65,3
"0111",74,3
"1000",52,3
"1001",59,3
"1010",109,3
"1011",46,3
"1100",63,3
"1101",37,3
"1110",56,3
"1111",22,3
"0000",63,4
"0001",42,4
"0010",70,4
"0011",56,4
"0100",110,4
"0101",84,4
"0110",59,4
"0111",67,4
"1000",51,4
"1001",69,4
"1010",105,4
"1011",43,4
"1100",50,4
"1101",49,4
"1110",57,4
"1111",25,4
"0000",75,5
"0001",61,5
"0010",65,5
"0011",52,5
"0100",81,5
"0101",82,5
"0110",60,5
"0111",59,5
"1000",47,5
"1001",85,5
"1010",110,5
"1011",53,5
"1100",49,5
"1101",41,5
"1110",62,5
"1111",18,5
"0000",71,6
"0001",61,6
"0010",70,6
"0011",64,6
"0100",87,6
"0101",82,6
"0110",64,6
"0111",65,6
"1000",45,6
"1001",69,6
"1010",115,6
"1011",44,6
"1100",53,6
"1101",44,6
"1110",39,6
"1111",27,6
"0000",68,7
"0001",57,7
"0010",73,7
"0011",57,7
"0100",78,7
"0101",74,7
"0110",58,7
"0111",92,7
"1000",48,7
"1001",64,7
"1010",110,7
"1011",43,7
"1100",55,7
"1101",53,7
"1110",56,7
"1111",14,7
"0000",76,8
"0001",68,8
"0010",53,8
"0011",66,8
"0100",88,8
"0101",87,8
"0110",63,8
"0111",72,8
"1000",59,8
"1001",57,8
"1010",101,8
"1011",35,8
"1100",53,8
"1101",45,8
"1110",53,8
"1111",24,8
"0000",63,9
"0001",64,9
"0010",73,9
"0011",51,9
"0100",96,9
"0101",64,9
"0110",61,9
"0111",76,9
"1000",68,9
"1001",58,9
"1010",99,9
"1011",49,9
"1100",53,9
"1101",50,9
"1110",46,9
"1111",29,9
"0000",62,10
"0001",51,10
"0010",76,10
"0011",56,10
"0100",80,10
"0101",73,10
"0110",60,10
"0111",94,10
"1000",50,10
"1001",61,10
"1010",127,10
"1011",35,10
"1100",55,10
"1101",47,10
"1110",52,10
"1111",21,10
