"number","name","value"
1,"var1",0.993963794805132
1,"var2",0.934227118124025
1,"var3",0.972365516462724
1,"var4",0.995966183574879
2,"var1",0.950970825488665
2,"var2",0.982136534239785
2,"var3",0.978218888323084
2,"var4",0.979960317460317
3,"var1",0.985944503820447
3,"var2",0.980136956667099
3,"var3",0.960766061874228
3,"var4",0.966119929453263
4,"var1",0.99596782306711
4,"var2",0.953103353522401
4,"var3",0.994008888110162
4,"var4",0.970058997050148
5,"var1",0.972195781185734
5,"var2",0.950984330288145
5,"var3",1
5,"var4",0.997982261640798
6,"var1",0.970072415907911
6,"var2",0.968386210973812
6,"var3",0.982141452440137
6,"var4",0.987966507177033
7,"var1",0.983949491853332
7,"var2",0.994006931166348
7,"var3",0.95311051159454
7,"var4",0.991958350020024
8,"var1",0.952450052820376
8,"var2",0.984104393763182
8,"var3",0.976216868319318
8,"var4",0.991958350020024
9,"var1",0.997983058497348
9,"var2",0.995998802036538
9,"var3",0.990036246252439
9,"var4",0.981949910554562
10,"var1",0.99395666634532
10,"var2",0.990033163285545
10,"var3",0.919385796545106
10,"var4",0.975990510083037
