combine,Freq,pct,epsilon,copies,number,parents
1100,93,9.3,0.0,10,1,4
1000,88,8.799999999999999,0.0,10,1,4
0111,73,7.3,0.0,10,1,4
0010,73,7.3,0.0,10,1,4
0000,68,6.800000000000001,0.0,10,1,4
0100,67,6.7,0.0,10,1,4
1101,67,6.7,0.0,10,1,4
1001,64,6.4,0.0,10,1,4
1110,61,6.1,0.0,10,1,4
0110,61,6.1,0.0,10,1,4
1011,58,5.800000000000001,0.0,10,1,4
0101,58,5.800000000000001,0.0,10,1,4
0011,57,5.7,0.0,10,1,4
0001,57,5.7,0.0,10,1,4
1010,53,5.3,0.0,10,1,4
1111,2,0.2,0.0,10,1,4
1100,93,9.3,0.0,10,2,4
1000,88,8.799999999999999,0.0,10,2,4
0111,73,7.3,0.0,10,2,4
0010,73,7.3,0.0,10,2,4
0000,68,6.800000000000001,0.0,10,2,4
0100,67,6.7,0.0,10,2,4
1101,67,6.7,0.0,10,2,4
1001,64,6.4,0.0,10,2,4
1110,61,6.1,0.0,10,2,4
0110,61,6.1,0.0,10,2,4
1011,58,5.800000000000001,0.0,10,2,4
0101,58,5.800000000000001,0.0,10,2,4
0011,57,5.7,0.0,10,2,4
0001,57,5.7,0.0,10,2,4
1010,53,5.3,0.0,10,2,4
1111,2,0.2,0.0,10,2,4
0010,89,8.9,0.0,10,3,4
1100,74,7.3999999999999995,0.0,10,3,4
1011,70,7.000000000000001,0.0,10,3,4
1110,70,7.000000000000001,0.0,10,3,4
1000,70,7.000000000000001,0.0,10,3,4
1001,67,6.7,0.0,10,3,4
0011,66,6.6000000000000005,0.0,10,3,4
1010,65,6.5,0.0,10,3,4
0110,64,6.4,0.0,10,3,4
0000,64,6.4,0.0,10,3,4
0100,64,6.4,0.0,10,3,4
0111,63,6.3,0.0,10,3,4
0101,60,6.0,0.0,10,3,4
0001,60,6.0,0.0,10,3,4
1101,52,5.2,0.0,10,3,4
1111,2,0.2,0.0,10,3,4
0010,90,9.0,0.0,10,4,4
1110,73,7.3,0.0,10,4,4
1100,73,7.3,0.0,10,4,4
0110,73,7.3,0.0,10,4,4
0111,73,7.3,0.0,10,4,4
0100,68,6.800000000000001,0.0,10,4,4
1000,67,6.7,0.0,10,4,4
0011,67,6.7,0.0,10,4,4
0000,64,6.4,0.0,10,4,4
0101,63,6.3,0.0,10,4,4
0001,61,6.1,0.0,10,4,4
1001,60,6.0,0.0,10,4,4
1011,58,5.800000000000001,0.0,10,4,4
1010,57,5.7,0.0,10,4,4
1101,51,5.1,0.0,10,4,4
1111,2,0.2,0.0,10,4,4
0010,90,9.0,0.0,10,5,4
1110,73,7.3,0.0,10,5,4
1100,73,7.3,0.0,10,5,4
0110,73,7.3,0.0,10,5,4
0111,73,7.3,0.0,10,5,4
0100,68,6.800000000000001,0.0,10,5,4
1000,67,6.7,0.0,10,5,4
0011,67,6.7,0.0,10,5,4
0000,64,6.4,0.0,10,5,4
0101,63,6.3,0.0,10,5,4
0001,61,6.1,0.0,10,5,4
1001,60,6.0,0.0,10,5,4
1011,58,5.800000000000001,0.0,10,5,4
1010,57,5.7,0.0,10,5,4
1101,51,5.1,0.0,10,5,4
1111,2,0.2,0.0,10,5,4
1100,93,9.3,0.0,10,6,4
1000,88,8.799999999999999,0.0,10,6,4
0111,73,7.3,0.0,10,6,4
0010,73,7.3,0.0,10,6,4
0000,68,6.800000000000001,0.0,10,6,4
0100,67,6.7,0.0,10,6,4
1101,67,6.7,0.0,10,6,4
1001,64,6.4,0.0,10,6,4
1110,61,6.1,0.0,10,6,4
0110,61,6.1,0.0,10,6,4
1011,58,5.800000000000001,0.0,10,6,4
0101,58,5.800000000000001,0.0,10,6,4
0011,57,5.7,0.0,10,6,4
0001,57,5.7,0.0,10,6,4
1010,53,5.3,0.0,10,6,4
1111,2,0.2,0.0,10,6,4
