"","var1","var2","var3","var4","Freq"
"1","0","0","0","0",64
"2","1","0","0","0",47
"3","0","1","0","0",84
"4","1","1","0","0",66
"5","0","0","1","0",73
"6","1","0","1","0",92
"7","0","1","1","0",59
"8","1","1","1","0",67
"9","0","0","0","1",45
"10","1","0","0","1",65
"11","0","1","0","1",94
"12","1","1","0","1",42
"13","0","0","1","1",57
"14","1","0","1","1",46
"15","0","1","1","1",70
"16","1","1","1","1",29
"17","0","0","0","0",64
"18","1","0","0","0",47
"19","0","1","0","0",84
"20","1","1","0","0",66
"21","0","0","1","0",73
"22","1","0","1","0",92
"23","0","1","1","0",59
"24","1","1","1","0",67
"25","0","0","0","1",45
"26","1","0","0","1",65
"27","0","1","0","1",94
"28","1","1","0","1",42
"29","0","0","1","1",57
"30","1","0","1","1",46
"31","0","1","1","1",70
"32","1","1","1","1",29
"33","0","0","0","0",64
"34","1","0","0","0",47
"35","0","1","0","0",84
"36","1","1","0","0",66
"37","0","0","1","0",73
"38","1","0","1","0",92
"39","0","1","1","0",59
"40","1","1","1","0",67
"41","0","0","0","1",45
"42","1","0","0","1",65
"43","0","1","0","1",94
"44","1","1","0","1",42
"45","0","0","1","1",57
"46","1","0","1","1",46
"47","0","1","1","1",70
"48","1","1","1","1",29
"49","0","0","0","0",64
"50","1","0","0","0",47
"51","0","1","0","0",84
"52","1","1","0","0",66
"53","0","0","1","0",73
"54","1","0","1","0",92
"55","0","1","1","0",59
"56","1","1","1","0",67
"57","0","0","0","1",45
"58","1","0","0","1",65
"59","0","1","0","1",94
"60","1","1","0","1",42
"61","0","0","1","1",57
"62","1","0","1","1",46
"63","0","1","1","1",70
"64","1","1","1","1",29
"65","0","0","0","0",64
"66","1","0","0","0",47
"67","0","1","0","0",84
"68","1","1","0","0",66
"69","0","0","1","0",73
"70","1","0","1","0",92
"71","0","1","1","0",59
"72","1","1","1","0",67
"73","0","0","0","1",45
"74","1","0","0","1",65
"75","0","1","0","1",94
"76","1","1","0","1",42
"77","0","0","1","1",57
"78","1","0","1","1",46
"79","0","1","1","1",70
"80","1","1","1","1",29
