"combine","Freq","type","n"
"0000",68,"synthetic",1
"0001",60,"synthetic",1
"0010",77,"synthetic",1
"0011",70,"synthetic",1
"0100",73,"synthetic",1
"0101",60,"synthetic",1
"0110",58,"synthetic",1
"0111",72,"synthetic",1
"1000",77,"synthetic",1
"1001",69,"synthetic",1
"1010",50,"synthetic",1
"1011",61,"synthetic",1
"1100",79,"synthetic",1
"1101",65,"synthetic",1
"1110",60,"synthetic",1
"1111",1,"synthetic",1
"0000",66,"synthetic",2
"0001",53,"synthetic",2
"0010",71,"synthetic",2
"0011",51,"synthetic",2
"0100",63,"synthetic",2
"0101",77,"synthetic",2
"0110",68,"synthetic",2
"0111",91,"synthetic",2
"1000",84,"synthetic",2
"1001",66,"synthetic",2
"1010",54,"synthetic",2
"1011",59,"synthetic",2
"1100",77,"synthetic",2
"1101",52,"synthetic",2
"1110",68,"synthetic",2
"0000",71,"synthetic",3
"0001",57,"synthetic",3
"0010",73,"synthetic",3
"0011",56,"synthetic",3
"0100",80,"synthetic",3
"0101",49,"synthetic",3
"0110",66,"synthetic",3
"0111",86,"synthetic",3
"1000",80,"synthetic",3
"1001",57,"synthetic",3
"1010",57,"synthetic",3
"1011",77,"synthetic",3
"1100",76,"synthetic",3
"1101",54,"synthetic",3
"1110",60,"synthetic",3
"1111",1,"synthetic",3
"0000",73,"synthetic",4
"0001",56,"synthetic",4
"0010",71,"synthetic",4
"0011",68,"synthetic",4
"0100",54,"synthetic",4
"0101",66,"synthetic",4
"0110",61,"synthetic",4
"0111",81,"synthetic",4
"1000",73,"synthetic",4
"1001",68,"synthetic",4
"1010",51,"synthetic",4
"1011",71,"synthetic",4
"1100",83,"synthetic",4
"1101",57,"synthetic",4
"1110",64,"synthetic",4
"1111",3,"synthetic",4
"0000",76,"synthetic",5
"0001",58,"synthetic",5
"0010",71,"synthetic",5
"0011",63,"synthetic",5
"0100",61,"synthetic",5
"0101",52,"synthetic",5
"0110",69,"synthetic",5
"0111",80,"synthetic",5
"1000",70,"synthetic",5
"1001",73,"synthetic",5
"1010",47,"synthetic",5
"1011",66,"synthetic",5
"1100",78,"synthetic",5
"1101",66,"synthetic",5
"1110",68,"synthetic",5
"1111",2,"synthetic",5
"0000",62,"synthetic",6
"0001",60,"synthetic",6
"0010",84,"synthetic",6
"0011",55,"synthetic",6
"0100",79,"synthetic",6
"0101",90,"synthetic",6
"0110",56,"synthetic",6
"0111",77,"synthetic",6
"1000",81,"synthetic",6
"1001",56,"synthetic",6
"1010",50,"synthetic",6
"1011",69,"synthetic",6
"1100",66,"synthetic",6
"1101",67,"synthetic",6
"1110",47,"synthetic",6
"1111",1,"synthetic",6
"0000",72,"synthetic",7
"0001",67,"synthetic",7
"0010",65,"synthetic",7
"0011",74,"synthetic",7
"0100",65,"synthetic",7
"0101",52,"synthetic",7
"0110",67,"synthetic",7
"0111",82,"synthetic",7
"1000",82,"synthetic",7
"1001",68,"synthetic",7
"1010",39,"synthetic",7
"1011",75,"synthetic",7
"1100",65,"synthetic",7
"1101",59,"synthetic",7
"1110",65,"synthetic",7
"1111",3,"synthetic",7
"0000",52,"synthetic",8
"0001",67,"synthetic",8
"0010",70,"synthetic",8
"0011",57,"synthetic",8
"0100",73,"synthetic",8
"0101",53,"synthetic",8
"0110",65,"synthetic",8
"0111",77,"synthetic",8
"1000",65,"synthetic",8
"1001",75,"synthetic",8
"1010",62,"synthetic",8
"1011",69,"synthetic",8
"1100",88,"synthetic",8
"1101",65,"synthetic",8
"1110",62,"synthetic",8
"0000",64,"synthetic",9
"0001",57,"synthetic",9
"0010",77,"synthetic",9
"0011",68,"synthetic",9
"0100",66,"synthetic",9
"0101",65,"synthetic",9
"0110",64,"synthetic",9
"0111",75,"synthetic",9
"1000",76,"synthetic",9
"1001",78,"synthetic",9
"1010",58,"synthetic",9
"1011",68,"synthetic",9
"1100",70,"synthetic",9
"1101",49,"synthetic",9
"1110",64,"synthetic",9
"1111",1,"synthetic",9
"0000",67,"synthetic",10
"0001",67,"synthetic",10
"0010",74,"synthetic",10
"0011",52,"synthetic",10
"0100",71,"synthetic",10
"0101",71,"synthetic",10
"0110",53,"synthetic",10
"0111",72,"synthetic",10
"1000",73,"synthetic",10
"1001",55,"synthetic",10
"1010",54,"synthetic",10
"1011",81,"synthetic",10
"1100",89,"synthetic",10
"1101",60,"synthetic",10
"1110",60,"synthetic",10
"1111",1,"synthetic",10
