"combine","Freq","type","n"
"0000",57,"synthetic",1
"0001",64,"synthetic",1
"0010",88,"synthetic",1
"0011",62,"synthetic",1
"0100",62,"synthetic",1
"0101",63,"synthetic",1
"0110",75,"synthetic",1
"0111",75,"synthetic",1
"1000",58,"synthetic",1
"1001",64,"synthetic",1
"1010",57,"synthetic",1
"1011",64,"synthetic",1
"1100",102,"synthetic",1
"1101",44,"synthetic",1
"1110",40,"synthetic",1
"1111",25,"synthetic",1
"0000",64,"synthetic",2
"0001",68,"synthetic",2
"0010",91,"synthetic",2
"0011",51,"synthetic",2
"0100",71,"synthetic",2
"0101",79,"synthetic",2
"0110",52,"synthetic",2
"0111",71,"synthetic",2
"1000",59,"synthetic",2
"1001",53,"synthetic",2
"1010",56,"synthetic",2
"1011",71,"synthetic",2
"1100",105,"synthetic",2
"1101",49,"synthetic",2
"1110",47,"synthetic",2
"1111",13,"synthetic",2
"0000",68,"synthetic",3
"0001",60,"synthetic",3
"0010",70,"synthetic",3
"0011",77,"synthetic",3
"0100",72,"synthetic",3
"0101",61,"synthetic",3
"0110",43,"synthetic",3
"0111",87,"synthetic",3
"1000",77,"synthetic",3
"1001",69,"synthetic",3
"1010",56,"synthetic",3
"1011",55,"synthetic",3
"1100",100,"synthetic",3
"1101",44,"synthetic",3
"1110",43,"synthetic",3
"1111",18,"synthetic",3
"0000",74,"synthetic",4
"0001",45,"synthetic",4
"0010",81,"synthetic",4
"0011",41,"synthetic",4
"0100",63,"synthetic",4
"0101",77,"synthetic",4
"0110",68,"synthetic",4
"0111",91,"synthetic",4
"1000",77,"synthetic",4
"1001",73,"synthetic",4
"1010",46,"synthetic",4
"1011",67,"synthetic",4
"1100",96,"synthetic",4
"1101",33,"synthetic",4
"1110",42,"synthetic",4
"1111",26,"synthetic",4
"0000",71,"synthetic",5
"0001",57,"synthetic",5
"0010",74,"synthetic",5
"0011",55,"synthetic",5
"0100",81,"synthetic",5
"0101",48,"synthetic",5
"0110",66,"synthetic",5
"0111",86,"synthetic",5
"1000",80,"synthetic",5
"1001",57,"synthetic",5
"1010",51,"synthetic",5
"1011",83,"synthetic",5
"1100",97,"synthetic",5
"1101",33,"synthetic",5
"1110",47,"synthetic",5
"1111",14,"synthetic",5
"0000",79,"synthetic",6
"0001",50,"synthetic",6
"0010",71,"synthetic",6
"0011",68,"synthetic",6
"0100",54,"synthetic",6
"0101",66,"synthetic",6
"0110",63,"synthetic",6
"0111",79,"synthetic",6
"1000",69,"synthetic",6
"1001",72,"synthetic",6
"1010",56,"synthetic",6
"1011",66,"synthetic",6
"1100",107,"synthetic",6
"1101",33,"synthetic",6
"1110",51,"synthetic",6
"1111",16,"synthetic",6
"0000",76,"synthetic",7
"0001",58,"synthetic",7
"0010",71,"synthetic",7
"0011",63,"synthetic",7
"0100",61,"synthetic",7
"0101",52,"synthetic",7
"0110",69,"synthetic",7
"0111",80,"synthetic",7
"1000",70,"synthetic",7
"1001",73,"synthetic",7
"1010",47,"synthetic",7
"1011",66,"synthetic",7
"1100",102,"synthetic",7
"1101",42,"synthetic",7
"1110",48,"synthetic",7
"1111",22,"synthetic",7
"0000",59,"synthetic",8
"0001",63,"synthetic",8
"0010",84,"synthetic",8
"0011",55,"synthetic",8
"0100",79,"synthetic",8
"0101",90,"synthetic",8
"0110",55,"synthetic",8
"0111",78,"synthetic",8
"1000",81,"synthetic",8
"1001",56,"synthetic",8
"1010",53,"synthetic",8
"1011",66,"synthetic",8
"1100",92,"synthetic",8
"1101",41,"synthetic",8
"1110",37,"synthetic",8
"1111",11,"synthetic",8
"0000",72,"synthetic",9
"0001",67,"synthetic",9
"0010",78,"synthetic",9
"0011",61,"synthetic",9
"0100",65,"synthetic",9
"0101",52,"synthetic",9
"0110",68,"synthetic",9
"0111",81,"synthetic",9
"1000",80,"synthetic",9
"1001",70,"synthetic",9
"1010",39,"synthetic",9
"1011",75,"synthetic",9
"1100",94,"synthetic",9
"1101",30,"synthetic",9
"1110",46,"synthetic",9
"1111",22,"synthetic",9
"0000",52,"synthetic",10
"0001",67,"synthetic",10
"0010",70,"synthetic",10
"0011",57,"synthetic",10
"0100",72,"synthetic",10
"0101",54,"synthetic",10
"0110",65,"synthetic",10
"0111",77,"synthetic",10
"1000",66,"synthetic",10
"1001",74,"synthetic",10
"1010",63,"synthetic",10
"1011",68,"synthetic",10
"1100",107,"synthetic",10
"1101",46,"synthetic",10
"1110",43,"synthetic",10
"1111",19,"synthetic",10
"0000",64,"synthetic",11
"0001",57,"synthetic",11
"0010",77,"synthetic",11
"0011",68,"synthetic",11
"0100",66,"synthetic",11
"0101",65,"synthetic",11
"0110",64,"synthetic",11
"0111",75,"synthetic",11
"1000",69,"synthetic",11
"1001",85,"synthetic",11
"1010",60,"synthetic",11
"1011",66,"synthetic",11
"1100",94,"synthetic",11
"1101",25,"synthetic",11
"1110",50,"synthetic",11
"1111",15,"synthetic",11
"0000",67,"synthetic",12
"0001",67,"synthetic",12
"0010",74,"synthetic",12
"0011",52,"synthetic",12
"0100",70,"synthetic",12
"0101",72,"synthetic",12
"0110",54,"synthetic",12
"0111",71,"synthetic",12
"1000",73,"synthetic",12
"1001",55,"synthetic",12
"1010",57,"synthetic",12
"1011",78,"synthetic",12
"1100",103,"synthetic",12
"1101",46,"synthetic",12
"1110",48,"synthetic",12
"1111",13,"synthetic",12
"0000",79,"synthetic",13
"0001",60,"synthetic",13
"0010",80,"synthetic",13
"0011",71,"synthetic",13
"0100",67,"synthetic",13
"0101",50,"synthetic",13
"0110",63,"synthetic",13
"0111",78,"synthetic",13
"1000",67,"synthetic",13
"1001",56,"synthetic",13
"1010",73,"synthetic",13
"1011",64,"synthetic",13
"1100",106,"synthetic",13
"1101",37,"synthetic",13
"1110",36,"synthetic",13
"1111",13,"synthetic",13
"0000",87,"synthetic",14
"0001",57,"synthetic",14
"0010",71,"synthetic",14
"0011",72,"synthetic",14
"0100",61,"synthetic",14
"0101",86,"synthetic",14
"0110",66,"synthetic",14
"0111",70,"synthetic",14
"1000",66,"synthetic",14
"1001",61,"synthetic",14
"1010",69,"synthetic",14
"1011",55,"synthetic",14
"1100",75,"synthetic",14
"1101",40,"synthetic",14
"1110",39,"synthetic",14
"1111",25,"synthetic",14
"0000",68,"synthetic",15
"0001",68,"synthetic",15
"0010",83,"synthetic",15
"0011",53,"synthetic",15
"0100",76,"synthetic",15
"0101",56,"synthetic",15
"0110",52,"synthetic",15
"0111",78,"synthetic",15
"1000",70,"synthetic",15
"1001",49,"synthetic",15
"1010",58,"synthetic",15
"1011",85,"synthetic",15
"1100",103,"synthetic",15
"1101",45,"synthetic",15
"1110",39,"synthetic",15
"1111",17,"synthetic",15
"0000",83,"synthetic",16
"0001",51,"synthetic",16
"0010",70,"synthetic",16
"0011",51,"synthetic",16
"0100",71,"synthetic",16
"0101",84,"synthetic",16
"0110",59,"synthetic",16
"0111",87,"synthetic",16
"1000",65,"synthetic",16
"1001",60,"synthetic",16
"1010",45,"synthetic",16
"1011",86,"synthetic",16
"1100",84,"synthetic",16
"1101",38,"synthetic",16
"1110",47,"synthetic",16
"1111",19,"synthetic",16
"0000",60,"synthetic",17
"0001",56,"synthetic",17
"0010",71,"synthetic",17
"0011",82,"synthetic",17
"0100",66,"synthetic",17
"0101",60,"synthetic",17
"0110",64,"synthetic",17
"0111",83,"synthetic",17
"1000",85,"synthetic",17
"1001",60,"synthetic",17
"1010",54,"synthetic",17
"1011",63,"synthetic",17
"1100",92,"synthetic",17
"1101",35,"synthetic",17
"1110",49,"synthetic",17
"1111",20,"synthetic",17
"0000",60,"synthetic",18
"0001",68,"synthetic",18
"0010",100,"synthetic",18
"0011",65,"synthetic",18
"0100",68,"synthetic",18
"0101",76,"synthetic",18
"0110",51,"synthetic",18
"0111",66,"synthetic",18
"1000",68,"synthetic",18
"1001",57,"synthetic",18
"1010",61,"synthetic",18
"1011",57,"synthetic",18
"1100",105,"synthetic",18
"1101",28,"synthetic",18
"1110",48,"synthetic",18
"1111",22,"synthetic",18
"0000",75,"synthetic",19
"0001",72,"synthetic",19
"0010",82,"synthetic",19
"0011",73,"synthetic",19
"0100",60,"synthetic",19
"0101",62,"synthetic",19
"0110",64,"synthetic",19
"0111",62,"synthetic",19
"1000",77,"synthetic",19
"1001",71,"synthetic",19
"1010",55,"synthetic",19
"1011",64,"synthetic",19
"1100",90,"synthetic",19
"1101",31,"synthetic",19
"1110",37,"synthetic",19
"1111",25,"synthetic",19
"0000",62,"synthetic",20
"0001",74,"synthetic",20
"0010",83,"synthetic",20
"0011",53,"synthetic",20
"0100",77,"synthetic",20
"0101",71,"synthetic",20
"0110",59,"synthetic",20
"0111",58,"synthetic",20
"1000",75,"synthetic",20
