"combine","Freq","type","n"
"0000",79,"synthetic",1
"0001",89,"synthetic",1
"0010",75,"synthetic",1
"0011",58,"synthetic",1
"0100",75,"synthetic",1
"0101",58,"synthetic",1
"0110",55,"synthetic",1
"0111",57,"synthetic",1
"1000",78,"synthetic",1
"1001",68,"synthetic",1
"1010",52,"synthetic",1
"1011",42,"synthetic",1
"1100",71,"synthetic",1
"1101",41,"synthetic",1
"1110",64,"synthetic",1
"1111",38,"synthetic",1
"0000",83,"synthetic",2
"0001",66,"synthetic",2
"0010",69,"synthetic",2
"0011",63,"synthetic",2
"0100",84,"synthetic",2
"0101",59,"synthetic",2
"0110",73,"synthetic",2
"0111",50,"synthetic",2
"1000",62,"synthetic",2
"1001",67,"synthetic",2
"1010",54,"synthetic",2
"1011",60,"synthetic",2
"1100",56,"synthetic",2
"1101",54,"synthetic",2
"1110",56,"synthetic",2
"1111",44,"synthetic",2
"0000",86,"synthetic",3
"0001",74,"synthetic",3
"0010",70,"synthetic",3
"0011",67,"synthetic",3
"0100",74,"synthetic",3
"0101",50,"synthetic",3
"0110",67,"synthetic",3
"0111",50,"synthetic",3
"1000",74,"synthetic",3
"1001",71,"synthetic",3
"1010",57,"synthetic",3
"1011",47,"synthetic",3
"1100",60,"synthetic",3
"1101",49,"synthetic",3
"1110",64,"synthetic",3
"1111",40,"synthetic",3
"0000",82,"synthetic",4
"0001",63,"synthetic",4
"0010",83,"synthetic",4
"0011",77,"synthetic",4
"0100",62,"synthetic",4
"0101",54,"synthetic",4
"0110",62,"synthetic",4
"0111",57,"synthetic",4
"1000",59,"synthetic",4
"1001",48,"synthetic",4
"1010",54,"synthetic",4
"1011",58,"synthetic",4
"1100",78,"synthetic",4
"1101",48,"synthetic",4
"1110",72,"synthetic",4
"1111",43,"synthetic",4
"0000",81,"synthetic",5
"0001",70,"synthetic",5
"0010",68,"synthetic",5
"0011",74,"synthetic",5
"0100",63,"synthetic",5
"0101",65,"synthetic",5
"0110",72,"synthetic",5
"0111",45,"synthetic",5
"1000",69,"synthetic",5
"1001",49,"synthetic",5
"1010",57,"synthetic",5
"1011",66,"synthetic",5
"1100",62,"synthetic",5
"1101",45,"synthetic",5
"1110",63,"synthetic",5
"1111",51,"synthetic",5
"0000",93,"synthetic",6
"0001",66,"synthetic",6
"0010",62,"synthetic",6
"0011",75,"synthetic",6
"0100",67,"synthetic",6
"0101",66,"synthetic",6
"0110",52,"synthetic",6
"0111",49,"synthetic",6
"1000",72,"synthetic",6
"1001",71,"synthetic",6
"1010",56,"synthetic",6
"1011",49,"synthetic",6
"1100",67,"synthetic",6
"1101",56,"synthetic",6
"1110",46,"synthetic",6
"1111",53,"synthetic",6
"0000",96,"synthetic",7
"0001",63,"synthetic",7
"0010",68,"synthetic",7
"0011",61,"synthetic",7
"0100",70,"synthetic",7
"0101",64,"synthetic",7
"0110",56,"synthetic",7
"0111",52,"synthetic",7
"1000",80,"synthetic",7
"1001",59,"synthetic",7
"1010",65,"synthetic",7
"1011",56,"synthetic",7
"1100",45,"synthetic",7
"1101",56,"synthetic",7
"1110",61,"synthetic",7
"1111",48,"synthetic",7
"0000",79,"synthetic",8
"0001",79,"synthetic",8
"0010",82,"synthetic",8
"0011",66,"synthetic",8
"0100",77,"synthetic",8
"0101",61,"synthetic",8
"0110",58,"synthetic",8
"0111",61,"synthetic",8
"1000",68,"synthetic",8
"1001",55,"synthetic",8
"1010",48,"synthetic",8
"1011",53,"synthetic",8
"1100",58,"synthetic",8
"1101",42,"synthetic",8
"1110",64,"synthetic",8
"1111",49,"synthetic",8
"0000",79,"synthetic",9
"0001",63,"synthetic",9
"0010",86,"synthetic",9
"0011",62,"synthetic",9
"0100",77,"synthetic",9
"0101",56,"synthetic",9
"0110",62,"synthetic",9
"0111",59,"synthetic",9
"1000",58,"synthetic",9
"1001",63,"synthetic",9
"1010",50,"synthetic",9
"1011",50,"synthetic",9
"1100",63,"synthetic",9
"1101",54,"synthetic",9
"1110",58,"synthetic",9
"1111",60,"synthetic",9
"0000",81,"synthetic",10
"0001",59,"synthetic",10
"0010",70,"synthetic",10
"0011",64,"synthetic",10
"0100",59,"synthetic",10
"0101",58,"synthetic",10
"0110",64,"synthetic",10
"0111",59,"synthetic",10
"1000",71,"synthetic",10
"1001",55,"synthetic",10
"1010",60,"synthetic",10
"1011",62,"synthetic",10
"1100",73,"synthetic",10
"1101",50,"synthetic",10
"1110",63,"synthetic",10
"1111",52,"synthetic",10
"0000",72,"synthetic",11
"0001",71,"synthetic",11
"0010",67,"synthetic",11
"0011",64,"synthetic",11
"0100",81,"synthetic",11
"0101",67,"synthetic",11
"0110",64,"synthetic",11
"0111",50,"synthetic",11
"1000",89,"synthetic",11
"1001",47,"synthetic",11
"1010",55,"synthetic",11
"1011",48,"synthetic",11
"1100",57,"synthetic",11
"1101",59,"synthetic",11
"1110",58,"synthetic",11
"1111",51,"synthetic",11
"0000",95,"synthetic",12
"0001",72,"synthetic",12
"0010",68,"synthetic",12
"0011",57,"synthetic",12
"0100",59,"synthetic",12
"0101",66,"synthetic",12
"0110",58,"synthetic",12
"0111",52,"synthetic",12
"1000",66,"synthetic",12
"1001",53,"synthetic",12
"1010",83,"synthetic",12
"1011",54,"synthetic",12
"1100",73,"synthetic",12
"1101",49,"synthetic",12
"1110",54,"synthetic",12
"1111",41,"synthetic",12
"0000",93,"synthetic",13
"0001",65,"synthetic",13
"0010",68,"synthetic",13
"0011",59,"synthetic",13
"0100",71,"synthetic",13
"0101",79,"synthetic",13
"0110",65,"synthetic",13
"0111",48,"synthetic",13
"1000",80,"synthetic",13
"1001",52,"synthetic",13
"1010",52,"synthetic",13
"1011",59,"synthetic",13
"1100",65,"synthetic",13
"1101",51,"synthetic",13
"1110",48,"synthetic",13
"1111",45,"synthetic",13
"0000",87,"synthetic",14
"0001",92,"synthetic",14
"0010",79,"synthetic",14
"0011",53,"synthetic",14
"0100",79,"synthetic",14
"0101",59,"synthetic",14
"0110",71,"synthetic",14
"0111",50,"synthetic",14
"1000",70,"synthetic",14
"1001",64,"synthetic",14
"1010",55,"synthetic",14
"1011",42,"synthetic",14
"1100",57,"synthetic",14
"1101",48,"synthetic",14
"1110",46,"synthetic",14
"1111",48,"synthetic",14
"0000",90,"synthetic",15
"0001",68,"synthetic",15
"0010",79,"synthetic",15
"0011",62,"synthetic",15
"0100",81,"synthetic",15
"0101",56,"synthetic",15
"0110",57,"synthetic",15
"0111",41,"synthetic",15
"1000",75,"synthetic",15
"1001",62,"synthetic",15
"1010",61,"synthetic",15
"1011",53,"synthetic",15
"1100",69,"synthetic",15
"1101",53,"synthetic",15
"1110",47,"synthetic",15
"1111",46,"synthetic",15
"0000",84,"synthetic",16
"0001",75,"synthetic",16
"0010",70,"synthetic",16
"0011",66,"synthetic",16
"0100",77,"synthetic",16
"0101",61,"synthetic",16
"0110",63,"synthetic",16
"0111",60,"synthetic",16
"1000",46,"synthetic",16
"1001",67,"synthetic",16
"1010",50,"synthetic",16
"1011",46,"synthetic",16
"1100",80,"synthetic",16
"1101",53,"synthetic",16
"1110",55,"synthetic",16
"1111",47,"synthetic",16
"0000",76,"synthetic",17
"0001",78,"synthetic",17
"0010",66,"synthetic",17
"0011",58,"synthetic",17
"0100",82,"synthetic",17
"0101",60,"synthetic",17
"0110",74,"synthetic",17
"0111",48,"synthetic",17
"1000",68,"synthetic",17
"1001",58,"synthetic",17
"1010",66,"synthetic",17
"1011",63,"synthetic",17
"1100",53,"synthetic",17
"1101",51,"synthetic",17
"1110",61,"synthetic",17
"1111",38,"synthetic",17
"0000",100,"synthetic",18
"0001",66,"synthetic",18
"0010",72,"synthetic",18
"0011",65,"synthetic",18
"0100",73,"synthetic",18
"0101",76,"synthetic",18
"0110",63,"synthetic",18
"0111",39,"synthetic",18
"1000",57,"synthetic",18
"1001",53,"synthetic",18
"1010",73,"synthetic",18
"1011",64,"synthetic",18
"1100",52,"synthetic",18
"1101",49,"synthetic",18
"1110",61,"synthetic",18
"1111",37,"synthetic",18
"0000",80,"synthetic",19
"0001",67,"synthetic",19
"0010",79,"synthetic",19
"0011",64,"synthetic",19
"0100",70,"synthetic",19
"0101",62,"synthetic",19
"0110",67,"synthetic",19
"0111",61,"synthetic",19
"1000",73,"synthetic",19
"1001",54,"synthetic",19
"1010",57,"synthetic",19
"1011",50,"synthetic",19
"1100",54,"synthetic",19
"1101",44,"synthetic",19
"1110",68,"synthetic",19
"1111",50,"synthetic",19
"0000",92,"synthetic",20
"0001",57,"synthetic",20
"0010",77,"synthetic",20
"0011",61,"synthetic",20
"0100",83,"synthetic",20
"0101",67,"synthetic",20
"0110",53,"synthetic",20
"0111",47,"synthetic",20
"1000",68,"synthetic",20
"1001",62,"synthetic",20
"1010",56,"synthetic",20
"1011",54,"synthetic",20
"1100",71,"synthetic",20
"1101",54,"synthetic",20
"1110",57,"synthetic",20
"1111",41,"synthetic",20
"0000",78,"synthetic",21
"0001",79,"synthetic",21
"0010",74,"synthetic",21
"0011",71,"synthetic",21
"0100",81,"synthetic",21
"0101",73,"synthetic",21
"0110",64,"synthetic",21
"0111",43,"synthetic",21
"1000",70,"synthetic",21
"1001",60,"synthetic",21
"1010",60,"synthetic",21
"1011",40,"synthetic",21
"1100",66,"synthetic",21
"1101",47,"synthetic",21
"1110",46,"synthetic",21
"1111",48,"synthetic",21
"0000",81,"synthetic",22
"0001",53,"synthetic",22
"0010",69,"synthetic",22
"0011",62,"synthetic",22
"0100",79,"synthetic",22
"0101",77,"synthetic",22
"0110",61,"synthetic",22
"0111",55,"synthetic",22
"1000",66,"synthetic",22
"1001",59,"synthetic",22
"1010",72,"synthetic",22
"1011",49,"synthetic",22
"1100",69,"synthetic",22
"1101",59,"synthetic",22
"1110",49,"synthetic",22
"1111",40,"synthetic",22
"0000",77,"synthetic",23
"0001",79,"synthetic",23
"0010",79,"synthetic",23
"0011",61,"synthetic",23
"0100",63,"synthetic",23
"0101",55,"synthetic",23
"0110",65,"synthetic",23
"0111",57,"synthetic",23
"1000",69,"synthetic",23
"1001",50,"synthetic",23
"1010",79,"synthetic",23
"1011",51,"synthetic",23
"1100",51,"synthetic",23
"1101",51,"synthetic",23
"1110",71,"synthetic",23
"1111",42,"synthetic",23
"0000",75,"synthetic",24
"0001",91,"synthetic",24
"0010",78,"synthetic",24
"0011",45,"synthetic",24
"0100",81,"synthetic",24
"0101",52,"synthetic",24
"0110",62,"synthetic",24
"0111",48,"synthetic",24
"1000",75,"synthetic",24
"1001",63,"synthetic",24
"1010",69,"synthetic",24
"1011",50,"synthetic",24
"1100",60,"synthetic",24
"1101",63,"synthetic",24
"1110",33,"synthetic",24
"1111",55,"synthetic",24
"0000",78,"synthetic",25
"0001",69,"synthetic",25
"0010",80,"synthetic",25
"0011",52,"synthetic",25
"0100",72,"synthetic",25
"0101",60,"synthetic",25
"0110",76,"synthetic",25
"0111",64,"synthetic",25
"1000",72,"synthetic",25
"1001",57,"synthetic",25
"1010",66,"synthetic",25
"1011",43,"synthetic",25
"1100",73,"synthetic",25
"1101",48,"synthetic",25
"1110",44,"synthetic",25
"1111",46,"synthetic",25
"0000",71,"synthetic",26
"0001",72,"synthetic",26
"0010",68,"synthetic",26
"0011",59,"synthetic",26
"0100",64,"synthetic",26
"0101",68,"synthetic",26
"0110",56,"synthetic",26
"0111",61,"synthetic",26
"1000",80,"synthetic",26
"1001",42,"synthetic",26
"1010",61,"synthetic",26
"1011",46,"synthetic",26
"1100",88,"synthetic",26
"1101",58,"synthetic",26
"1110",61,"synthetic",26
"1111",45,"synthetic",26
"0000",75,"synthetic",27
"0001",70,"synthetic",27
"0010",77,"synthetic",27
"0011",65,"synthetic",27
