"combine","Freq","type","n","cp"
"0000",66,"synthetic",1,"0.00000001"
"0001",53,"synthetic",1,"0.00000001"
"0010",71,"synthetic",1,"0.00000001"
"0011",51,"synthetic",1,"0.00000001"
"0100",63,"synthetic",1,"0.00000001"
"0101",77,"synthetic",1,"0.00000001"
"0110",68,"synthetic",1,"0.00000001"
"0111",91,"synthetic",1,"0.00000001"
"1000",84,"synthetic",1,"0.00000001"
"1001",66,"synthetic",1,"0.00000001"
"1010",54,"synthetic",1,"0.00000001"
"1011",59,"synthetic",1,"0.00000001"
"1100",77,"synthetic",1,"0.00000001"
"1101",52,"synthetic",1,"0.00000001"
"1110",68,"synthetic",1,"0.00000001"
"0000",71,"synthetic",2,"0.00000001"
"0001",57,"synthetic",2,"0.00000001"
"0010",73,"synthetic",2,"0.00000001"
"0011",56,"synthetic",2,"0.00000001"
"0100",80,"synthetic",2,"0.00000001"
"0101",49,"synthetic",2,"0.00000001"
"0110",66,"synthetic",2,"0.00000001"
"0111",86,"synthetic",2,"0.00000001"
"1000",80,"synthetic",2,"0.00000001"
"1001",57,"synthetic",2,"0.00000001"
"1010",57,"synthetic",2,"0.00000001"
"1011",77,"synthetic",2,"0.00000001"
"1100",76,"synthetic",2,"0.00000001"
"1101",54,"synthetic",2,"0.00000001"
"1110",60,"synthetic",2,"0.00000001"
"1111",1,"synthetic",2,"0.00000001"
"0000",73,"synthetic",3,"0.00000001"
"0001",56,"synthetic",3,"0.00000001"
"0010",71,"synthetic",3,"0.00000001"
"0011",68,"synthetic",3,"0.00000001"
"0100",54,"synthetic",3,"0.00000001"
"0101",66,"synthetic",3,"0.00000001"
"0110",61,"synthetic",3,"0.00000001"
"0111",81,"synthetic",3,"0.00000001"
"1000",73,"synthetic",3,"0.00000001"
"1001",68,"synthetic",3,"0.00000001"
"1010",51,"synthetic",3,"0.00000001"
"1011",71,"synthetic",3,"0.00000001"
"1100",83,"synthetic",3,"0.00000001"
"1101",57,"synthetic",3,"0.00000001"
"1110",64,"synthetic",3,"0.00000001"
"1111",3,"synthetic",3,"0.00000001"
"0000",76,"synthetic",4,"0.00000001"
"0001",58,"synthetic",4,"0.00000001"
"0010",71,"synthetic",4,"0.00000001"
"0011",63,"synthetic",4,"0.00000001"
"0100",61,"synthetic",4,"0.00000001"
"0101",52,"synthetic",4,"0.00000001"
"0110",69,"synthetic",4,"0.00000001"
"0111",80,"synthetic",4,"0.00000001"
"1000",70,"synthetic",4,"0.00000001"
"1001",73,"synthetic",4,"0.00000001"
"1010",47,"synthetic",4,"0.00000001"
"1011",66,"synthetic",4,"0.00000001"
"1100",78,"synthetic",4,"0.00000001"
"1101",66,"synthetic",4,"0.00000001"
"1110",68,"synthetic",4,"0.00000001"
"1111",2,"synthetic",4,"0.00000001"
"0000",62,"synthetic",5,"0.00000001"
"0001",60,"synthetic",5,"0.00000001"
"0010",84,"synthetic",5,"0.00000001"
"0011",55,"synthetic",5,"0.00000001"
"0100",79,"synthetic",5,"0.00000001"
"0101",90,"synthetic",5,"0.00000001"
"0110",56,"synthetic",5,"0.00000001"
"0111",77,"synthetic",5,"0.00000001"
"1000",81,"synthetic",5,"0.00000001"
"1001",56,"synthetic",5,"0.00000001"
"1010",50,"synthetic",5,"0.00000001"
"1011",69,"synthetic",5,"0.00000001"
"1100",66,"synthetic",5,"0.00000001"
"1101",67,"synthetic",5,"0.00000001"
"1110",47,"synthetic",5,"0.00000001"
"1111",1,"synthetic",5,"0.00000001"
"0000",72,"synthetic",6,"0.00000001"
"0001",67,"synthetic",6,"0.00000001"
"0010",65,"synthetic",6,"0.00000001"
"0011",74,"synthetic",6,"0.00000001"
"0100",65,"synthetic",6,"0.00000001"
"0101",52,"synthetic",6,"0.00000001"
"0110",67,"synthetic",6,"0.00000001"
"0111",82,"synthetic",6,"0.00000001"
"1000",82,"synthetic",6,"0.00000001"
"1001",68,"synthetic",6,"0.00000001"
"1010",39,"synthetic",6,"0.00000001"
"1011",75,"synthetic",6,"0.00000001"
"1100",65,"synthetic",6,"0.00000001"
"1101",59,"synthetic",6,"0.00000001"
"1110",65,"synthetic",6,"0.00000001"
"1111",3,"synthetic",6,"0.00000001"
"0000",52,"synthetic",7,"0.00000001"
"0001",67,"synthetic",7,"0.00000001"
"0010",70,"synthetic",7,"0.00000001"
"0011",57,"synthetic",7,"0.00000001"
"0100",73,"synthetic",7,"0.00000001"
"0101",53,"synthetic",7,"0.00000001"
"0110",65,"synthetic",7,"0.00000001"
"0111",77,"synthetic",7,"0.00000001"
"1000",65,"synthetic",7,"0.00000001"
"1001",75,"synthetic",7,"0.00000001"
"1010",62,"synthetic",7,"0.00000001"
"1011",69,"synthetic",7,"0.00000001"
"1100",88,"synthetic",7,"0.00000001"
"1101",65,"synthetic",7,"0.00000001"
"1110",62,"synthetic",7,"0.00000001"
"0000",64,"synthetic",8,"0.00000001"
"0001",57,"synthetic",8,"0.00000001"
"0010",77,"synthetic",8,"0.00000001"
"0011",68,"synthetic",8,"0.00000001"
"0100",66,"synthetic",8,"0.00000001"
"0101",65,"synthetic",8,"0.00000001"
"0110",64,"synthetic",8,"0.00000001"
"0111",75,"synthetic",8,"0.00000001"
"1000",76,"synthetic",8,"0.00000001"
"1001",78,"synthetic",8,"0.00000001"
"1010",58,"synthetic",8,"0.00000001"
"1011",68,"synthetic",8,"0.00000001"
"1100",70,"synthetic",8,"0.00000001"
"1101",49,"synthetic",8,"0.00000001"
"1110",64,"synthetic",8,"0.00000001"
"1111",1,"synthetic",8,"0.00000001"
"0000",67,"synthetic",9,"0.00000001"
"0001",67,"synthetic",9,"0.00000001"
"0010",74,"synthetic",9,"0.00000001"
"0011",52,"synthetic",9,"0.00000001"
"0100",71,"synthetic",9,"0.00000001"
"0101",71,"synthetic",9,"0.00000001"
"0110",53,"synthetic",9,"0.00000001"
"0111",72,"synthetic",9,"0.00000001"
"1000",73,"synthetic",9,"0.00000001"
"1001",55,"synthetic",9,"0.00000001"
"1010",54,"synthetic",9,"0.00000001"
"1011",81,"synthetic",9,"0.00000001"
"1100",89,"synthetic",9,"0.00000001"
"1101",60,"synthetic",9,"0.00000001"
"1110",60,"synthetic",9,"0.00000001"
"1111",1,"synthetic",9,"0.00000001"
"0000",83,"synthetic",10,"0.00000001"
"0001",56,"synthetic",10,"0.00000001"
"0010",80,"synthetic",10,"0.00000001"
"0011",71,"synthetic",10,"0.00000001"
"0100",67,"synthetic",10,"0.00000001"
"0101",50,"synthetic",10,"0.00000001"
"0110",63,"synthetic",10,"0.00000001"
"0111",78,"synthetic",10,"0.00000001"
"1000",67,"synthetic",10,"0.00000001"
"1001",56,"synthetic",10,"0.00000001"
"1010",73,"synthetic",10,"0.00000001"
"1011",64,"synthetic",10,"0.00000001"
"1100",85,"synthetic",10,"0.00000001"
"1101",58,"synthetic",10,"0.00000001"
"1110",49,"synthetic",10,"0.00000001"
"0000",87,"synthetic",1,"0.0001"
"0001",57,"synthetic",1,"0.0001"
"0010",69,"synthetic",1,"0.0001"
"0011",74,"synthetic",1,"0.0001"
"0100",66,"synthetic",1,"0.0001"
"0101",81,"synthetic",1,"0.0001"
"0110",63,"synthetic",1,"0.0001"
"0111",73,"synthetic",1,"0.0001"
"1000",63,"synthetic",1,"0.0001"
"1001",64,"synthetic",1,"0.0001"
"1010",67,"synthetic",1,"0.0001"
