"combine","Freq","type","n","mb"
"0000",56,"synthetic",1,5
"0001",65,"synthetic",1,5
"0010",87,"synthetic",1,5
"0011",63,"synthetic",1,5
"0100",63,"synthetic",1,5
"0101",62,"synthetic",1,5
"0110",77,"synthetic",1,5
"0111",73,"synthetic",1,5
"1000",59,"synthetic",1,5
"1001",63,"synthetic",1,5
"1010",60,"synthetic",1,5
"1011",61,"synthetic",1,5
"1100",77,"synthetic",1,5
"1101",69,"synthetic",1,5
"1110",65,"synthetic",1,5
"0000",67,"synthetic",2,5
"0001",65,"synthetic",2,5
"0010",91,"synthetic",2,5
"0011",51,"synthetic",2,5
"0100",79,"synthetic",2,5
"0101",71,"synthetic",2,5
"0110",53,"synthetic",2,5
"0111",70,"synthetic",2,5
"1000",59,"synthetic",2,5
"1001",53,"synthetic",2,5
"1010",56,"synthetic",2,5
"1011",71,"synthetic",2,5
"1100",90,"synthetic",2,5
"1101",64,"synthetic",2,5
"1110",60,"synthetic",2,5
"0000",68,"synthetic",3,5
"0001",60,"synthetic",3,5
"0010",77,"synthetic",3,5
"0011",70,"synthetic",3,5
"0100",73,"synthetic",3,5
"0101",60,"synthetic",3,5
"0110",58,"synthetic",3,5
"0111",72,"synthetic",3,5
"1000",77,"synthetic",3,5
"1001",69,"synthetic",3,5
"1010",50,"synthetic",3,5
"1011",61,"synthetic",3,5
"1100",79,"synthetic",3,5
"1101",65,"synthetic",3,5
"1110",60,"synthetic",3,5
"1111",1,"synthetic",3,5
"0000",66,"synthetic",4,5
"0001",53,"synthetic",4,5
"0010",71,"synthetic",4,5
"0011",51,"synthetic",4,5
"0100",63,"synthetic",4,5
"0101",77,"synthetic",4,5
"0110",68,"synthetic",4,5
"0111",91,"synthetic",4,5
"1000",84,"synthetic",4,5
"1001",66,"synthetic",4,5
"1010",54,"synthetic",4,5
"1011",59,"synthetic",4,5
"1100",77,"synthetic",4,5
"1101",52,"synthetic",4,5
"1110",68,"synthetic",4,5
"0000",71,"synthetic",5,5
"0001",57,"synthetic",5,5
"0010",73,"synthetic",5,5
"0011",56,"synthetic",5,5
"0100",80,"synthetic",5,5
"0101",49,"synthetic",5,5
"0110",66,"synthetic",5,5
"0111",86,"synthetic",5,5
"1000",80,"synthetic",5,5
"1001",57,"synthetic",5,5
"1010",57,"synthetic",5,5
"1011",77,"synthetic",5,5
"1100",76,"synthetic",5,5
"1101",54,"synthetic",5,5
"1110",60,"synthetic",5,5
"1111",1,"synthetic",5,5
"0000",73,"synthetic",6,5
"0001",56,"synthetic",6,5
"0010",71,"synthetic",6,5
"0011",68,"synthetic",6,5
"0100",54,"synthetic",6,5
"0101",66,"synthetic",6,5
"0110",61,"synthetic",6,5
