"combine","Freq","type","n"
"0000",64,"synthetic",1
"0001",54,"synthetic",1
"0010",80,"synthetic",1
"0011",65,"synthetic",1
"0100",64,"synthetic",1
"0101",68,"synthetic",1
"0110",78,"synthetic",1
"0111",73,"synthetic",1
"1000",50,"synthetic",1
"1001",81,"synthetic",1
"1010",46,"synthetic",1
"1011",68,"synthetic",1
"1100",85,"synthetic",1
"1101",60,"synthetic",1
"1110",64,"synthetic",1
"0000",86,"synthetic",2
"0001",62,"synthetic",2
"0010",79,"synthetic",2
"0011",65,"synthetic",2
"0100",65,"synthetic",2
"0101",65,"synthetic",2
"0110",63,"synthetic",2
"0111",62,"synthetic",2
"1000",69,"synthetic",2
"1001",72,"synthetic",2
"1010",57,"synthetic",2
"1011",64,"synthetic",2
"1100",82,"synthetic",2
"1101",57,"synthetic",2
"1110",50,"synthetic",2
"1111",2,"synthetic",2
"0000",76,"synthetic",3
"0001",61,"synthetic",3
"0010",70,"synthetic",3
"0011",76,"synthetic",3
"0100",66,"synthetic",3
"0101",68,"synthetic",3
"0110",63,"synthetic",3
"0111",58,"synthetic",3
"1000",51,"synthetic",3
"1001",69,"synthetic",3
"1010",64,"synthetic",3
"1011",78,"synthetic",3
"1100",82,"synthetic",3
"1101",54,"synthetic",3
"1110",64,"synthetic",3
"0000",61,"synthetic",4
"0001",59,"synthetic",4
"0010",72,"synthetic",4
"0011",68,"synthetic",4
"0100",66,"synthetic",4
"0101",81,"synthetic",4
"0110",74,"synthetic",4
"0111",59,"synthetic",4
"1000",72,"synthetic",4
"1001",69,"synthetic",4
"1010",50,"synthetic",4
"1011",62,"synthetic",4
"1100",67,"synthetic",4
"1101",62,"synthetic",4
"1110",77,"synthetic",4
"1111",1,"synthetic",4
"0000",72,"synthetic",5
"0001",56,"synthetic",5
"0010",71,"synthetic",5
"0011",57,"synthetic",5
"0100",72,"synthetic",5
"0101",66,"synthetic",5
"0110",80,"synthetic",5
"0111",64,"synthetic",5
"1000",73,"synthetic",5
"1001",69,"synthetic",5
"1010",57,"synthetic",5
"1011",65,"synthetic",5
"1100",85,"synthetic",5
"1101",50,"synthetic",5
"1110",62,"synthetic",5
"1111",1,"synthetic",5
"0000",58,"synthetic",6
"0001",65,"synthetic",6
"0010",57,"synthetic",6
"0011",58,"synthetic",6
"0100",79,"synthetic",6
"0101",67,"synthetic",6
"0110",76,"synthetic",6
"0111",70,"synthetic",6
"1000",67,"synthetic",6
"1001",80,"synthetic",6
"1010",44,"synthetic",6
"1011",71,"synthetic",6
"1100",74,"synthetic",6
"1101",61,"synthetic",6
"1110",73,"synthetic",6
"0000",63,"synthetic",7
"0001",74,"synthetic",7
"0010",74,"synthetic",7
"0011",77,"synthetic",7
"0100",70,"synthetic",7
"0101",58,"synthetic",7
"0110",48,"synthetic",7
"0111",66,"synthetic",7
"1000",72,"synthetic",7
"1001",74,"synthetic",7
"1010",58,"synthetic",7
"1011",50,"synthetic",7
"1100",74,"synthetic",7
"1101",64,"synthetic",7
"1110",77,"synthetic",7
"1111",1,"synthetic",7
"0000",71,"synthetic",8
"0001",62,"synthetic",8
"0010",85,"synthetic",8
"0011",56,"synthetic",8
"0100",68,"synthetic",8
"0101",61,"synthetic",8
"0110",80,"synthetic",8
"0111",80,"synthetic",8
"1000",56,"synthetic",8
"1001",65,"synthetic",8
"1010",50,"synthetic",8
"1011",64,"synthetic",8
"1100",69,"synthetic",8
"1101",62,"synthetic",8
"1110",71,"synthetic",8
"0000",62,"synthetic",9
"0001",73,"synthetic",9
"0010",67,"synthetic",9
"0011",56,"synthetic",9
"0100",67,"synthetic",9
"0101",83,"synthetic",9
"0110",66,"synthetic",9
"0111",70,"synthetic",9
"1000",63,"synthetic",9
"1001",68,"synthetic",9
"1010",68,"synthetic",9
"1011",56,"synthetic",9
"1100",75,"synthetic",9
"1101",57,"synthetic",9
"1110",68,"synthetic",9
"1111",1,"synthetic",9
"0000",56,"synthetic",10
"0001",64,"synthetic",10
"0010",71,"synthetic",10
"0011",65,"synthetic",10
"0100",73,"synthetic",10
"0101",60,"synthetic",10
"0110",69,"synthetic",10
"0111",56,"synthetic",10
"1000",74,"synthetic",10
"1001",59,"synthetic",10
"1010",64,"synthetic",10
"1011",61,"synthetic",10
"1100",76,"synthetic",10
"1101",79,"synthetic",10
"1110",69,"synthetic",10
"1111",4,"synthetic",10
