"combine","Freq","type","n","unique"
"0000",33,"synthetic",1,"0000"
"0001",54,"synthetic",1,"0000"
"0010",66,"synthetic",1,"0000"
"0011",51,"synthetic",1,"0000"
"0100",34,"synthetic",1,"0000"
"0101",75,"synthetic",1,"0000"
"0110",86,"synthetic",1,"0000"
"0111",54,"synthetic",1,"0000"
"1000",65,"synthetic",1,"0000"
"1001",55,"synthetic",1,"0000"
"1010",69,"synthetic",1,"0000"
"1011",52,"synthetic",1,"0000"
"1100",75,"synthetic",1,"0000"
"1101",77,"synthetic",1,"0000"
"1110",68,"synthetic",1,"0000"
"1111",85,"synthetic",1,"0000"
"0000",70,"original",1,"0000"
"0001",61,"original",1,"0000"
"0010",67,"original",1,"0000"
"0011",53,"original",1,"0000"
"0100",77,"original",1,"0000"
"0101",74,"original",1,"0000"
"0110",67,"original",1,"0000"
"0111",80,"original",1,"0000"
"1000",54,"original",1,"0000"
"1001",65,"original",1,"0000"
"1010",93,"original",1,"0000"
"1011",60,"original",1,"0000"
"1100",64,"original",1,"0000"
"1101",56,"original",1,"0000"
"1110",58,"original",1,"0000"
"1111",1,"original",1,"0000"
"0000",35,"synthetic",1,"1000"
"0001",86,"synthetic",1,"1000"
"0010",79,"synthetic",1,"1000"
"0011",99,"synthetic",1,"1000"
"0100",62,"synthetic",1,"1000"
"0101",54,"synthetic",1,"1000"
"0110",46,"synthetic",1,"1000"
"0111",63,"synthetic",1,"1000"
"1000",24,"synthetic",1,"1000"
"1001",71,"synthetic",1,"1000"
"1010",60,"synthetic",1,"1000"
"1011",60,"synthetic",1,"1000"
"1100",72,"synthetic",1,"1000"
"1101",86,"synthetic",1,"1000"
"1110",60,"synthetic",1,"1000"
"1111",42,"synthetic",1,"1000"
"0000",70,"original",1,"1000"
"0001",61,"original",1,"1000"
"0010",67,"original",1,"1000"
"0011",53,"original",1,"1000"
"0100",77,"original",1,"1000"
"0101",74,"original",1,"1000"
"0110",67,"original",1,"1000"
"0111",80,"original",1,"1000"
"1000",54,"original",1,"1000"
"1001",65,"original",1,"1000"
"1010",93,"original",1,"1000"
"1011",60,"original",1,"1000"
"1100",64,"original",1,"1000"
