"combine","Freq","type","n","unique"
"0000",69,"synthetic",1,"0000"
"0001",59,"synthetic",1,"0000"
"0010",69,"synthetic",1,"0000"
"0011",69,"synthetic",1,"0000"
"0100",69,"synthetic",1,"0000"
"0101",53,"synthetic",1,"0000"
"0110",81,"synthetic",1,"0000"
"0111",77,"synthetic",1,"0000"
"1000",48,"synthetic",1,"0000"
"1001",83,"synthetic",1,"0000"
"1010",48,"synthetic",1,"0000"
"1011",66,"synthetic",1,"0000"
"1100",86,"synthetic",1,"0000"
"1101",60,"synthetic",1,"0000"
"1110",63,"synthetic",1,"0000"
"0000",70,"original",1,"0000"
"0001",60,"original",1,"0000"
"0010",79,"original",1,"0000"
"0011",62,"original",1,"0000"
"0100",68,"original",1,"0000"
"0101",64,"original",1,"0000"
"0110",60,"original",1,"0000"
"0111",75,"original",1,"0000"
"1000",74,"original",1,"0000"
"1001",63,"original",1,"0000"
"1010",54,"original",1,"0000"
"1011",69,"original",1,"0000"
"1100",77,"original",1,"0000"
"1101",59,"original",1,"0000"
"1110",66,"original",1,"0000"
"0000",80,"synthetic",1,"1000"
"0001",70,"synthetic",1,"1000"
"0010",81,"synthetic",1,"1000"
"0011",61,"synthetic",1,"1000"
"0100",65,"synthetic",1,"1000"
"0101",63,"synthetic",1,"1000"
"0110",66,"synthetic",1,"1000"
"0111",61,"synthetic",1,"1000"
"1000",68,"synthetic",1,"1000"
"1001",74,"synthetic",1,"1000"
"1010",59,"synthetic",1,"1000"
"1011",61,"synthetic",1,"1000"
"1100",83,"synthetic",1,"1000"
"1101",56,"synthetic",1,"1000"
"1110",52,"synthetic",1,"1000"
"0000",69,"original",1,"1000"
"0001",60,"original",1,"1000"
"0010",79,"original",1,"1000"
"0011",62,"original",1,"1000"
"0100",68,"original",1,"1000"
"0101",64,"original",1,"1000"
"0110",60,"original",1,"1000"
"0111",75,"original",1,"1000"
"1000",75,"original",1,"1000"
"1001",63,"original",1,"1000"
"1010",54,"original",1,"1000"
"1011",69,"original",1,"1000"
"1100",77,"original",1,"1000"
"1101",59,"original",1,"1000"
"1110",66,"original",1,"1000"
"0000",80,"synthetic",1,"0100"
"0001",65,"synthetic",1,"0100"
"0010",70,"synthetic",1,"0100"
"0011",68,"synthetic",1,"0100"
"0100",61,"synthetic",1,"0100"
"0101",67,"synthetic",1,"0100"
"0110",64,"synthetic",1,"0100"
"0111",63,"synthetic",1,"0100"
"1000",49,"synthetic",1,"0100"
"1001",71,"synthetic",1,"0100"
"1010",65,"synthetic",1,"0100"
"1011",77,"synthetic",1,"0100"
"1100",84,"synthetic",1,"0100"
"1101",54,"synthetic",1,"0100"
"1110",62,"synthetic",1,"0100"
"0000",69,"original",1,"0100"
"0001",60,"original",1,"0100"
"0010",79,"original",1,"0100"
"0011",62,"original",1,"0100"
"0100",69,"original",1,"0100"
"0101",64,"original",1,"0100"
"0110",60,"original",1,"0100"
"0111",75,"original",1,"0100"
"1000",74,"original",1,"0100"
"1001",63,"original",1,"0100"
"1010",54,"original",1,"0100"
"1011",69,"original",1,"0100"
"1100",77,"original",1,"0100"
"1101",59,"original",1,"0100"
"1110",66,"original",1,"0100"
"0000",61,"synthetic",1,"1100"
"0001",59,"synthetic",1,"1100"
"0010",72,"synthetic",1,"1100"
"0011",68,"synthetic",1,"1100"
"0100",66,"synthetic",1,"1100"
"0101",81,"synthetic",1,"1100"
