"epochs","discriminator","frequency","batch","copies","roc_bivar"
300,1,"False",500,1,0.899179974821584
300,1,"False",500,5,0.937660831456899
300,1,"False",500,10,0.963985912412115
300,1,"False",1000,1,0.93753545436277
300,1,"False",1000,5,0.936620760581616
300,1,"False",1000,10,0.964627167628556
300,1,"True",500,1,0.873179219596634
300,1,"True",500,5,0.882543918917292
300,1,"True",500,10,0.946087175238997
300,1,"True",1000,1,0.898728426535346
300,1,"True",1000,5,0.926891806096367
300,1,"True",1000,10,0.962573476125321
300,5,"False",500,1,0.945531149188204
300,5,"False",500,5,0.96513749300376
300,5,"False",500,10,0.951527705691641
300,5,"False",1000,1,0.917932250808574
300,5,"False",1000,5,0.953349884009234
300,5,"False",1000,10,0.974731870338115
300,5,"True",500,1,0.860538077690591
300,5,"True",500,5,0.955798333909739
300,5,"True",500,10,0.94556487122635
300,5,"True",1000,1,0.858976031835879
300,5,"True",1000,5,0.934120881661124
300,5,"True",1000,10,0.963382441435927
300,10,"False",500,1,0.93314138697545
300,10,"False",500,5,0.957491959505206
300,10,"False",500,10,0.961000824978909
300,10,"False",1000,1,0.911297937121976
300,10,"False",1000,5,0.937178657340153
300,10,"False",1000,10,0.957129285544161
300,10,"True",500,1,0.901772957543753
300,10,"True",500,5,0.95333596667759
300,10,"True",500,10,0.945233113758905
300,10,"True",1000,1,0.888443787560895
300,10,"True",1000,5,0.943357476507299
300,10,"True",1000,10,0.956860617630613
600,1,"False",500,1,0.82467559340469
600,1,"False",500,5,0.955507537028196
600,1,"False",500,10,0.93313472134082
600,1,"False",1000,1,0.770911796849471
600,1,"False",1000,5,0.960661862193463
600,1,"False",1000,10,0.967264556299095
600,1,"True",500,1,0.786540492245279
600,1,"True",500,5,0.942056927142058
600,1,"True",500,10,0.921742594735918
600,1,"True",1000,1,0.767725100322703
600,1,"True",1000,5,0.883097704080472
600,1,"True",1000,10,0.942951538902648
600,5,"False",500,1,0.902784668442572
600,5,"False",500,5,0.948804443022954
600,5,"False",500,10,0.957220048152744
600,5,"False",1000,1,0.890367005863263
600,5,"False",1000,5,0.947434645274856
600,5,"False",1000,10,0.957262214355187
600,5,"True",500,1,0.874929696323396
600,5,"True",500,5,0.928027576032006
600,5,"True",500,10,0.943552155485579
600,5,"True",1000,1,0.864242540663305
600,5,"True",1000,5,0.906527601855221
600,5,"True",1000,10,0.957164784075274
600,10,"False",500,1,0.930960873518521
600,10,"False",500,5,0.948286246994577
600,10,"False",500,10,0.96588444354678
600,10,"False",1000,1,0.896062425209317
600,10,"False",1000,5,0.959569193186414
600,10,"False",1000,10,0.948859131683655
600,10,"True",500,1,0.903481385250311
600,10,"True",500,5,0.934526337221476
600,10,"True",500,10,0.953908566723206
600,10,"True",1000,1,0.894440904918058
600,10,"True",1000,5,0.941517519898917
600,10,"True",1000,10,0.948829656470818
900,1,"False",500,1,0.865711364040022
900,1,"False",500,5,0.94285582215583
900,1,"False",500,10,0.940758126898734
900,1,"False",1000,1,0.884059376293081
900,1,"False",1000,5,0.932639949305457
900,1,"False",1000,10,0.944373116525129
900,1,"True",500,1,0.879181076428687
900,1,"True",500,5,0.917951666889842
900,1,"True",500,10,0.915009811298747
900,1,"True",1000,1,0.797012303457415
900,1,"True",1000,5,0.869504348611193
900,1,"True",1000,10,0.927220404189174
900,5,"False",500,1,0.934911107320536
900,5,"False",500,5,0.936655825430292
900,5,"False",500,10,0.952693327044694
900,5,"False",1000,1,0.923327615355173
900,5,"False",1000,5,0.954483391754592
900,5,"False",1000,10,0.959373613676171
900,5,"True",500,1,0.886632843359787
900,5,"True",500,5,0.929981746625292
900,5,"True",500,10,0.961850727819089
900,5,"True",1000,1,0.916302710442386
900,5,"True",1000,5,0.932532016466952
900,5,"True",1000,10,0.949848532683404
900,10,"False",500,1,0.921591374616822
900,10,"False",500,5,0.963551907066717
900,10,"False",500,10,0.970961910040508
900,10,"False",1000,1,0.905185389418721
900,10,"False",1000,5,0.933902633241282
900,10,"False",1000,10,0.973369884501702
900,10,"True",500,1,0.893144436251036
900,10,"True",500,5,0.949497587879811
900,10,"True",500,10,0.958328616153884
900,10,"True",1000,1,0.892803814618526
900,10,"True",1000,5,0.931872102500488
900,10,"True",1000,10,0.973598032350746
