"names","Estimate","Std. Error","dep_var","data","minbucket","cp","copies"
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",5,0.00000001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",5,0.00000001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",5,0.00000001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",5,0.00000001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",10,0.00000001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",10,0.00000001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",10,0.00000001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",10,0.00000001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",25,0.00000001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",25,0.00000001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",25,0.00000001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",25,0.00000001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",50,0.00000001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",50,0.00000001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",50,0.00000001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",50,0.00000001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",5,0.000001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",5,0.000001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",5,0.000001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",5,0.000001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",10,0.000001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",10,0.000001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",10,0.000001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",10,0.000001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",25,0.000001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",25,0.000001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",25,0.000001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",25,0.000001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",50,0.000001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",50,0.000001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",50,0.000001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",50,0.000001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",5,0.0001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",5,0.0001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",5,0.0001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",5,0.0001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",10,0.0001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",10,0.0001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",10,0.0001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",10,0.0001,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",25,0.0001,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",25,0.0001,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",25,0.0001,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",25,0.0001,5
