"cp","minbucket","copies","roc_bivar"
0.00000001,5,1,0.959823641365947
0.00000001,5,5,0.985195687571627
0.00000001,5,10,0.983519042440579
0.00000001,10,1,0.954735169278176
0.00000001,10,5,0.989157129029736
0.00000001,10,10,0.982502864949714
0.00000001,25,1,0.950957475558295
0.00000001,25,5,0.985467951354648
0.00000001,25,10,0.985039042325138
0.00000001,50,1,0.95013731467642
0.00000001,50,5,0.976736873414932
0.00000001,50,10,0.978364424901357
0.000001,5,1,0.975042182586963
0.000001,5,5,0.979200097690368
0.000001,5,10,0.978951312348789
0.000001,10,1,0.955470581612983
0.000001,10,5,0.98346698891277
0.000001,10,10,0.982516521635324
0.000001,25,1,0.968135277187968
0.000001,25,5,0.97854682771852
0.000001,25,10,0.987643437138964
0.000001,50,1,0.953753217783495
0.000001,50,5,0.978282569434617
0.000001,50,10,0.98571498927602
0.0001,5,1,0.941197443224092
0.0001,5,5,0.972699086222413
0.0001,5,10,0.980119314017333
0.0001,10,1,0.95891562243654
0.0001,10,5,0.977203213232191
0.0001,10,10,0.980681579024965
0.0001,25,1,0.954972801574882
0.0001,25,5,0.973011321576816
0.0001,25,10,0.984909423576097
0.0001,50,1,0.963647523675277
0.0001,50,5,0.980732142810309
0.0001,50,10,0.981799387050507
0.01,5,1,0.954614868166861
0.01,5,5,0.977547976096062
0.01,5,10,0.986808814158361
0.01,10,1,0.95521224298966
0.01,10,5,0.982404308089419
0.01,10,10,0.98534546489722
0.01,25,1,0.960996636059294
0.01,25,5,0.977148724941649
0.01,25,10,0.988038526067821
0.01,50,1,0.982567946527184
0.01,50,5,0.985528312301524
0.01,50,10,0.985039324740673
