"cp","minbucket","copies","roc_univar"
"0.000001","50","1",0.967125139339632
"0.00000001","10","1",0.96716436930773
"0.0001","5","1",0.970490412652521
"0.01","10","1",0.970995540909604
"0.00000001","50","1",0.971613086076059
"0.0001","10","5",0.973407446430553
"0.0001","25","1",0.975912838580155
"0.0001","50","1",0.976371388008537
"0.000001","10","1",0.976443626665897
"0.00000001","25","1",0.9769651146191
"0.0001","10","1",0.977330041936345
"0.01","5","1",0.978288326336824
"0.00000001","5","1",0.978357182795364
"0.00000001","50","10",0.980401649285489
"0.01","25","10",0.98091933338366
"0.000001","25","5",0.981166750924688
"0.000001","5","5",0.982236559932376
"0.01","25","1",0.982789631927003
"0.00000001","50","5",0.98279316533246
"0.00000001","5","10",0.982907015429913
"0.00000001","10","5",0.983106782668547
"0.0001","25","5",0.983119507621119
"0.0001","50","10",0.983441489265677
"0.000001","5","10",0.98357205926245
"0.000001","25","1",0.983623237338562
"0.000001","50","5",0.984091358258425
"0.01","50","10",0.985296965670752
"0.0001","5","10",0.985410571153578
"0.0001","25","10",0.986316500326205
"0.0001","10","10",0.986386799629228
"0.01","5","5",0.986861044104066
"0.000001","10","5",0.987019025178997
"0.0001","50","5",0.987207292258662
"0.0001","5","5",0.987511506830121
"0.01","5","10",0.987823981419687
"0.01","25","5",0.987917988713721
"0.01","50","5",0.988158112111871
"0.000001","50","10",0.988754759758781
"0.00000001","25","5",0.989069121005335
"0.000001","10","10",0.989231512161265
"0.00000001","25","10",0.990296966098238
"0.000001","5","1",0.990547206371496
"0.01","10","5",0.990633672362816
"0.00000001","10","10",0.990770511817704
"0.000001","25","10",0.990998806468917
"0.01","10","10",0.991531054093577
"0.00000001","5","5",0.99260930275206
"0.01","50","1",0.995009318805884
