var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
o,e,j,h,a,j,d,o,k,d
b,r,c,k,b,k,i,b,l,j
p,n,t,k,r,b,d,e,b,p
c,l,m,k,j,a,l,e,j,q
b,b,l,q,b,d,n,k,n,k
o,h,c,b,a,k,d,a,p,h
r,m,m,p,j,o,f,s,d,t
q,h,m,h,a,m,d,c,t,l
r,j,p,n,o,d,g,n,g,p
q,f,c,i,q,o,j,l,p,h
q,j,b,j,b,s,i,p,j,e
g,p,i,i,s,p,g,r,d,i
d,r,h,o,r,b,h,d,j,b
s,p,k,c,n,a,i,d,h,s
q,a,p,m,k,f,h,a,s,e
o,e,g,g,a,l,t,a,h,a
t,p,p,o,f,s,o,m,p,f
c,p,s,t,a,f,r,e,f,q
h,l,i,q,t,h,f,t,b,f
j,k,c,m,d,t,l,k,l,n
b,f,l,i,l,k,j,s,o,n
k,p,b,g,k,g,a,b,n,h
t,n,c,a,i,j,s,c,c,c
j,i,b,k,n,q,d,n,m,h
q,g,o,g,f,d,o,f,d,f
j,j,m,j,n,a,p,c,j,i
o,n,a,l,b,q,q,h,j,d
h,h,h,s,n,c,h,q,o,l
g,f,r,k,s,s,t,p,o,b
r,l,l,a,c,r,i,t,p,i
l,q,s,m,q,s,n,e,b,f
o,t,j,q,h,o,n,q,n,c
f,j,s,e,g,s,m,r,o,o
t,g,r,j,m,g,k,b,b,t
i,j,f,d,n,k,i,j,t,n
f,e,m,b,r,m,q,a,n,k
b,c,e,e,j,b,a,j,n,d
m,j,d,k,b,m,p,a,p,i
k,s,n,f,a,r,m,p,k,o
d,l,q,e,l,c,d,q,i,l
p,b,j,i,e,n,h,i,d,k
g,g,n,l,j,p,t,c,l,j
s,q,s,b,m,e,k,a,b,c
k,c,f,d,f,s,j,m,a,b
t,c,e,d,o,q,q,s,o,a
q,c,j,q,i,m,i,c,q,a
l,l,j,e,n,k,c,s,f,c
k,q,t,q,o,a,c,b,h,j
l,a,n,m,k,g,p,q,t,g
q,s,p,j,r,i,r,r,l,o
k,o,i,r,l,f,p,e,m,o
a,o,p,b,s,i,o,i,p,t
p,i,d,m,n,q,g,j,k,e
h,b,c,c,h,n,n,r,n,h
p,l,f,j,f,a,g,g,e,n
a,o,a,l,s,b,n,g,t,d
f,b,b,l,b,h,b,n,q,p
s,c,l,r,o,d,c,c,e,p
m,l,b,l,l,b,s,n,m,t
