var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
d,r,k,g,k,g,f,f,p,b,g,s,r,n,m
c,c,m,h,o,r,q,b,q,h,o,g,k,f,t
s,d,l,r,k,h,a,d,c,s,k,o,d,a,o
e,r,f,f,l,q,h,s,h,m,h,q,s,b,c
f,k,r,q,o,f,g,n,e,s,q,t,r,i,b
q,c,q,d,n,d,k,o,t,e,f,n,e,p,o
t,q,a,c,e,t,d,d,e,o,m,m,m,g,f
b,c,r,g,p,n,e,c,e,r,l,j,f,j,p
g,g,i,t,l,d,p,d,l,f,k,q,h,q,a
q,p,e,a,m,b,i,t,a,k,c,g,k,l,t
b,c,o,f,b,h,e,r,f,j,p,g,s,q,t
p,n,l,d,l,j,t,f,p,e,c,c,d,e,g
g,j,h,d,h,j,h,e,p,t,r,t,q,s,k
f,n,c,k,f,k,g,f,g,n,n,r,g,m,s
t,f,j,g,s,j,c,o,i,r,r,c,i,b,a
a,f,s,d,k,m,b,p,d,n,s,s,d,e,q
b,o,g,k,t,s,l,g,q,q,k,c,g,h,e
l,r,r,l,m,q,q,i,c,s,b,s,t,l,n
b,o,b,f,l,i,g,d,n,k,p,j,d,r,c
s,i,a,m,o,d,i,c,k,g,c,a,k,n,r
o,d,j,q,s,f,l,o,m,p,n,f,h,n,e
a,k,h,p,q,a,c,g,f,r,n,p,e,o,a
l,b,i,k,o,e,d,m,e,p,g,h,h,n,m
c,c,s,b,b,h,s,t,i,e,l,r,p,b,d
j,o,c,g,c,d,d,h,h,c,e,o,m,p,d
a,p,p,k,i,s,t,d,n,e,d,f,j,f,b
e,k,a,h,c,s,o,m,s,n,i,t,d,l,e
n,h,a,n,n,c,e,o,d,e,k,i,m,r,s
r,s,s,g,t,f,g,d,h,g,j,j,l,r,p
h,t,g,t,e,h,r,j,t,m,h,h,j,i,p
h,i,c,q,n,o,d,f,h,p,l,q,t,q,j
f,j,c,p,g,i,m,h,i,t,h,l,d,r,j
s,l,q,i,d,j,g,l,h,d,d,b,r,m,r
c,q,n,b,a,c,s,k,n,i,l,g,j,m,m
b,l,a,s,f,e,l,k,f,j,b,j,a,s,t
g,c,s,p,f,n,g,q,m,l,i,r,i,o,l
t,i,e,n,t,f,m,f,o,p,d,b,n,b,q
o,n,f,s,d,k,q,c,e,f,n,d,j,s,t
c,h,r,n,b,e,q,i,k,o,k,f,c,q,d
o,h,a,l,e,i,r,d,r,d,d,c,i,h,d
a,d,g,e,c,l,f,s,q,s,q,e,i,o,a
m,s,n,q,j,d,a,q,f,e,j,c,k,l,n
c,d,l,j,i,h,e,b,o,e,m,o,t,j,c
i,g,c,a,o,s,d,l,p,b,d,e,c,c,o
c,p,b,d,a,n,k,s,p,a,j,d,l,c,b
q,i,t,k,e,o,f,t,d,a,o,l,a,i,s
m,l,p,r,d,g,e,f,p,c,n,j,p,q,e
i,k,n,r,e,r,c,p,t,g,e,l,d,h,i
m,g,a,f,s,f,s,a,n,j,q,q,q,f,m
e,b,n,h,j,a,b,q,b,k,j,i,j,p,e
a,s,h,h,g,s,b,q,f,o,j,h,c,n,g
d,a,r,l,d,d,g,l,t,r,m,a,a,b,a
