var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
d,d,d,i,d,f,b,j,e,e,h,d,c,j,f,e,f,g,e,f
d,c,g,h,h,c,f,i,b,c,j,e,i,b,i,j,g,b,f,c
i,g,d,j,a,f,a,h,g,h,b,d,e,h,b,f,h,b,i,h
d,i,f,g,e,d,i,c,b,d,j,g,f,c,e,e,i,d,j,a
e,e,j,e,i,b,j,h,e,e,i,b,j,d,g,c,g,h,g,g
i,c,i,j,g,g,d,f,c,h,e,b,f,g,i,j,j,a,b,h
g,a,d,a,e,j,b,h,c,f,j,i,e,f,e,a,f,g,c,i
e,g,d,i,a,b,i,b,c,b,i,f,e,c,e,i,i,g,b,c
i,c,c,a,b,b,b,i,d,b,h,i,a,a,h,f,d,a,i,d
e,d,a,d,c,h,d,i,d,e,a,i,g,j,b,g,b,i,f,h
d,i,a,g,b,c,e,h,i,e,g,h,d,b,g,b,f,a,h,e
j,e,f,e,d,h,f,i,g,d,e,d,d,a,a,j,j,j,i,a
j,g,i,a,a,c,j,g,b,c,d,d,i,c,g,j,j,e,c,a
f,d,e,f,b,a,a,g,b,h,i,e,c,e,c,i,f,f,g,d
g,j,e,b,d,f,g,a,f,i,b,f,b,f,b,i,c,g,c,g
h,a,j,d,a,j,c,f,g,h,g,a,g,i,a,b,f,f,f,c
a,b,b,e,f,b,a,g,d,e,a,f,f,e,c,j,d,c,c,c
d,h,c,h,d,b,b,b,a,j,j,i,c,d,j,a,e,c,f,a
c,d,d,h,j,f,j,h,a,j,j,a,b,i,g,d,a,h,j,g
i,g,e,d,i,e,a,f,h,b,i,h,f,g,d,h,e,f,a,e
g,e,d,c,b,h,b,g,h,i,b,d,g,a,f,a,d,d,i,f
i,d,b,e,a,f,a,i,e,j,h,e,b,e,f,e,b,j,g,h
h,b,g,a,g,j,i,i,h,c,d,a,j,f,e,c,f,j,i,a
f,e,j,i,e,a,i,b,g,j,j,c,i,d,d,i,a,a,a,b
c,a,a,g,c,c,h,i,a,f,i,g,h,c,b,e,i,d,e,f
a,j,f,d,a,e,h,e,j,a,h,g,c,c,i,b,d,c,c,j
j,f,g,i,j,h,j,f,j,j,e,i,a,j,j,d,i,e,c,e
a,c,a,d,e,e,c,c,g,h,f,c,c,j,h,a,c,b,a,c
c,f,c,h,f,a,i,d,j,i,c,c,g,c,a,d,e,c,h,e
h,c,c,g,a,h,h,h,h,g,i,i,d,a,g,i,i,i,f,g
i,b,e,b,e,j,c,i,h,e,b,i,j,f,a,j,g,d,b,d
i,i,a,h,b,e,h,e,c,a,c,d,b,b,i,d,d,h,a,e
c,i,g,b,g,h,a,j,g,e,d,j,i,e,h,g,f,c,d,j
g,e,j,a,b,j,c,a,b,e,d,f,e,i,b,i,g,i,i,d
g,f,d,g,c,d,d,h,h,i,j,g,a,i,e,f,d,i,d,c
d,h,d,h,e,i,b,b,d,c,b,c,d,e,f,c,f,j,g,d
c,g,h,d,f,a,b,j,g,c,b,g,h,d,g,i,b,h,a,b
g,i,f,j,g,e,a,f,g,g,b,h,b,f,e,g,h,a,c,i
i,g,f,h,h,a,e,d,c,d,c,b,d,i,i,c,g,j,e,e
a,h,c,b,d,h,c,f,e,c,j,d,d,j,e,e,g,g,b,b
g,d,f,d,a,a,h,d,j,f,i,i,f,j,j,d,c,i,h,b
c,c,a,e,f,h,e,c,c,g,a,e,c,c,f,c,f,a,e,d
f,g,c,e,c,b,d,j,c,d,c,d,h,h,d,i,b,e,h,g
g,c,f,i,g,c,d,b,a,f,c,c,h,i,f,f,i,d,e,b
e,h,g,h,f,f,c,g,f,d,i,g,a,h,b,a,e,f,e,g
d,f,j,a,a,f,j,d,i,e,d,f,f,e,f,h,e,c,d,e
i,b,i,j,e,e,f,b,g,b,e,d,e,a,a,i,b,j,i,a
h,e,b,a,d,d,g,e,i,g,h,h,f,g,i,i,c,e,g,b
b,d,i,f,i,f,e,i,g,d,i,g,h,e,a,i,g,a,g,b
e,j,e,b,j,b,c,g,b,a,i,a,c,b,b,a,e,f,h,j
f,g,d,f,e,i,e,c,g,b,b,f,i,b,f,h,g,d,e,g
b,f,a,d,e,i,f,h,g,e,e,g,a,i,d,b,f,d,a,d
f,e,d,c,c,i,a,f,i,a,h,a,d,h,j,h,a,d,i,j
i,c,e,d,e,i,i,j,i,e,e,i,j,b,i,j,e,g,g,h
g,c,a,e,d,b,c,c,e,a,c,f,b,h,f,a,a,b,h,h
c,j,a,e,f,d,a,i,b,a,d,g,e,f,b,h,f,a,e,b
b,d,b,b,e,a,j,j,i,a,c,f,i,h,g,g,f,a,b,b
j,h,b,h,b,h,g,j,h,j,b,f,j,a,c,i,f,e,b,c
h,h,f,h,j,f,c,e,j,b,a,c,j,a,d,d,a,j,a,c
j,d,b,j,f,d,h,h,h,e,e,h,d,d,i,i,j,c,b,c
a,h,h,f,a,b,e,a,h,j,a,b,f,b,j,f,f,g,g,e
b,b,g,c,f,g,b,d,i,d,d,d,g,c,e,g,g,c,h,a
a,f,h,f,a,j,c,e,f,c,d,i,e,e,j,c,e,d,j,e
d,h,h,a,a,h,h,j,b,c,j,b,a,c,b,b,i,f,e,j
a,j,f,d,c,h,g,h,f,i,b,f,b,c,a,j,g,h,e,e
e,g,f,e,j,e,e,e,d,g,h,f,i,b,j,f,e,i,h,h
b,g,h,h,f,a,d,c,h,i,j,h,b,g,f,c,f,j,e,i
