var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
s,l,h,p,t,s,t,b,j,c
e,i,q,n,j,a,e,t,c,a
k,k,i,n,e,r,h,a,i,j
t,h,f,l,m,d,a,n,d,a
d,c,k,s,d,c,r,n,h,j
k,s,t,r,c,f,e,r,s,p
k,a,c,e,f,f,l,s,o,t
e,h,n,e,m,s,r,f,i,g
l,a,f,t,f,d,k,f,b,l
n,a,n,p,o,h,d,t,h,d
t,b,t,i,n,l,l,h,q,d
k,n,k,j,s,m,g,r,h,k
p,k,o,q,l,s,s,g,f,p
d,e,k,k,i,k,c,g,a,h
f,l,s,g,c,i,d,r,g,c
i,h,g,o,l,o,i,g,l,f
d,t,q,h,n,k,l,f,d,o
g,l,p,l,b,m,k,b,k,m
o,f,s,f,e,m,j,j,h,h
n,n,f,t,d,f,h,d,h,t
o,b,a,e,l,l,r,b,n,d
n,n,o,n,g,e,g,q,m,n
h,n,b,g,f,q,b,f,i,r
t,i,p,g,l,e,s,c,t,l
r,d,t,n,h,l,n,t,d,r
s,j,q,j,o,e,i,f,q,s
j,d,s,r,b,k,k,k,n,p
j,i,r,p,d,c,b,n,h,d
q,a,t,d,q,n,r,j,d,l
f,b,s,f,p,m,m,h,e,k
a,m,m,r,k,o,t,e,p,i
j,l,a,h,n,o,h,n,b,r
g,q,g,g,n,e,k,b,p,g
c,k,e,p,t,t,t,l,b,s
f,n,g,q,r,b,l,r,b,f
o,s,c,r,f,o,m,r,g,b
k,e,o,s,o,q,i,l,i,a
q,g,d,l,t,a,i,n,r,a
q,c,q,g,j,p,e,g,s,o
e,q,m,b,k,r,m,r,g,c
b,b,f,a,l,g,q,l,j,f
q,i,g,d,n,b,g,n,n,l
k,d,q,h,o,k,m,c,t,k
p,j,f,a,g,b,b,t,l,h
d,i,n,g,l,s,f,r,f,r
h,e,b,d,t,j,h,g,l,t
n,s,r,p,p,r,l,r,i,h
i,a,g,r,f,e,d,c,t,f
f,b,n,r,c,h,f,p,j,g
b,r,f,q,j,h,o,k,a,i
b,b,q,f,j,p,b,s,k,l
a,t,i,b,e,f,c,s,s,o
b,k,f,c,d,p,b,d,p,q
f,d,g,p,p,g,l,j,n,b
p,m,s,o,t,g,r,b,k,a
n,s,m,n,b,c,n,p,g,e
p,c,r,b,n,s,k,a,a,i
s,m,d,h,m,l,k,q,f,h
b,r,r,f,p,q,h,n,p,k
c,r,o,n,s,k,n,p,n,l
h,i,q,r,i,p,o,m,o,r
k,e,k,c,j,c,o,b,q,o
h,p,j,r,o,q,n,l,i,s
s,q,f,b,j,s,i,a,q,q
n,k,s,p,j,m,t,c,k,s
p,r,s,p,d,e,g,g,n,p
j,b,f,a,e,j,r,t,o,q
h,j,n,e,m,p,l,c,r,s
n,r,a,g,f,m,f,d,j,k
m,c,m,q,i,f,o,b,g,a
n,e,o,b,m,d,b,a,r,h
n,a,d,l,s,p,f,t,c,s
c,j,j,s,o,q,g,l,b,i
c,p,j,l,k,e,t,g,f,j
